segment_id,bottleneck_movement_id,upstream_movement_id,L_b0_m,lane_drop_delta,q_avg_B0,q_max_B0,tQ_hist_B0,lambda_B0,fill_B0,speed_B0,segment_q_avg_B0,segment_q_max_B0,segment_tQ_hist_B0,segment_lambda_B0,segment_fill_B0,segment_speed_B0,mapping_status,segment_edges,segment_lanes,segment_route_start_index,segment_route_end_index,proxy_edge_gap_upstream,proxy_edge_gap_bottleneck,same_tls_chain,case_b_runtime_enabled,tau_default,case_b_prior_risk,b0_source,mapping_note
S7,B4_MOVEMENT_05,B4_MOVEMENT_04,342.2,-1,0.038292,0.857852,0.857852,317.359333,0.05576,67.505121,0.0185,0.857852,0.571901,312.816293,0.016295,67.505121,mapped_exact,428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345,428260110_0 428260110_1 785130600#0_0 785130600#0_1 785130600#1_0 785130600#1_1 785130600#2_0 785130600#2_1 785130600#3_0 785130600#3_1 1455497345_0 1455497345_1 1455497345_2,24,29,1,0,False,True,0.75,False,SUMO_B04_active_target15_s400_measured_proxy,mapped_exact
S10,B4_MOVEMENT_07,B4_MOVEMENT_06,214.5,1,3.567516,24.306761,16.204507,125.847255,1.0,36.490047,0.323311,7.805647,5.203765,211.461318,0.236535,36.490047,mapped_route_span_proxy,218773869#9 219696193#1 219696193#2 781985793#0 781985793#1 420361196,218773869#9_0 218773869#9_1 218773869#9_2 219696193#1_0 219696193#1_1 219696193#2_0 219696193#2_1 781985793#0_0 781985793#0_1 781985793#1_0 781985793#1_1 420361196_0 420361196_1,37,42,2,0,True,True,0.75,True,SUMO_B04_active_target15_s400_measured_proxy,mapped_route_span_proxy
S11,B4_MOVEMENT_08,B4_MOVEMENT_07,128.9,0,0.0,0.0,0.0,30.0,0.0,71.792471,0.0,0.0,0.0,324.705882,0.0,71.792471,mapped_exact,781985793#1 420361196,781985793#1_0 781985793#1_1 420361196_0 420361196_1,41,42,4,0,False,True,0.75,False,SUMO_B04_active_target15_s400_measured_proxy,mapped_exact
