교차로번호,입력일자,교차로명,유형코드,연동교차로코드,구코드,지번,구경찰서코드,신경찰서코드,작업구분,표출구분,고객번호,계약종별,계량기번호,도로구분,관할사업소,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드,공사형태,지도표출구분,RN_CDE,MNG_AGEN,XCE,YCE
4486,-,오류고등학교,002,0,530,산7임,330,330,001,002,-,-,-,001,104,82-0000003329,,1105422    ,3329,10900,-,N,-,-,184887.518511071,544389.862794681
4487,-,원명초교앞(경보),001,0,650,1685 대,340,340,001,002,-,-,-,002,105,82-0000003341,,-,3341,10800,-,N,-,-,201415.23542773,544556.612610074
4488,-,양화교밑,002,0,470,153-1수,350,350,001,002,-,-,-,001,104,82-0000003184,,1295592    ,3184,10200,-,N,-,-,189443.448604375,549731.368021346
4489,-,봉천고개(경보),001,0,590,504-13 대,220,220,001,001,-,-,-,001,105,82-0000003342,,3123962    ,3342,10200,-,N,-,-,196131.12031222,543570.675632665
4490,-,구암초교,002,0,620,-,290,290,001,002,-,-,-,001,105,82-0000005299,,-,5299,10100,-,N,-,-,195247.667402762,543237.454617259
4491,-,봉천삼성아파트입구(경보),001,0,620,1712-6 공,290,290,001,002,-,-,-,002,105,82-0000001218,,3122282    ,1218,10100,-,N,-,-,195781.697314759,543192.883141932
4493,-,관악봉성교회(연등)1,001,0,620,1706-3 도,290,290,001,002,-,-,-,002,105,82-0000002006,,3132242    ,2006,10100,-,N,-,-,196297.017198739,542997.954491274
4494,-,낙성대역앞,001,0,620,1693-39도,290,290,001,002,-,-,-,001,105,82-0000003051,,-,3051,10100,-,N,-,-,196739.424112603,541977.794181432
4496,-,인헌아파트입구(경보),002,0,620,산4-1임,290,290,001,002,-,-,-,002,105,82-0000003337,,-,3337,10100,-,N,-,-,196568.687269596,540968.285469274
4497,-,낙성현대아파트,001,0,620,1628-5대,290,290,001,002,-,-,-,001,105,82-0000001694,,3039491    ,1694,10100,-,N,-,-,196382.75178138,541703.486963073
4498,-,은천아파트입구(경보),003,0,620,180-562도,290,290,001,002,-,-,-,002,105,82-0000000474,,-,474,10100,-,N,-,-,196931.890369647,541100.982797664
4499,-,문성터널(경보),001,0,620,433-78전,290,290,001,002,-,-,-,001,105,82-0000000475,,-,475,10200,-,N,-,-,193369.058079474,542172.262751418
4500,-,승리교(경보),001,0,620,1642-10천,290,290,001,002,-,-,-,002,105,82-0000004155,,-,4155,10200,-,N,-,-,193792.263281845,542344.278917992
