method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,bo_batch_slot,hold_feasibility,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,4,1,6,bo_r04_001_tl84_dt14_ge4_qr99_tau87,84,14,4,0.99,0.87,254.92,457.54,273.34,273.34,0.00,PASS,,recovery_detected,True,False,0,3503,0,38,912.58,-53498.70,55323.85,11.29,87.75,surrogate_mean_rank,stable_success,False,stable,0.9537490303572327,79.80,23.81,16.07,19.56,16.46,79.80,33.70,79.80,31.57,4.37950477,5,0.907912,273.34,,,
BO,20260607,4,2,6,bo_r04_002_tl83_dt14_ge3_qr99_tau87,83,14,3,0.99,0.87,254.92,452.76,272.91,272.91,0.00,PASS,,recovery_detected,True,False,0,3468,0,39,937.81,-54528.99,56404.60,25.77,78.54,surrogate_mean_rank,stable_success,False,stable,0.8138394206550503,71.02,21.11,14.26,17.39,14.62,71.02,29.98,71.02,28.06,4.26297040,5,0.902765,272.91,,,
BO,20260607,4,3,6,bo_r04_003_tl77_dt75_ge14_qr0_tau83,77,75,14,0.0,0.83,510.92,297.52,491.52,272.91,0.00,PASS,,recovery_timeout,True,False,0,777,1,80,337395.51,-603212.00,1278003.01,252.19,137.81,ei,local,False,local_constrained,0.5500194015579059,87.09,28.96,18.62,23.14,17.26,87.09,31.77,87.09,34.47,4.46691462,5,0.627830,491.52,,,
BO,20260607,4,4,6,bo_r04_004_tl66_dt84_ge14_qr0_tau87,66,84,14,0.0,0.87,481.92,421.47,476.42,272.91,0.00,PASS,,recovery_detected,True,False,0,765,1,75,296619.20,-616823.28,1210061.68,238.49,136.11,ei,local,False,local_constrained,0.5742663644123275,88.79,27.72,18.12,22.91,17.42,88.79,33.42,88.79,34.73,4.48632476,5,0.648348,476.42,,,
BO,20260607,4,5,6,bo_r04_005_tl6_dt85_ge31_qr13_tau72,6,85,31,0.13,0.72,499.92,299.96,481.74,272.91,0.00,PASS,,recovery_timeout,True,False,0,992,1,51,422813.00,-518160.55,1363786.55,283.29,144.65,ei,global,False,global_ei,0.5155193673777395,66.55,16.05,10.82,16.41,11.05,66.55,22.55,66.55,23.90,4.19789362,5,0.455669,481.74,,,
BO,20260607,4,6,6,bo_r04_006_tl29_dt223_ge19_qr99_tau80,29,223,19,0.99,0.8,443.92,420.88,441.82,272.91,0.00,PASS,,recovery_detected,True,False,0,495,0,62,584844.48,-327980.12,1497669.09,167.52,39.24,ei,global,False,space_filling,0.23542939659452594,28.19,6.84,4.81,6.54,5.32,28.19,11.64,28.19,10.56,3.33882402,5,0.714663,441.82,,,
BO,20260607,5,1,6,bo_r05_001_tl82_dt12_ge2_qr99_tau86,82,12,2,0.99,0.86,0.00,476.43,1000043.31,272.91,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,4732,0,22,1354.64,-28454.53,31163.81,85.97,77.60,ei,stable_success,False,stable,0.9043531031886088,68.98,20.49,13.83,16.91,14.16,68.98,28.99,68.98,27.23,4.23379392,5,0.887198,43.31,,,
BO,20260607,5,2,6,bo_r05_002_tl84_dt12_ge2_qr98_tau86,84,12,2,0.98,0.86,0.00,476.43,1000043.31,272.91,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,4732,0,22,21297.86,-121455.07,164050.80,85.10,76.71,ei,stable_success,False,stable,0.9031794891594217,68.30,20.43,13.76,16.79,14.05,68.30,28.67,68.30,27.00,4.22389454,5,0.888593,43.31,,,
BO,20260607,5,3,6,bo_r05_003_tl80_dt0_ge0_qr100_tau87,80,0,0,1.0,0.87,333.92,430.82,342.73,272.91,0.00,PASS,,recovery_detected,True,False,0,931,0,114,3584.92,-161232.98,168402.83,415.28,344.33,ei,local,False,local_constrained,0.8306922429635879,308.33,90.57,61.32,75.20,63.21,308.33,130.17,308.33,121.47,5.73117342,5,0.893786,342.73,,,
BO,20260607,5,4,6,bo_r05_004_tl86_dt0_ge0_qr100_tau85,86,0,0,1.0,0.85,333.92,430.82,342.73,272.91,0.00,PASS,,recovery_detected,True,False,0,936,0,114,-1816.94,-163135.09,159501.21,412.22,341.57,ei,local,False,local_constrained,0.8303050699267258,302.28,91.03,61.20,74.55,62.22,302.28,126.49,302.28,119.63,5.71135495,5,0.883170,342.73,,,
