method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,28,2,6,bo_r28_002_tl99_dt37_ge37_qr5_tau84,99,37,37,0.05,0.84,167.92,511.51,199.16,178.47,0.00,PASS,,recovery_detected,True,False,0,2032,1,25,242.38,118.64,366.13,11.27,11.13,8.61,2.99,1.93,2.28,1.80,8.61,4.16,8.61,3.63,2.15269347,5,0.763832,199.16,,,
BO,20260607,28,3,6,bo_r28_003_tl34_dt3_ge45_qr48_tau80,34,3,45,0.48,0.8,387.92,473.35,395.69,178.47,0.00,PASS,,recovery_detected,True,False,0,5617,1,17,243.12,130.84,355.40,11.19,11.04,8.34,2.32,1.58,2.03,1.64,8.34,4.24,8.34,3.36,2.12081803,5,0.744872,395.69,,,
BO,20260607,28,4,6,bo_r28_004_tl57_dt27_ge49_qr42_tau82,57,27,49,0.42,0.82,164.92,506.55,195.98,178.47,0.00,PASS,,recovery_detected,True,False,0,2336,1,19,210.51,100.31,320.72,10.77,10.66,8.61,2.60,1.73,2.14,1.74,8.61,4.38,8.61,3.53,2.15283683,5,0.799140,195.98,,,
BO,20260607,28,5,6,bo_r28_005_tl102_dt32_ge30_qr77_tau80,102,32,30,0.77,0.8,174.92,510.77,205.45,178.47,0.00,PASS,,recovery_detected,True,False,0,2208,1,28,210.56,115.20,305.92,10.59,10.52,9.28,3.03,2.00,2.37,1.95,9.28,4.74,9.28,3.89,2.22755372,5,0.876439,205.45,,,
BO,20260607,28,6,6,bo_r28_006_tl59_dt31_ge49_qr37_tau90,59,31,49,0.37,0.9,182.92,495.11,211.30,178.47,0.00,PASS,,recovery_detected,True,False,0,2194,1,19,204.90,120.14,289.66,10.46,10.39,9.18,2.72,1.84,2.25,1.88,9.18,4.81,9.18,3.78,2.21678089,5,0.877558,211.30,,,
BO,20260607,29,1,6,bo_r29_001_tl58_dt59_ge37_qr74_tau72,58,59,37,0.74,0.72,228.92,502.49,253.79,178.47,0.00,PASS,,recovery_detected,True,False,0,408,1,31,168.72,121.93,215.51,14.70,14.48,10.59,3.17,2.11,2.66,2.10,10.59,5.23,10.59,4.31,2.35960069,5,0.720157,253.79,,,
BO,20260607,29,2,6,bo_r29_002_tl89_dt0_ge42_qr87_tau70,89,0,42,0.87,0.7,357.92,474.58,368.53,178.47,0.00,PASS,,recovery_detected,True,False,0,224,1,37,181.51,111.60,251.42,12.42,12.30,10.13,3.33,2.18,2.61,2.10,10.13,5.07,10.13,4.24,2.31510263,5,0.815320,368.53,,,
BO,20260607,29,3,6,bo_r29_003_tl99_dt20_ge28_qr49_tau75,99,20,28,0.49,0.75,177.92,509.23,208.04,178.47,0.00,PASS,,recovery_detected,True,False,0,2727,1,23,188.33,114.38,262.27,10.35,10.21,7.71,2.64,1.71,2.04,1.60,7.71,3.71,7.71,3.24,2.04311508,5,0.745711,208.04,,,
BO,20260607,29,4,6,bo_r29_004_tl87_dt11_ge40_qr91_tau87,87,11,40,0.91,0.87,170.92,499.31,200.77,178.47,0.00,PASS,,recovery_detected,True,False,0,3932,0,17,183.29,122.85,243.72,9.72,9.72,9.71,2.97,2.00,2.39,2.04,9.71,5.21,9.71,4.06,2.27358892,5,0.999007,200.77,,,
BO,20260607,29,5,6,bo_r29_005_tl64_dt21_ge46_qr59_tau75,64,21,46,0.59,0.75,162.92,507.80,194.27,178.47,0.00,PASS,,recovery_detected,True,False,0,2654,1,19,195.48,111.65,279.30,9.64,9.52,7.39,2.29,1.52,1.87,1.50,7.39,3.69,7.39,3.04,2.00048455,5,0.766981,194.27,,,
