method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
Random Search,20260607,1,1,1,rs_r01_001_tl48_dt220_ge9_qr22_tau77,48,220,9,0.22,0.77,372.92,374.99,373.11,373.11,0.00,PASS,,recovery_detected,True,False,0,768,0,78,,,,,,,,,,,,,,,,,,373.11,,,
Random Search,20260607,2,1,1,rs_r02_001_tl30_dt8_ge26_qr51_tau79,30,8,26,0.51,0.79,180.92,422.00,202.84,202.84,0.00,PASS,,recovery_detected,True,False,0,4056,0,17,,,,,,,,,,,,,,,,,,202.84,,,
Random Search,20260607,3,1,1,rs_r03_001_tl91_dt34_ge11_qr77_tau83,91,34,11,0.77,0.83,235.92,397.61,250.62,202.84,0.00,PASS,,recovery_detected,True,False,0,2619,0,46,,,,,,,,,,,,,,,,,,250.62,,,
