input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_D_E_sec,output_D_G_sec,weight_E,weight_G,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_D_E_sec,measured_D_G_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
BO,20260607,6,bo_r06_004_tl86_dt232_ge20_qr22_tau70,86,232,20,0.22,0.7,290.92,131.64,0.91,0.09,10:1,276.44,,,290.92,131.64,,1,52
BO,20260607,6,bo_r06_005_tl82_dt60_ge33_qr40_tau89,82,60,33,0.4,0.89,245.92,105.67,0.91,0.09,10:1,233.17,,,245.92,105.67,,0,33
BO,20260607,6,bo_r06_006_tl81_dt122_ge8_qr4_tau70,81,122,8,0.04,0.7,406.92,145.14,0.91,0.09,10:1,383.12,,,406.92,145.14,,1,88
BO,20260607,7,bo_r07_001_tl58_dt81_ge42_qr4_tau82,58,81,42,0.04,0.82,198.92,107.13,0.91,0.09,10:1,190.58,,,198.92,107.13,,1,28
BO,20260607,7,bo_r07_002_tl12_dt115_ge48_qr61_tau70,12,115,48,0.61,0.7,283.92,129.85,0.91,0.09,10:1,269.91,,,283.92,129.85,,0,30
BO,20260607,7,bo_r07_003_tl73_dt176_ge11_qr55_tau84,73,176,11,0.55,0.84,320.92,130.30,0.91,0.09,10:1,303.59,,,320.92,130.30,,0,67
BO,20260607,7,bo_r07_004_tl26_dt15_ge37_qr40_tau84,26,15,37,0.4,0.84,145.92,106.02,0.91,0.09,10:1,142.29,,,145.92,106.02,,0,17
BO,20260607,7,bo_r07_005_tl106_dt115_ge29_qr23_tau87,106,115,29,0.23,0.87,224.92,132.96,0.91,0.09,10:1,216.56,,,224.92,132.96,,1,34
BO,20260607,7,bo_r07_006_tl34_dt110_ge15_qr88_tau86,34,110,15,0.88,0.86,303.92,135.23,0.91,0.09,10:1,288.58,,,303.92,135.23,,0,58
BO,20260607,8,bo_r08_001_tl103_dt74_ge32_qr38_tau71,103,74,32,0.38,0.71,242.92,121.61,0.91,0.09,10:1,231.89,,,242.92,121.61,,0,36
BO,20260607,8,bo_r08_002_tl12_dt66_ge2_qr31_tau79,12,66,2,0.31,0.79,295.92,134.81,0.91,0.09,10:1,281.27,,,295.92,134.81,,0,84
BO,20260607,8,bo_r08_003_tl52_dt209_ge43_qr9_tau88,52,209,43,0.09,0.88,209.92,109.06,0.91,0.09,10:1,200.75,,,209.92,109.06,,1,29
BO,20260607,8,bo_r08_004_tl53_dt156_ge33_qr38_tau86,53,156,33,0.38,0.86,363.92,139.75,0.91,0.09,10:1,343.54,,,363.92,139.75,,0,42
BO,20260607,8,bo_r08_005_tl23_dt153_ge44_qr17_tau73,23,153,44,0.17,0.73,159.92,111.39,0.91,0.09,10:1,155.51,,,159.92,111.39,,1,28
BO,20260607,8,bo_r08_006_tl17_dt76_ge27_qr36_tau87,17,76,27,0.36,0.87,159.92,116.59,0.91,0.09,10:1,155.98,,,159.92,116.59,,0,33
BO,20260607,9,bo_r09_001_tl106_dt21_ge32_qr45_tau74,106,21,32,0.45,0.74,144.92,103.21,0.91,0.09,10:1,141.13,,,144.92,103.21,,0,19
BO,20260607,9,bo_r09_002_tl105_dt75_ge12_qr84_tau87,105,75,12,0.84,0.87,290.92,133.66,0.91,0.09,10:1,276.62,,,290.92,133.66,,0,58
BO,20260607,9,bo_r09_003_tl42_dt234_ge39_qr55_tau84,42,234,39,0.55,0.84,274.92,125.42,0.91,0.09,10:1,261.33,,,274.92,125.42,,0,32
BO,20260607,9,bo_r09_004_tl119_dt231_ge27_qr7_tau70,119,231,27,0.07,0.7,287.92,125.71,0.91,0.09,10:1,273.17,,,287.92,125.71,,1,43
BO,20260607,9,bo_r09_005_tl57_dt68_ge11_qr91_tau90,57,68,11,0.91,0.9,210.92,131.08,0.91,0.09,10:1,203.66,,,210.92,131.08,,0,58
BO,20260607,9,bo_r09_006_tl32_dt111_ge6_qr52_tau83,32,111,6,0.52,0.83,262.92,136.76,0.91,0.09,10:1,251.45,,,262.92,136.76,,0,69
BO,20260607,10,bo_r10_001_tl78_dt33_ge41_qr96_tau79,78,33,41,0.96,0.79,144.92,116.59,0.91,0.09,10:1,142.34,,,144.92,116.59,,0,20
BO,20260607,10,bo_r10_002_tl33_dt142_ge15_qr0_tau74,33,142,15,0.0,0.74,267.92,127.84,0.91,0.09,10:1,255.19,,,267.92,127.84,,1,51
BO,20260607,10,bo_r10_003_tl111_dt95_ge35_qr42_tau87,111,95,35,0.42,0.87,370.92,145.92,0.91,0.09,10:1,350.47,,,370.92,145.92,,0,41
BO,20260607,10,bo_r10_004_tl119_dt133_ge13_qr83_tau76,119,133,13,0.83,0.76,355.92,136.59,0.91,0.09,10:1,335.98,,,355.92,136.59,,0,65
BO,20260607,10,bo_r10_005_tl103_dt217_ge30_qr85_tau82,103,217,30,0.85,0.82,286.92,115.42,0.91,0.09,10:1,271.33,,,286.92,115.42,,0,40
BO,20260607,10,bo_r10_006_tl2_dt95_ge46_qr94_tau71,2,95,46,0.94,0.71,162.92,110.90,0.91,0.09,10:1,158.19,,,162.92,110.90,,0,22
BO,20260607,11,bo_r11_001_tl24_dt27_ge35_qr16_tau80,24,27,35,0.16,0.8,94.92,114.07,0.91,0.09,10:1,96.66,,,94.92,114.07,,1,18
BO,20260607,11,bo_r11_002_tl29_dt47_ge34_qr22_tau81,29,47,34,0.22,0.81,157.92,109.51,0.91,0.09,10:1,153.52,,,157.92,109.51,,1,28
BO,20260607,11,bo_r11_003_tl11_dt67_ge36_qr25_tau90,11,67,36,0.25,0.9,414.92,146.74,0.91,0.09,10:1,390.54,,,414.92,146.74,,1,43
BO,20260607,11,bo_r11_004_tl31_dt56_ge36_qr18_tau86,31,56,36,0.18,0.86,189.92,119.97,0.91,0.09,10:1,183.56,,,189.92,119.97,,1,31
BO,20260607,11,bo_r11_005_tl8_dt39_ge39_qr26_tau84,8,39,39,0.26,0.84,137.92,108.80,0.91,0.09,10:1,135.27,,,137.92,108.80,,1,23
BO,20260607,11,bo_r11_006_tl22_dt72_ge35_qr15_tau73,22,72,35,0.15,0.73,181.92,103.59,0.91,0.09,10:1,174.80,,,181.92,103.59,,1,30
BO,20260607,12,bo_r12_001_tl31_dt23_ge37_qr9_tau78,31,23,37,0.09,0.78,145.92,114.87,0.91,0.09,10:1,143.10,,,145.92,114.87,,1,19
BO,20260607,12,bo_r12_002_tl31_dt0_ge36_qr9_tau79,31,0,36,0.09,0.79,208.92,115.03,0.91,0.09,10:1,200.38,,,208.92,115.03,,1,32
BO,20260607,12,bo_r12_003_tl28_dt29_ge37_qr20_tau80,28,29,37,0.2,0.8,97.92,116.27,0.91,0.09,10:1,99.59,,,97.92,116.27,,1,18
