method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
BO,20260607,19,5,6,bo_r19_005_tl4_dt16_ge42_qr14_tau82,4,16,42,0.14,0.82,136.48,93.63,197.02,30.76,363.27,7.85,7.70,4.87,1.20,0.83,1.16,0.89,4.87,2.38,4.87,1.89,1.58274548,5,0.619805
BO,20260607,19,6,6,bo_r19_006_tl33_dt29_ge32_qr24_tau80,33,29,32,0.24,0.8,141.93,93.63,197.02,30.76,363.27,6.79,6.66,4.32,1.20,0.80,1.07,0.82,4.32,2.08,4.32,1.72,1.46405434,5,0.636354
BO,20260607,20,1,6,bo_r20_001_tl26_dt25_ge27_qr14_tau80,26,25,27,0.14,0.8,136.40,93.63,194.43,31.02,357.85,29.14,28.51,17.05,4.56,3.07,4.20,3.14,17.05,8.00,17.05,6.67,2.83596269,5,0.584977
BO,20260607,20,2,6,bo_r20_002_tl30_dt28_ge28_qr1_tau82,30,28,28,0.01,0.82,94.52,93.63,194.43,31.02,357.85,23.78,23.26,13.92,3.83,2.56,3.46,2.58,13.92,6.49,13.92,5.47,2.63297518,5,0.585195
BO,20260607,20,3,6,bo_r20_003_tl37_dt24_ge37_qr25_tau81,37,24,37,0.25,0.81,141.93,93.63,194.43,31.02,357.85,21.95,21.57,14.80,4.18,2.81,3.65,2.85,14.80,7.25,14.80,5.92,2.69451606,5,0.674303
BO,20260607,20,4,6,bo_r20_004_tl18_dt21_ge27_qr12_tau77,18,21,27,0.12,0.77,142.86,93.63,194.43,31.02,357.85,19.42,18.94,10.37,2.69,1.81,2.56,1.85,10.37,4.71,10.37,4.00,2.33930033,5,0.534308
BO,20260607,20,5,6,bo_r20_005_tl41_dt22_ge38_qr24_tau80,41,22,38,0.24,0.8,95.77,93.63,194.43,31.02,357.85,17.66,17.35,11.86,3.43,2.29,2.96,2.30,11.86,5.77,11.86,4.77,2.47313671,5,0.671653
BO,20260607,20,6,6,bo_r20_006_tl17_dt22_ge28_qr10_tau76,17,22,28,0.1,0.76,145.78,93.63,194.43,31.02,357.85,17.54,17.10,9.12,2.37,1.59,2.26,1.61,9.12,4.08,9.12,3.50,2.21030831,5,0.519750
BO,20260607,21,1,6,bo_r21_001_tl30_dt36_ge39_qr20_tau80,30,36,39,0.2,0.8,135.26,93.63,191.02,28.81,353.24,30.05,29.49,19.30,5.35,3.60,4.76,3.67,19.30,9.33,19.30,7.67,2.96034759,5,0.642414
BO,20260607,21,2,6,bo_r21_002_tl30_dt29_ge31_qr7_tau84,30,29,31,0.07,0.84,142.01,93.63,191.02,28.81,353.24,17.27,16.94,10.90,2.98,2.01,2.68,2.05,10.90,5.25,10.90,4.31,2.38881310,5,0.631079
BO,20260607,21,3,6,bo_r21_003_tl36_dt26_ge29_qr7_tau86,36,26,29,0.07,0.86,95.10,93.63,191.02,28.81,353.24,16.81,16.51,11.06,3.07,2.07,2.72,2.11,11.06,5.39,11.06,4.40,2.40327105,5,0.657829
BO,20260607,21,4,6,bo_r21_004_tl60_dt41_ge39_qr23_tau80,60,41,39,0.23,0.8,135.41,93.63,191.02,28.81,353.24,16.68,16.42,11.68,3.62,2.38,2.98,2.32,11.68,5.67,11.68,4.78,2.45826141,5,0.700536
BO,20260607,21,5,6,bo_r21_005_tl38_dt35_ge38_qr23_tau82,38,35,38,0.23,0.82,115.23,93.63,191.02,28.81,353.24,16.26,15.99,11.10,3.14,2.11,2.74,2.15,11.10,5.46,11.10,4.45,2.40690091,5,0.682565
BO,20260607,21,6,6,bo_r21_006_tl47_dt32_ge39_qr12_tau79,47,32,39,0.12,0.79,114.99,93.63,191.02,28.81,353.24,16.00,15.70,10.28,3.10,2.04,2.62,1.99,10.28,4.87,10.28,4.15,2.33062849,5,0.642890
BO,20260607,22,1,6,bo_r22_001_tl40_dt28_ge39_qr21_tau81,40,28,39,0.21,0.81,93.84,93.63,187.78,26.81,348.76,22.97,22.58,15.52,4.47,2.99,3.86,3.01,15.52,7.57,15.52,6.23,2.74185150,5,0.675363
BO,20260607,22,2,6,bo_r22_002_tl42_dt18_ge29_qr6_tau83,42,18,29,0.06,0.83,142.65,93.63,187.78,26.81,348.76,20.11,19.72,12.77,3.69,2.45,3.20,2.44,12.77,6.08,12.77,5.11,2.54707541,5,0.635011
BO,20260607,22,3,6,bo_r22_003_tl49_dt20_ge40_qr22_tau81,49,20,40,0.22,0.81,94.19,93.63,187.78,26.81,348.76,19.54,19.23,13.65,4.07,2.70,3.43,2.69,13.65,6.68,13.65,5.54,2.61395771,5,0.698820
BO,20260607,22,4,6,bo_r22_004_tl25_dt15_ge29_qr14_tau84,25,15,29,0.14,0.84,135.42,93.63,187.78,26.81,348.76,17.37,17.03,11.05,2.92,1.99,2.68,2.07,11.05,5.38,11.05,4.35,2.40260952,5,0.636399
BO,20260607,22,5,6,bo_r22_005_tl34_dt17_ge29_qr25_tau82,34,17,29,0.25,0.82,136.28,93.63,187.78,26.81,348.76,17.24,16.93,11.31,3.10,2.10,2.77,2.15,11.31,5.52,11.31,4.49,2.42565264,5,0.655943
BO,20260607,22,6,6,bo_r22_006_tl41_dt21_ge30_qr32_tau83,41,21,30,0.32,0.83,153.70,93.63,187.78,26.81,348.76,17.15,16.88,11.97,3.36,2.27,2.94,2.32,11.97,5.95,11.97,4.80,2.48281721,5,0.698120
BO,20260607,23,1,6,bo_r23_001_tl43_dt31_ge39_qr5_tau85,43,31,39,0.05,0.85,115.86,93.63,184.98,25.39,344.56,15.60,15.34,10.69,3.12,2.08,2.67,2.09,10.69,5.23,10.69,4.31,2.36933342,5,0.685389
BO,20260607,23,2,6,bo_r23_002_tl41_dt25_ge39_qr22_tau80,41,25,39,0.22,0.8,96.86,93.63,184.98,25.39,344.56,13.89,13.65,9.30,2.70,1.80,2.32,1.80,9.30,4.51,9.30,3.74,2.22988429,5,0.669304
BO,20260607,23,3,6,bo_r23_003_tl36_dt23_ge39_qr53_tau79,36,23,39,0.53,0.79,141.19,93.63,184.98,25.39,344.56,10.50,10.35,7.61,2.11,1.43,1.85,1.48,7.61,3.84,7.61,3.05,2.02915808,5,0.724528
BO,20260607,23,4,6,bo_r23_004_tl40_dt47_ge29_qr6_tau90,40,47,29,0.06,0.9,177.13,93.63,184.98,25.39,344.56,10.27,10.11,7.20,2.00,1.35,1.76,1.39,7.20,3.59,7.20,2.88,1.97396870,5,0.700802
BO,20260607,23,5,6,bo_r23_005_tl13_dt21_ge45_qr15_tau87,13,21,45,0.15,0.87,136.27,93.63,184.98,25.39,344.56,9.98,9.83,7.00,1.80,1.24,1.66,1.33,7.00,3.55,7.00,2.76,1.94621553,5,0.701299
BO,20260607,23,6,6,bo_r23_006_tl101_dt20_ge40_qr64_tau76,101,20,40,0.64,0.76,141.21,93.63,184.98,25.39,344.56,9.76,9.67,8.15,2.76,1.80,2.12,1.71,8.15,4.07,8.15,3.43,2.09773782,5,0.835194
BO,20260607,24,1,6,bo_r24_001_tl52_dt29_ge38_qr44_tau83,52,29,38,0.44,0.83,136.68,93.63,182.79,25.10,340.48,18.83,18.60,14.50,4.22,2.84,3.57,2.89,14.50,7.36,14.50,5.90,2.67395560,5,0.769948
BO,20260607,24,2,6,bo_r24_002_tl43_dt26_ge35_qr34_tau82,43,26,35,0.34,0.82,136.53,93.63,182.79,25.10,340.48,18.33,18.06,13.02,3.71,2.50,3.21,2.54,13.02,6.48,13.02,5.24,2.56674506,5,0.710321
BO,20260607,24,3,6,bo_r24_003_tl57_dt25_ge37_qr23_tau84,57,25,37,0.23,0.84,96.86,93.63,182.79,25.10,340.48,16.80,16.57,12.38,3.73,2.48,3.11,2.47,12.38,6.15,12.38,5.05,2.51643580,5,0.737073
BO,20260607,24,4,6,bo_r24_004_tl53_dt21_ge36_qr24_tau79,53,21,36,0.24,0.79,136.27,93.63,182.79,25.10,340.48,15.85,15.58,10.70,3.24,2.14,2.72,2.10,10.70,5.15,10.70,4.34,2.37046213,5,0.675321
BO,20260607,24,5,6,bo_r24_005_tl43_dt29_ge36_qr37_tau81,43,29,36,0.37,0.81,141.53,93.63,182.79,25.10,340.48,14.49,14.27,10.27,2.93,1.97,2.53,2.01,10.27,5.11,10.27,4.14,2.32961038,5,0.708972
BO,20260607,24,6,6,bo_r24_006_tl46_dt34_ge38_qr27_tau82,46,34,38,0.27,0.82,116.32,93.63,182.79,25.10,340.48,14.48,14.25,10.23,2.98,1.99,2.54,2.01,10.23,5.05,10.23,4.13,2.32488811,5,0.706366
BO,20260607,25,1,6,bo_r25_001_tl61_dt29_ge39_qr18_tau85,61,29,39,0.18,0.85,112.48,93.63,180.48,24.47,336.50,16.77,16.54,12.55,3.84,2.55,3.16,2.52,12.55,6.24,12.55,5.14,2.52959778,5,0.748475
BO,20260607,25,2,6,bo_r25_002_tl40_dt15_ge40_qr22_tau85,40,15,40,0.22,0.85,135.42,93.63,180.48,24.47,336.50,16.69,16.45,12.16,3.46,2.33,2.99,2.39,12.16,6.10,12.16,4.90,2.49814873,5,0.728476
BO,20260607,25,3,6,bo_r25_003_tl40_dt22_ge40_qr23_tau82,40,22,40,0.23,0.82,95.77,93.63,180.48,24.47,336.50,15.23,14.99,10.60,3.04,2.04,2.62,2.07,10.60,5.23,10.60,4.27,2.36093917,5,0.696011
BO,20260607,25,4,6,bo_r25_004_tl28_dt28_ge28_qr5_tau85,28,28,28,0.05,0.85,94.52,93.63,180.48,24.47,336.50,14.28,14.00,8.92,2.40,1.62,2.18,1.67,8.92,4.29,8.92,3.51,2.18784477,5,0.624311
BO,20260607,25,5,6,bo_r25_005_tl38_dt30_ge41_qr33_tau85,38,30,41,0.33,0.85,114.71,93.63,180.48,24.47,336.50,13.04,12.87,9.79,2.73,1.86,2.38,1.92,9.79,4.98,9.79,3.94,2.28141897,5,0.750647
BO,20260607,25,6,6,bo_r25_006_tl38_dt27_ge40_qr29_tau81,38,27,40,0.29,0.81,97.60,93.63,180.48,24.47,336.50,12.33,12.13,8.56,2.43,1.63,2.11,1.66,8.56,4.23,8.56,3.44,2.14750829,5,0.694596
BO,20260607,26,1,6,bo_r26_001_tl34_dt45_ge26_qr0_tau79,34,45,26,0.0,0.79,226.95,93.63,177.60,22.15,333.05,9.96,9.73,5.44,1.54,1.01,1.38,1.00,5.44,2.44,5.44,2.13,1.69341982,5,0.545734
BO,20260607,26,2,6,bo_r26_002_tl44_dt15_ge33_qr57_tau79,44,15,33,0.57,0.79,141.38,93.63,177.60,22.15,333.05,9.75,9.61,7.12,2.01,1.36,1.74,1.40,7.12,3.59,7.12,2.87,1.96328339,5,0.730693
BO,20260607,26,3,6,bo_r26_003_tl6_dt37_ge28_qr1_tau80,6,37,28,0.01,0.8,156.33,93.63,177.60,22.15,333.05,9.49,9.25,4.92,1.18,0.81,1.19,0.85,4.92,2.24,4.92,1.87,1.59397671,5,0.518994
BO,20260607,26,4,6,bo_r26_004_tl32_dt7_ge41_qr41_tau85,32,7,41,0.41,0.85,162.34,93.63,177.60,22.15,333.05,8.82,8.71,6.75,1.84,1.26,1.62,1.32,6.75,3.47,6.75,2.71,1.90933629,5,0.765523
BO,20260607,26,5,6,bo_r26_005_tl46_dt49_ge47_qr19_tau80,46,49,47,0.19,0.8,201.76,93.63,177.60,22.15,333.05,8.81,8.67,6.09,1.82,1.21,1.53,1.20,6.09,2.96,6.09,2.47,1.80595171,5,0.690420
BO,20260607,26,6,6,bo_r26_006_tl40_dt49_ge28_qr0_tau78,40,49,28,0.0,0.78,188.88,93.63,177.60,22.15,333.05,8.87,8.66,4.88,1.43,0.94,1.25,0.90,4.88,2.18,4.88,1.93,1.58613559,5,0.550619
BO,20260607,27,1,6,bo_r27_001_tl32_dt29_ge38_qr12_tau83,32,29,38,0.12,0.83,143.16,93.63,177.68,24.83,330.53,8.09,7.95,5.33,1.48,1.00,1.31,1.02,5.33,2.59,5.33,2.12,1.67273345,5,0.658312
BO,20260607,27,2,6,bo_r27_002_tl25_dt29_ge43_qr7_tau84,25,29,43,0.07,0.84,142.00,93.63,177.68,24.83,330.53,8.04,7.89,5.31,1.45,0.98,1.30,1.01,5.31,2.61,5.31,2.11,1.67043101,5,0.661370
BO,20260607,27,3,6,bo_r27_003_tl33_dt27_ge29_qr15_tau81,33,27,29,0.15,0.81,97.60,93.63,177.68,24.83,330.53,7.88,7.72,4.86,1.34,0.90,1.20,0.91,4.86,2.31,4.86,1.92,1.58069170,5,0.616537
BO,20260607,27,4,6,bo_r27_004_tl120_dt42_ge46_qr69_tau80,120,42,46,0.69,0.8,110.88,93.63,177.68,24.83,330.53,7.70,7.67,7.22,2.49,1.63,1.88,1.55,7.22,3.70,7.22,3.08,1.97704412,5,0.937928
BO,20260607,27,5,6,bo_r27_005_tl51_dt34_ge32_qr51_tau81,51,34,32,0.51,0.81,109.13,93.63,177.68,24.83,330.53,7.74,7.63,5.74,1.65,1.11,1.41,1.13,5.74,2.89,5.74,2.32,1.74785289,5,0.742175
BO,20260607,27,6,6,bo_r27_006_tl27_dt56_ge43_qr28_tau79,27,56,43,0.28,0.79,140.23,93.63,177.68,24.83,330.53,7.26,7.13,4.74,1.30,0.88,1.16,0.90,4.74,2.31,4.74,1.88,1.55672149,5,0.653061
BO,20260607,28,1,6,bo_r28_001_tl27_dt25_ge40_qr23_tau77,27,25,40,0.23,0.77,96.86,93.63,175.68,24.21,327.15,11.10,10.87,6.85,1.89,1.27,1.70,1.29,6.85,3.26,6.85,2.71,1.92474129,5,0.617569
BO,20260607,28,2,6,bo_r28_002_tl38_dt40_ge27_qr61_tau85,38,40,27,0.61,0.85,220.36,93.63,175.68,24.21,327.15,9.34,9.23,7.19,1.92,1.32,1.71,1.40,7.19,3.72,7.19,2.88,1.97241312,5,0.769683
BO,20260607,28,3,6,bo_r28_003_tl71_dt43_ge46_qr82_tau70,71,43,46,0.82,0.7,110.88,93.63,175.68,24.21,327.15,9.33,9.21,7.21,2.27,1.50,1.83,1.47,7.21,3.60,7.21,2.98,1.97592561,5,0.773513
BO,20260607,28,4,6,bo_r28_004_tl23_dt30_ge36_qr12_tau79,23,30,36,0.12,0.79,94.76,93.63,175.68,24.21,327.15,9.22,9.02,5.46,1.47,0.99,1.35,1.01,5.46,2.57,5.46,2.14,1.69700641,5,0.591870
BO,20260607,28,5,6,bo_r28_005_tl80_dt50_ge43_qr70_tau73,80,50,43,0.7,0.73,154.40,93.63,175.68,24.21,327.15,9.09,8.99,7.11,2.29,1.51,1.82,1.46,7.11,3.53,7.11,2.95,1.96144021,5,0.781775
BO,20260607,28,6,6,bo_r28_006_tl122_dt36_ge50_qr64_tau76,122,36,50,0.64,0.76,142.73,93.63,175.68,24.21,327.15,8.64,8.60,7.78,2.76,1.79,2.06,1.68,7.78,3.91,7.78,3.33,2.05141074,5,0.900010
BO,20260607,29,1,6,bo_r29_001_tl32_dt20_ge33_qr20_tau76,32,20,33,0.2,0.76,94.19,93.63,174.29,24.01,324.57,28.65,28.03,16.81,4.73,3.15,4.21,3.13,16.81,7.80,16.81,6.64,2.82191236,5,0.586660
BO,20260607,29,2,6,bo_r29_002_tl38_dt30_ge46_qr6_tau83,38,30,46,0.06,0.83,95.72,93.63,174.29,24.01,324.57,18.06,17.76,12.28,3.57,2.38,3.06,2.39,12.28,5.99,12.28,4.95,2.50814211,5,0.680097
BO,20260607,29,3,6,bo_r29_003_tl36_dt14_ge33_qr10_tau79,36,14,33,0.1,0.79,135.70,93.63,174.29,24.01,324.57,15.53,15.21,9.39,2.69,1.79,2.36,1.77,9.39,4.39,9.39,3.73,2.23924381,5,0.604225
BO,20260607,29,4,6,bo_r29_004_tl32_dt22_ge42_qr15_tau81,32,22,42,0.15,0.81,95.77,93.63,174.29,24.01,324.57,15.45,15.18,10.17,2.87,1.92,2.52,1.95,10.17,4.94,10.17,4.06,2.31980909,5,0.658377
BO,20260607,29,5,6,bo_r29_005_tl31_dt14_ge31_qr17_tau82,31,14,31,0.17,0.82,135.70,93.63,174.29,24.01,324.57,15.23,14.94,9.73,2.67,1.80,2.39,1.84,9.73,4.70,9.73,3.85,2.27485069,5,0.638816
BO,20260607,29,6,6,bo_r29_006_tl34_dt18_ge34_qr8_tau77,34,18,34,0.08,0.77,163.73,93.63,174.29,24.01,324.57,14.25,13.93,8.21,2.36,1.56,2.08,1.53,8.21,3.76,8.21,3.25,2.10529450,5,0.576126
BO,20260607,30,1,6,bo_r30_001_tl8_dt35_ge47_qr30_tau83,8,35,47,0.3,0.83,97.62,93.63,172.42,23.17,321.67,9.97,9.81,6.86,1.72,1.19,1.62,1.29,6.86,3.47,6.86,2.69,1.92514603,5,0.687361
BO,20260607,30,2,6,bo_r30_002_tl35_dt25_ge38_qr23_tau72,35,25,38,0.23,0.72,96.86,93.63,172.42,23.17,321.67,8.48,8.28,4.83,1.41,0.93,1.23,0.90,4.83,2.19,4.83,1.92,1.57510447,5,0.570003
BO,20260607,30,3,6,bo_r30_003_tl74_dt27_ge40_qr57_tau83,74,27,40,0.57,0.83,136.58,93.63,172.42,23.17,321.67,8.32,8.25,7.04,2.17,1.45,1.76,1.45,7.04,3.62,7.04,2.91,1.95146788,5,0.846501
BO,20260607,30,4,6,bo_r30_004_tl3_dt20_ge46_qr22_tau75,3,20,46,0.22,0.75,94.19,93.63,172.42,23.17,321.67,8.32,8.13,4.76,1.19,0.81,1.15,0.86,4.76,2.25,4.76,1.83,1.55997101,5,0.572198
BO,20260607,30,5,6,bo_r30_005_tl38_dt30_ge49_qr12_tau77,38,30,49,0.12,0.77,95.72,93.63,172.42,23.17,321.67,8.14,7.98,5.19,1.54,1.02,1.32,1.00,5.19,2.46,5.19,2.09,1.64761836,5,0.638247
BO,20260607,30,6,6,bo_r30_006_tl46_dt22_ge40_qr26_tau83,46,22,40,0.26,0.83,95.77,93.63,172.42,23.17,321.67,7.97,7.85,5.77,1.68,1.13,1.43,1.14,5.77,2.88,5.77,2.34,1.75329890,5,0.724662
BO,20260607,31,1,6,bo_r31_001_tl3_dt37_ge45_qr33_tau75,3,37,45,0.33,0.75,110.10,93.63,170.10,21.23,318.97,15.81,15.47,9.34,2.29,1.58,2.23,1.69,9.34,4.49,9.34,3.60,2.23447030,5,0.590819
BO,20260607,31,2,6,bo_r31_002_tl0_dt45_ge46_qr25_tau75,0,45,46,0.25,0.75,185.02,93.63,170.10,21.23,318.97,14.17,13.85,8.04,1.95,1.35,1.92,1.43,8.04,3.81,8.04,3.08,2.08442327,5,0.567512
BO,20260607,31,3,6,bo_r31_003_tl0_dt47_ge45_qr24_tau72,0,47,45,0.24,0.72,204.13,93.63,170.10,21.23,318.97,13.30,12.97,7.02,1.71,1.17,1.70,1.23,7.02,3.22,7.02,2.67,1.94943708,5,0.528330
BO,20260607,31,4,6,bo_r31_004_tl12_dt31_ge44_qr22_tau74,12,31,44,0.22,0.74,94.14,93.63,170.10,21.23,318.97,13.17,12.88,7.48,1.95,1.32,1.83,1.36,7.48,3.48,7.48,2.90,2.01168793,5,0.567443
BO,20260607,31,5,6,bo_r31_005_tl11_dt30_ge50_qr23_tau74,11,30,50,0.23,0.74,95.72,93.63,170.10,21.23,318.97,13.02,12.74,7.66,2.01,1.36,1.87,1.41,7.66,3.62,7.66,2.99,2.03546348,5,0.587868
BO,20260607,31,6,6,bo_r31_006_tl13_dt29_ge50_qr27_tau72,13,29,50,0.27,0.72,162.22,93.63,170.10,21.23,318.97,12.80,12.52,7.42,1.98,1.33,1.83,1.36,7.42,3.47,7.42,2.90,2.00374310,5,0.579218
BO,20260607,32,1,6,bo_r32_001_tl14_dt36_ge49_qr13_tau76,14,36,49,0.13,0.76,97.62,93.63,169.19,21.61,316.78,33.62,32.89,19.71,5.27,3.55,4.85,3.63,19.71,9.26,19.71,7.71,2.98120610,5,0.586245
BO,20260607,32,2,6,bo_r32_002_tl6_dt26_ge49_qr7_tau75,6,26,49,0.07,0.75,95.10,93.63,169.19,21.61,316.78,30.72,30.00,16.88,4.37,2.95,4.14,3.03,16.88,7.77,16.88,6.52,2.82642042,5,0.549575
BO,20260607,32,3,6,bo_r32_003_tl0_dt34_ge50_qr8_tau75,0,34,50,0.08,0.75,97.62,93.63,169.19,21.61,316.78,25.09,24.49,13.62,3.40,2.32,3.31,2.41,13.62,6.28,13.62,5.22,2.61121323,5,0.542643
BO,20260607,32,4,6,bo_r32_004_tl10_dt25_ge49_qr2_tau75,10,25,49,0.02,0.75,96.86,93.63,169.19,21.61,316.78,24.05,23.47,13.10,3.49,2.34,3.25,2.36,13.10,5.96,13.10,5.08,2.57264511,5,0.544808
BO,20260607,32,5,6,bo_r32_005_tl0_dt22_ge48_qr8_tau75,0,22,48,0.08,0.75,95.77,93.63,169.19,21.61,316.78,22.80,22.25,12.30,3.06,2.09,2.99,2.17,12.30,5.66,12.30,4.71,2.50951360,5,0.539339
BO,20260607,32,6,6,bo_r32_006_tl0_dt26_ge47_qr13_tau75,0,26,47,0.13,0.75,95.10,93.63,169.19,21.61,316.78,20.86,20.36,11.41,2.82,1.93,2.76,2.02,11.41,5.30,11.41,4.37,2.43449340,5,0.547024
BO,20260607,33,1,6,bo_r33_001_tl17_dt20_ge49_qr18_tau79,17,20,49,0.18,0.79,94.19,93.63,166.91,19.54,314.29,21.98,21.56,14.08,3.78,2.56,3.43,2.65,14.08,6.85,14.08,5.56,2.64487154,5,0.640733
BO,20260607,33,2,6,bo_r33_002_tl29_dt16_ge46_qr10_tau74,29,16,46,0.1,0.74,136.48,93.63,166.91,19.54,314.29,17.86,17.46,10.34,3.00,1.98,2.63,1.93,10.34,4.73,10.34,4.10,2.33554331,5,0.578750
BO,20260607,33,3,6,bo_r33_003_tl10_dt23_ge44_qr9_tau74,10,23,44,0.09,0.74,162.51,93.63,166.91,19.54,314.29,14.73,14.37,7.88,2.06,1.39,1.95,1.41,7.88,3.57,7.88,3.04,2.06449255,5,0.534891
BO,20260607,33,4,6,bo_r33_004_tl7_dt23_ge47_qr26_tau79,7,23,47,0.26,0.79,163.42,93.63,166.91,19.54,314.29,13.50,13.24,8.57,2.16,1.49,2.05,1.59,8.57,4.21,8.57,3.35,2.14863555,5,0.635216
BO,20260607,33,5,6,bo_r33_005_tl0_dt14_ge49_qr12_tau77,0,14,49,0.12,0.77,135.70,93.63,166.91,19.54,314.29,12.99,12.70,7.49,1.86,1.28,1.80,1.35,7.49,3.55,7.49,2.89,2.01335616,5,0.576320
BO,20260607,33,6,6,bo_r33_006_tl3_dt25_ge48_qr28_tau78,3,25,48,0.28,0.78,96.86,93.63,166.91,19.54,314.29,12.54,12.29,7.83,1.94,1.34,1.86,1.44,7.83,3.84,7.83,3.04,2.05846063,5,0.624766
BO,20260607,34,1,6,bo_r34_001_tl20_dt29_ge47_qr20_tau76,20,29,47,0.2,0.76,292.29,93.63,165.84,19.93,311.76,24.38,23.88,14.85,4.05,2.72,3.66,2.77,14.85,7.05,14.85,5.85,2.69770864,5,0.608861
BO,20260607,34,2,6,bo_r34_002_tl20_dt37_ge41_qr17_tau73,20,37,41,0.17,0.73,281.78,93.63,165.84,19.93,311.76,21.76,21.25,11.91,3.25,2.16,2.98,2.16,11.91,5.40,11.91,4.64,2.47702513,5,0.547030
BO,20260607,34,3,6,bo_r34_003_tl9_dt28_ge49_qr20_tau74,9,28,49,0.2,0.74,330.89,93.63,165.84,19.93,311.76,20.44,19.99,11.74,3.06,2.07,2.87,2.14,11.74,5.50,11.74,4.57,2.46339361,5,0.574467
BO,20260607,34,4,6,bo_r34_004_tl25_dt23_ge41_qr18_tau74,25,23,41,0.18,0.74,316.60,93.63,165.84,19.93,311.76,18.93,18.51,10.85,3.03,2.01,2.72,2.01,10.85,4.99,10.85,4.27,2.38386553,5,0.572868
BO,20260607,34,5,6,bo_r34_005_tl6_dt22_ge49_qr19_tau73,6,22,49,0.19,0.73,317.12,93.63,165.84,19.93,311.76,18.05,17.63,10.06,2.59,1.76,2.46,1.81,10.06,4.67,10.06,3.89,2.30865486,5,0.557440
BO,20260607,34,6,6,bo_r34_006_tl17_dt28_ge45_qr20_tau72,17,28,45,0.2,0.72,329.46,93.63,165.84,19.93,311.76,16.51,16.13,9.14,2.48,1.66,2.28,1.66,9.14,4.17,9.14,3.56,2.21253331,5,0.553402
BO,20260607,35,1,6,bo_r35_001_tl16_dt33_ge49_qr11_tau77,16,33,49,0.11,0.77,313.39,93.63,170.12,18.38,321.86,33.05,32.36,19.72,5.32,3.58,4.86,3.66,19.72,9.32,19.72,7.74,2.98187665,5,0.596728
BO,20260607,35,2,6,bo_r35_002_tl7_dt18_ge43_qr27_tau73,7,18,43,0.27,0.73,325.64,93.63,170.12,18.38,321.86,23.12,22.59,12.95,3.28,2.23,3.15,2.32,12.95,6.04,12.95,4.99,2.56085019,5,0.559948
BO,20260607,35,3,6,bo_r35_003_tl15_dt28_ge50_qr21_tau77,15,28,50,0.21,0.77,327.21,93.63,170.12,18.38,321.86,19.56,19.18,12.20,3.25,2.21,2.98,2.28,12.20,5.88,12.20,4.80,2.50136446,5,0.623568
BO,20260607,35,4,6,bo_r35_004_tl14_dt51_ge43_qr24_tau77,14,51,43,0.24,0.77,329.75,93.63,170.12,18.38,321.86,18.83,18.43,11.30,2.93,2.00,2.74,2.08,11.30,5.40,11.30,4.41,2.42475267,5,0.600149
BO,20260607,35,5,6,bo_r35_005_tl1_dt23_ge43_qr28_tau79,1,23,43,0.28,0.79,318.62,93.63,170.12,18.38,321.86,18.80,18.42,11.59,2.80,1.95,2.73,2.11,11.59,5.69,11.59,4.48,2.45043579,5,0.616565
BO,20260607,35,6,6,bo_r35_006_tl3_dt26_ge41_qr21_tau74,3,26,41,0.21,0.74,307.40,93.63,170.12,18.38,321.86,18.83,18.38,10.19,2.51,1.71,2.46,1.80,10.19,4.71,10.19,3.90,2.32124409,5,0.540949
BO,20260607,36,1,6,bo_r36_001_tl5_dt39_ge48_qr29_tau76,5,39,48,0.29,0.76,296.59,93.63,174.41,17.00,331.83,38.59,37.79,23.34,5.85,4.02,5.59,4.27,23.34,11.28,23.34,9.06,3.15033358,5,0.604920
BO,20260607,36,2,6,bo_r36_002_tl4_dt44_ge49_qr33_tau76,4,44,49,0.33,0.76,314.19,93.63,174.41,17.00,331.83,37.81,37.05,23.24,5.78,3.99,5.54,4.26,23.24,11.32,23.24,9.02,3.14601026,5,0.614696
BO,20260607,36,3,6,bo_r36_003_tl8_dt45_ge50_qr17_tau80,8,45,50,0.17,0.8,308.39,93.63,174.41,17.00,331.83,30.49,29.90,19.22,4.91,3.37,4.61,3.56,19.22,9.39,19.22,7.51,2.95587590,5,0.630247
BO,20260607,36,4,6,bo_r36_004_tl0_dt40_ge47_qr34_tau75,0,40,47,0.34,0.75,395.19,93.63,174.41,17.00,331.83,24.97,24.44,14.83,3.59,2.49,3.52,2.68,14.83,7.16,14.83,5.71,2.69634702,5,0.593694
BO,20260607,36,5,6,bo_r36_005_tl41_dt28_ge44_qr13_tau84,41,28,44,0.13,0.84,331.76,93.63,174.41,17.00,331.83,23.82,23.45,16.84,4.89,3.27,4.18,3.30,16.84,8.33,16.84,6.80,2.82397256,5,0.707155
BO,20260607,36,6,6,bo_r36_006_tl11_dt52_ge49_qr25_tau72,11,52,49,0.25,0.72,350.42,93.63,174.41,17.00,331.83,22.82,22.29,12.81,3.36,2.27,3.15,2.32,12.81,5.93,12.81,4.97,2.55038221,5,0.561557
