route_id,tls_id,junction_id,emergency_incoming_edge,emergency_outgoing_edge,distance_from_route_start_m,emergency_link_index,green_phase_indices,yellow_phase_indices,all_red_or_clearance_phase_indices,current_program_id,phase_count,phase_duration_list,phase_state_list,is_controllable,audit_status,audit_reason
ER_ACC_003,7335400049,7335400049,218773869#7,218773869#8,1402.01,1,0,1,1 2,0,3,79 6 5,GG|yy|rr,True,PASS,ok
ER_ACC_003,11346754525,11346754525,219696193#0,219696193#1,1481.08,0,0,1,1 2,0,3,79 6 5,GG|yy|rr,True,PASS,ok
ER_ACC_003,11346754525,11346754525,219696193#0,219696193#1,1481.08,1,0,1,1 2,0,3,79 6 5,GG|yy|rr,True,PASS,ok
ER_ACC_003,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,cluster_11203052955_11203052956_11203052960_11203052961_#11more,781985787#0,-781985788#0,2253.96,10,4 8,5 9,1 3 5 7,0,10,16 6 6 6 16 6 6 6 16 6,GrGGGGrrrGrrrrGGGGGrrrrrrr|yryyyyrrryrrrryyyyyrrrrrrr|rrrrrrGGGrrrrrrrrrrGGrrrrr|rrrrrryyyrrrrrrrrrryyrrrrr|GrrrrrrrrGGGrrrrrrrrrGGGGr|yrrrrrrrryyyrrrrrrrrryyyyr|rrrrrrrrrrrrGGrrrrrrrrrrrG|rrrrrrrrrrrryyrrrrrrrrrrry|GGrGGGGGGGGrrrrrrrrrrrrrrr|GyrGGGyyyGyrrrrrrrrrrrrrrr,True,PASS,ok
ER_ACC_003,cluster_11203041632_11203041633_11203041634_11203041635_#5more,cluster_11203041632_11203041633_11203041634_11203041635_#5more,1499619438#0,1499619445#2,2360.64,7,0,1,1 3 7,0,8,27 6 6 6 27 6 6 6,rrrrrrGGGGGrrrrrrrGGGGGrr|rrrrrryyyyyrrrrrrryyyyyrr|rrrrrrrrrrrGrrrrrrrrrrrGG|rrrrrrrrrrryrrrrrrrrrrryy|GGGGggrrrrrrGGGGGrrrrrrrr|yyyyggrrrrrryyyyyrrrrrrrr|rrrrGGrrrrrrrrrrrGrrrrrrr|rrrryyrrrrrrrrrrryrrrrrrr,True,PASS,ok
ER_ACC_003,cluster_11203041632_11203041633_11203041634_11203041635_#5more,cluster_11203041632_11203041633_11203041634_11203041635_#5more,1499619438#0,1499619445#2,2360.64,8,0,1,1 3 7,0,8,27 6 6 6 27 6 6 6,rrrrrrGGGGGrrrrrrrGGGGGrr|rrrrrryyyyyrrrrrrryyyyyrr|rrrrrrrrrrrGrrrrrrrrrrrGG|rrrrrrrrrrryrrrrrrrrrrryy|GGGGggrrrrrrGGGGGrrrrrrrr|yyyyggrrrrrryyyyyrrrrrrrr|rrrrGGrrrrrrrrrrrGrrrrrrr|rrrryyrrrrrrrrrrryrrrrrrr,True,PASS,ok
ER_ACC_003,13732389938,13732389938,1499619443#4,1499619443#8,2548.3,3,2,3,,0,4,42 3 42 3,GGGrrrr|yyGrrrr|rrGGGGG|rrGyyyy,True,PASS,ok
ER_ACC_003,13732389938,13732389938,1499619443#4,1499619443#8,2548.3,4,2,3,,0,4,42 3 42 3,GGGrrrr|yyGrrrr|rrGGGGG|rrGyyyy,True,PASS,ok
ER_ACC_003,13732389938,13732389938,1499619443#4,1499619443#8,2548.3,5,2,3,,0,4,42 3 42 3,GGGrrrr|yyGrrrr|rrGGGGG|rrGyyyy,True,PASS,ok
ER_ACC_003,13732389938,13732389938,1499619443#4,1499619443#8,2548.3,6,2,3,,0,4,42 3 42 3,GGGrrrr|yyGrrrr|rrGGGGG|rrGyyyy,True,PASS,ok
ER_ACC_003,13732389937,13732389937,1499619443#8,1499619443#9,2629.77,2,2,3,1 3,0,4,42 3 42 3,GGrrrr|yyrrrr|rrGGGG|rryyyy,True,PASS,ok
ER_ACC_003,13732389937,13732389937,1499619443#8,1499619443#9,2629.77,3,2,3,1 3,0,4,42 3 42 3,GGrrrr|yyrrrr|rrGGGG|rryyyy,True,PASS,ok
