method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,2,5,6,bo_r02_005_tl12_dt151_ge30_qr53_tau80,12,151,30,0.53,0.8,144.92,104.45,141.24,141.24,0.00,PASS,,recovery_detected,True,False,0,567,0,27,274.86,133.60,416.13,,,,,,,,,,,,,,,141.24,,,
BO,20260607,2,6,6,bo_r02_006_tl121_dt65_ge11_qr46_tau73,121,65,11,0.46,0.73,288.92,143.41,275.69,141.24,0.00,PASS,,recovery_detected,True,False,0,721,0,63,274.86,133.60,416.13,,,,,,,,,,,,,,,275.69,,,
BO,20260607,3,1,6,bo_r03_001_tl22_dt31_ge1_qr54_tau72,22,31,1,0.54,0.72,192.92,131.51,187.34,141.24,0.00,PASS,,recovery_detected,True,False,0,2605,0,59,258.98,125.83,392.12,,,,,,,,,,,,,,,187.34,,,
BO,20260607,3,2,6,bo_r03_002_tl55_dt52_ge38_qr75_tau71,55,52,38,0.75,0.71,165.92,105.67,160.44,141.24,0.00,PASS,,recovery_detected,True,False,0,961,0,27,258.98,125.83,392.12,,,,,,,,,,,,,,,160.44,,,
BO,20260607,3,3,6,bo_r03_003_tl117_dt3_ge19_qr98_tau78,117,3,19,0.98,0.78,262.92,134.33,251.23,141.24,0.00,PASS,,recovery_detected,True,False,0,4644,0,18,258.98,125.83,392.12,,,,,,,,,,,,,,,251.23,,,
BO,20260607,3,4,6,bo_r03_004_tl95_dt181_ge20_qr27_tau74,95,181,20,0.27,0.74,290.92,131.64,276.44,141.24,0.00,PASS,,recovery_detected,True,False,0,394,1,52,258.98,125.83,392.12,,,,,,,,,,,,,,,276.44,,,
BO,20260607,3,5,6,bo_r03_005_tl26_dt127_ge1_qr65_tau72,26,127,1,0.65,0.72,249.92,143.15,240.21,141.24,0.00,PASS,,recovery_detected,True,False,0,1024,0,91,258.98,125.83,392.12,,,,,,,,,,,,,,,240.21,,,
BO,20260607,3,6,6,bo_r03_006_tl55_dt176_ge38_qr40_tau85,55,176,38,0.4,0.85,264.92,123.07,252.02,141.24,0.00,PASS,,recovery_detected,True,False,0,399,0,31,258.98,125.83,392.12,,,,,,,,,,,,,,,252.02,,,
BO,20260607,4,1,6,bo_r04_001_tl3_dt71_ge44_qr30_tau88,3,71,44,0.3,0.88,113.92,105.91,113.19,113.19,0.00,PASS,,recovery_detected,True,False,0,671,1,22,248.63,127.23,370.03,,,,,,,,,,,,,,,113.19,,,
BO,20260607,4,2,6,bo_r04_002_tl31_dt28_ge30_qr19_tau81,31,28,30,0.19,0.81,90.92,120.69,93.63,93.63,0.00,PASS,,recovery_detected,True,False,0,1688,1,19,248.63,127.23,370.03,,,,,,,,,,,,,,,93.63,,,
BO,20260607,4,3,6,bo_r04_003_tl68_dt239_ge1_qr84_tau82,68,239,1,0.84,0.82,325.92,144.70,309.45,93.63,0.00,PASS,,recovery_detected,True,False,0,1093,0,107,248.63,127.23,370.03,,,,,,,,,,,,,,,309.45,,,
BO,20260607,4,4,6,bo_r04_004_tl67_dt190_ge15_qr77_tau75,67,190,15,0.77,0.75,519.92,148.23,486.13,93.63,0.00,PASS,,recovery_detected,True,False,0,652,0,80,248.63,127.23,370.03,,,,,,,,,,,,,,,486.13,,,
BO,20260607,4,5,6,bo_r04_005_tl11_dt176_ge20_qr90_tau78,11,176,20,0.9,0.78,308.92,125.56,292.25,93.63,0.00,PASS,,recovery_detected,True,False,0,772,0,48,248.63,127.23,370.03,,,,,,,,,,,,,,,292.25,,,
BO,20260607,4,6,6,bo_r04_006_tl56_dt15_ge36_qr99_tau75,56,15,36,0.99,0.75,144.92,106.02,141.38,93.63,0.00,PASS,,recovery_detected,True,False,0,2911,0,18,248.63,127.23,370.03,,,,,,,,,,,,,,,141.38,,,
BO,20260607,5,1,6,bo_r05_001_tl50_dt39_ge28_qr38_tau70,50,39,28,0.38,0.7,137.92,101.24,134.59,93.63,0.00,PASS,,recovery_detected,True,False,0,1653,0,28,246.31,74.32,418.30,,,,,,,,,,,,,,,134.59,,,
BO,20260607,5,2,6,bo_r05_002_tl114_dt119_ge42_qr19_tau76,114,119,42,0.19,0.76,270.92,124.72,257.63,93.63,0.00,PASS,,recovery_detected,True,False,0,266,1,32,246.31,74.32,418.30,,,,,,,,,,,,,,,257.63,,,
BO,20260607,5,3,6,bo_r05_003_tl30_dt173_ge9_qr30_tau90,30,173,9,0.3,0.9,333.92,147.40,316.96,93.63,0.00,PASS,,recovery_detected,True,False,0,1030,1,71,246.31,74.32,418.30,,,,,,,,,,,,,,,316.96,,,
BO,20260607,5,4,6,bo_r05_004_tl67_dt40_ge43_qr75_tau74,67,40,43,0.75,0.74,108.92,114.75,109.45,93.63,0.00,PASS,,recovery_detected,True,False,0,1328,0,19,246.31,74.32,418.30,,,,,,,,,,,,,,,109.45,,,
BO,20260607,5,5,6,bo_r05_005_tl20_dt219_ge38_qr92_tau78,20,219,38,0.92,0.78,203.92,116.44,195.97,93.63,0.00,PASS,,recovery_detected,True,False,0,425,0,29,246.31,74.32,418.30,,,,,,,,,,,,,,,195.97,,,
BO,20260607,5,6,6,bo_r05_006_tl98_dt149_ge21_qr12_tau76,98,149,21,0.12,0.76,230.92,110.70,219.99,93.63,0.00,PASS,,recovery_detected,True,False,0,326,1,46,246.31,74.32,418.30,,,,,,,,,,,,,,,219.99,,,
BO,20260607,6,1,6,bo_r06_001_tl119_dt74_ge7_qr7_tau70,119,74,7,0.07,0.7,364.92,128.57,343.43,93.63,0.00,PASS,,recovery_detected,True,False,0,1079,1,86,238.20,69.45,406.96,,,,,,,,,,,,,,,343.43,,,
BO,20260607,6,2,6,bo_r06_002_tl8_dt204_ge36_qr80_tau76,8,204,36,0.8,0.76,258.92,138.18,247.94,93.63,0.00,PASS,,recovery_detected,True,False,0,494,0,35,238.20,69.45,406.96,,,,,,,,,,,,,,,247.94,,,
BO,20260607,6,3,6,bo_r06_003_tl28_dt22_ge33_qr35_tau76,28,22,33,0.35,0.76,145.92,105.85,142.28,93.63,0.00,PASS,,recovery_detected,True,False,0,2579,0,18,238.20,69.45,406.96,,,,,,,,,,,,,,,142.28,,,
BO,20260607,6,4,6,bo_r06_004_tl86_dt232_ge20_qr22_tau70,86,232,20,0.22,0.7,290.92,131.64,276.44,93.63,0.00,PASS,,recovery_detected,True,False,0,394,1,52,238.20,69.45,406.96,,,,,,,,,,,,,,,276.44,,,
BO,20260607,6,5,6,bo_r06_005_tl82_dt60_ge33_qr40_tau89,82,60,33,0.4,0.89,245.92,105.67,233.17,93.63,0.00,PASS,,recovery_detected,True,False,0,657,0,33,238.20,69.45,406.96,,,,,,,,,,,,,,,233.17,,,
BO,20260607,6,6,6,bo_r06_006_tl81_dt122_ge8_qr4_tau70,81,122,8,0.04,0.7,406.92,145.14,383.12,93.63,0.00,PASS,,recovery_detected,True,False,0,890,1,88,238.20,69.45,406.96,,,,,,,,,,,,,,,383.12,,,
BO,20260607,7,1,6,bo_r07_001_tl58_dt81_ge42_qr4_tau82,58,81,42,0.04,0.82,198.92,107.13,190.58,93.63,0.00,PASS,,recovery_detected,True,False,0,297,1,28,243.68,75.78,411.58,,,,,,,,,,,,,,,190.58,,,
BO,20260607,7,2,6,bo_r07_002_tl12_dt115_ge48_qr61_tau70,12,115,48,0.61,0.7,283.92,129.85,269.91,93.63,0.00,PASS,,recovery_detected,True,False,0,321,0,30,243.68,75.78,411.58,,,,,,,,,,,,,,,269.91,,,
BO,20260607,7,3,6,bo_r07_003_tl73_dt176_ge11_qr55_tau84,73,176,11,0.55,0.84,320.92,130.30,303.59,93.63,0.00,PASS,,recovery_detected,True,False,0,575,0,67,243.68,75.78,411.58,,,,,,,,,,,,,,,303.59,,,
BO,20260607,7,4,6,bo_r07_004_tl26_dt15_ge37_qr40_tau84,26,15,37,0.4,0.84,145.92,106.02,142.29,93.63,0.00,PASS,,recovery_detected,True,False,0,2911,0,17,243.68,75.78,411.58,,,,,,,,,,,,,,,142.29,,,
BO,20260607,7,5,6,bo_r07_005_tl106_dt115_ge29_qr23_tau87,106,115,29,0.23,0.87,224.92,132.96,216.56,93.63,0.00,PASS,,recovery_detected,True,False,0,349,1,34,243.68,75.78,411.58,,,,,,,,,,,,,,,216.56,,,
BO,20260607,7,6,6,bo_r07_006_tl34_dt110_ge15_qr88_tau86,34,110,15,0.88,0.86,303.92,135.23,288.58,93.63,0.00,PASS,,recovery_detected,True,False,0,829,0,58,243.68,75.78,411.58,,,,,,,,,,,,,,,288.58,,,
BO,20260607,8,1,6,bo_r08_001_tl103_dt74_ge32_qr38_tau71,103,74,32,0.38,0.71,242.92,121.61,231.89,93.63,0.00,PASS,,recovery_detected,True,False,0,424,0,36,242.47,81.23,403.71,,,,,,,,,,,,,,,231.89,,,
BO,20260607,8,2,6,bo_r08_002_tl12_dt66_ge2_qr31_tau79,12,66,2,0.31,0.79,295.92,134.81,281.27,93.63,0.00,PASS,,recovery_detected,True,False,0,1885,0,84,242.47,81.23,403.71,,,,,,,,,,,,,,,281.27,,,
BO,20260607,8,3,6,bo_r08_003_tl52_dt209_ge43_qr9_tau88,52,209,43,0.09,0.88,209.92,109.06,200.75,93.63,0.00,PASS,,recovery_detected,True,False,0,168,1,29,242.47,81.23,403.71,,,,,,,,,,,,,,,200.75,,,
BO,20260607,8,4,6,bo_r08_004_tl53_dt156_ge33_qr38_tau86,53,156,33,0.38,0.86,363.92,139.75,343.54,93.63,0.00,PASS,,recovery_detected,True,False,0,364,0,42,242.47,81.23,403.71,,,,,,,,,,,,,,,343.54,,,
BO,20260607,8,5,6,bo_r08_005_tl23_dt153_ge44_qr17_tau73,23,153,44,0.17,0.73,159.92,111.39,155.51,93.63,0.00,PASS,,recovery_detected,True,False,0,249,1,28,242.47,81.23,403.71,,,,,,,,,,,,,,,155.51,,,
BO,20260607,8,6,6,bo_r08_006_tl17_dt76_ge27_qr36_tau87,17,76,27,0.36,0.87,159.92,116.59,155.98,93.63,0.00,PASS,,recovery_detected,True,False,0,585,0,33,242.47,81.23,403.71,,,,,,,,,,,,,,,155.98,,,
BO,20260607,9,1,6,bo_r09_001_tl106_dt21_ge32_qr45_tau74,106,21,32,0.45,0.74,144.92,103.21,141.13,93.63,0.00,PASS,,recovery_detected,True,False,0,2674,0,19,240.68,82.49,398.88,,,,,,,,,,,,,,,141.13,,,
BO,20260607,9,2,6,bo_r09_002_tl105_dt75_ge12_qr84_tau87,105,75,12,0.84,0.87,290.92,133.66,276.62,93.63,0.00,PASS,,recovery_detected,True,False,0,971,0,58,240.68,82.49,398.88,,,,,,,,,,,,,,,276.62,,,
BO,20260607,9,3,6,bo_r09_003_tl42_dt234_ge39_qr55_tau84,42,234,39,0.55,0.84,274.92,125.42,261.33,93.63,0.00,PASS,,recovery_detected,True,False,0,245,0,32,240.68,82.49,398.88,,,,,,,,,,,,,,,261.33,,,
BO,20260607,9,4,6,bo_r09_004_tl119_dt231_ge27_qr7_tau70,119,231,27,0.07,0.7,287.92,125.71,273.17,93.63,0.00,PASS,,recovery_detected,True,False,0,277,1,43,240.68,82.49,398.88,,,,,,,,,,,,,,,273.17,,,
BO,20260607,9,5,6,bo_r09_005_tl57_dt68_ge11_qr91_tau90,57,68,11,0.91,0.9,210.92,131.08,203.66,93.63,0.00,PASS,,recovery_detected,True,False,0,546,0,58,240.68,82.49,398.88,,,,,,,,,,,,,,,203.66,,,
BO,20260607,9,6,6,bo_r09_006_tl32_dt111_ge6_qr52_tau83,32,111,6,0.52,0.83,262.92,136.76,251.45,93.63,0.00,PASS,,recovery_detected,True,False,0,1076,0,69,240.68,82.49,398.88,,,,,,,,,,,,,,,251.45,,,
BO,20260607,10,1,6,bo_r10_001_tl78_dt33_ge41_qr96_tau79,78,33,41,0.96,0.79,144.92,116.59,142.34,93.63,0.00,PASS,,recovery_detected,True,False,0,1932,0,20,240.00,87.52,392.49,,,,,,,,,,,,,,,142.34,,,
BO,20260607,10,2,6,bo_r10_002_tl33_dt142_ge15_qr0_tau74,33,142,15,0.0,0.74,267.92,127.84,255.19,93.63,0.00,PASS,,recovery_detected,True,False,0,802,1,51,240.00,87.52,392.49,,,,,,,,,,,,,,,255.19,,,
BO,20260607,10,3,6,bo_r10_003_tl111_dt95_ge35_qr42_tau87,111,95,35,0.42,0.87,370.92,145.92,350.47,93.63,0.00,PASS,,recovery_detected,True,False,0,444,0,41,240.00,87.52,392.49,,,,,,,,,,,,,,,350.47,,,
BO,20260607,10,4,6,bo_r10_004_tl119_dt133_ge13_qr83_tau76,119,133,13,0.83,0.76,355.92,136.59,335.98,93.63,0.00,PASS,,recovery_detected,True,False,0,680,0,65,240.00,87.52,392.49,,,,,,,,,,,,,,,335.98,,,
BO,20260607,10,5,6,bo_r10_005_tl103_dt217_ge30_qr85_tau82,103,217,30,0.85,0.82,286.92,115.42,271.33,93.63,0.00,PASS,,recovery_detected,True,False,0,292,0,40,240.00,87.52,392.49,,,,,,,,,,,,,,,271.33,,,
BO,20260607,10,6,6,bo_r10_006_tl2_dt95_ge46_qr94_tau71,2,95,46,0.94,0.71,162.92,110.90,158.19,93.63,0.00,PASS,,recovery_detected,True,False,0,636,0,22,240.00,87.52,392.49,,,,,,,,,,,,,,,158.19,,,
BO,20260607,11,1,6,bo_r11_001_tl13_dt11_ge30_qr26_tau85,13,11,30,0.26,0.85,163.92,1946.54,325.98,93.63,0.00,PASS,,recovery_detected,True,False,0,3312,0,17,125.04,41.78,208.30,5.27,5.17,3.47,0.86,0.60,0.82,0.65,3.47,1.74,3.47,1.36,1.24509846,5,0.659613,325.98,,,
BO,20260607,11,2,6,bo_r11_002_tl32_dt13_ge29_qr48_tau70,32,13,29,0.48,0.7,161.92,1950.22,324.49,93.63,0.00,PASS,,recovery_detected,True,False,0,3138,0,18,163.04,62.89,263.18,3.26,3.19,1.88,0.52,0.35,0.47,0.35,1.88,0.87,1.88,0.74,0.63249147,5,0.576725,324.49,,,
BO,20260607,11,3,6,bo_r11_003_tl14_dt48_ge44_qr39_tau85,14,48,44,0.39,0.85,138.92,1945.77,303.18,93.63,0.00,PASS,,recovery_detected,True,False,0,1172,0,20,139.34,54.71,223.97,3.11,3.06,2.26,0.57,0.40,0.53,0.43,2.26,1.17,2.26,0.89,0.81672303,5,0.728198,303.18,,,
BO,20260607,11,4,6,bo_r11_004_tl57_dt6_ge30_qr37_tau70,57,6,30,0.37,0.7,181.92,1912.39,339.24,93.63,0.00,PASS,,recovery_detected,True,False,0,4148,0,17,133.81,57.20,210.42,3.00,2.94,1.80,0.57,0.37,0.47,0.35,1.80,0.82,1.80,0.73,0.58729547,5,0.598984,339.24,,,
BO,20260607,11,5,6,bo_r11_005_tl36_dt18_ge29_qr24_tau83,36,18,29,0.24,0.83,177.92,1940.55,338.16,93.63,0.00,PASS,,recovery_detected,True,False,0,2932,0,21,107.75,54.10,161.39,2.90,2.85,1.94,0.54,0.36,0.48,0.37,1.94,0.95,1.94,0.77,0.66183446,5,0.667760,338.16,,,
BO,20260607,11,6,6,bo_r11_006_tl37_dt0_ge31_qr17_tau77,37,0,31,0.17,0.77,325.92,1851.74,464.63,93.63,0.00,PASS,,recovery_detected,True,False,0,314,0,40,121.13,45.45,196.81,2.26,2.21,1.35,0.39,0.26,0.34,0.25,1.35,0.63,1.35,0.54,0.30210742,5,0.597997,464.63,,,
BO,20260607,12,1,6,bo_r12_001_tl71_dt42_ge45_qr79_tau74,71,42,45,0.79,0.74,177.92,1998.96,343.47,93.63,0.00,PASS,,recovery_detected,True,False,0,1521,0,23,120.53,51.93,189.12,0.39,0.39,0.32,0.10,0.07,0.08,0.06,0.32,0.16,0.32,0.13,-1.15167649,5,0.807330,343.47,,,
BO,20260607,12,2,6,bo_r12_002_tl64_dt30_ge38_qr76_tau78,64,30,38,0.76,0.78,159.92,1989.75,326.27,93.63,0.00,PASS,,recovery_detected,True,False,0,2131,0,24,124.23,27.60,220.87,0.33,0.33,0.27,0.08,0.05,0.07,0.06,0.27,0.14,0.27,0.11,-1.30326601,5,0.812384,326.27,,,
BO,20260607,12,3,6,bo_r12_003_tl66_dt41_ge35_qr76_tau77,66,41,35,0.76,0.77,291.92,1842.86,432.91,93.63,0.00,PASS,,recovery_detected,True,False,0,1815,0,34,113.65,59.86,167.45,0.33,0.33,0.26,0.08,0.05,0.06,0.05,0.26,0.13,0.26,0.11,-1.34437840,5,0.792187,432.91,,,
BO,20260607,12,4,6,bo_r12_004_tl66_dt33_ge33_qr77_tau71,66,33,33,0.77,0.71,186.92,1975.04,349.48,93.63,0.00,PASS,,recovery_detected,True,False,0,2095,0,27,120.52,36.28,204.76,0.25,0.25,0.18,0.06,0.04,0.05,0.04,0.18,0.09,0.18,0.07,-1.70385855,5,0.724218,349.48,,,
BO,20260607,12,5,6,bo_r12_005_tl71_dt49_ge41_qr71_tau74,71,49,41,0.71,0.74,183.92,1992.76,348.36,93.63,0.00,PASS,,recovery_detected,True,False,0,1628,0,25,141.22,41.85,240.58,0.24,0.24,0.19,0.06,0.04,0.05,0.04,0.19,0.09,0.19,0.08,-1.68060528,5,0.773265,348.36,,,
BO,20260607,12,6,6,bo_r12_006_tl65_dt52_ge40_qr76_tau75,65,52,40,0.76,0.75,162.92,1971.11,327.30,93.63,0.00,PASS,,recovery_detected,True,False,0,1311,0,26,142.43,45.55,239.31,0.23,0.23,0.18,0.05,0.04,0.05,0.04,0.18,0.09,0.18,0.07,-1.71157880,5,0.781765,327.30,,,
