method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,delay_A,delay_N,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
Random Search,20260607,4,6,6,rs_r04_006_tl11_dt218_ge44_qr0_tau72,11,218,44,0.0,0.72,195.92,82.57,185.61,110.26,0.00,PASS,,recovery_detected,True,False,0,616,1,27,,,,,,,,,,,,,,,,,185.61,,,
Random Search,20260607,5,1,6,rs_r05_001_tl76_dt212_ge40_qr30_tau72,76,212,40,0.3,0.72,329.92,98.27,308.86,110.26,0.00,PASS,,recovery_detected,True,False,0,276,1,37,,,,,,,,,,,,,,,,,308.86,,,
Random Search,20260607,5,2,6,rs_r05_002_tl122_dt114_ge19_qr92_tau72,122,114,19,0.92,0.72,394.92,86.14,366.85,110.26,0.00,PASS,,recovery_detected,True,False,0,667,0,63,,,,,,,,,,,,,,,,,366.85,,,
Random Search,20260607,5,3,6,rs_r05_003_tl22_dt124_ge43_qr63_tau86,22,124,43,0.63,0.86,256.92,80.52,240.88,110.26,0.00,PASS,,recovery_detected,True,False,0,259,0,29,,,,,,,,,,,,,,,,,240.88,,,
Random Search,20260607,5,4,6,rs_r05_004_tl6_dt161_ge33_qr26_tau82,6,161,33,0.26,0.82,167.92,91.80,161.00,110.26,0.00,PASS,,recovery_detected,True,False,0,784,1,32,,,,,,,,,,,,,,,,,161.00,,,
Random Search,20260607,5,5,6,rs_r05_005_tl53_dt56_ge20_qr11_tau83,53,56,20,0.11,0.83,166.92,82.85,159.28,110.26,0.00,PASS,,recovery_detected,True,False,0,687,1,40,,,,,,,,,,,,,,,,,159.28,,,
Random Search,20260607,5,6,6,rs_r05_006_tl75_dt157_ge11_qr44_tau86,75,157,11,0.44,0.86,0.00,83.49,1000007.59,110.26,1000000.00,FAIL,Connection closed by SUMO.,,False,False,0,0,0,0,,,,,,,,,,,,,,,,,7.59,,,
Random Search,20260607,6,1,6,rs_r06_001_tl46_dt192_ge42_qr0_tau71,46,192,42,0.0,0.71,296.92,81.08,277.30,110.26,0.00,PASS,,recovery_detected,True,False,0,376,1,36,,,,,,,,,,,,,,,,,277.30,,,
Random Search,20260607,6,2,6,rs_r06_002_tl111_dt123_ge48_qr58_tau90,111,123,48,0.58,0.9,303.92,80.26,283.59,110.26,0.00,PASS,,recovery_detected,True,False,0,366,0,32,,,,,,,,,,,,,,,,,283.59,,,
Random Search,20260607,6,3,6,rs_r06_003_tl5_dt81_ge41_qr17_tau85,5,81,41,0.17,0.85,150.92,94.01,145.75,110.26,0.00,PASS,,recovery_detected,True,False,0,825,1,23,,,,,,,,,,,,,,,,,145.75,,,
