label,variant_kind,time_profile,spatial_shift,vehicle_count,clone_count,route_changed_count,time_changed_count,run_id,final_status,failure_reason,T_actual_EMV_sec,background_departed,background_arrived,background_arrived_ratio,general_mean_delay_sec,toegye_entered_weighted_speed_kmh,toegye_sampled_weighted_speed_kmh,toegye_movement_simple_mean_kmh,toegye_movement_median_kmh,toegye_slow_movement_count_le10,toegye_slow_movement_count_le15,toegye_fast_movement_count_gt60,toegye_entered_total,toegye_sampled_seconds_total,score_abs_error,demand_file,metrics_csv,run_dir
u130_keep,u130_clone_time_spatial_redistribution,keep,0.0,4508,1040,0,0,u130_toegye_general15_20260606_u130_keep,FAIL,hard_max_sim_time,,4508,1502,0.333185,488.071198,12.971639,2.259305,23.812144,2.728071,11,11,4,18753.0,1497132.31,2.0283610000000003,09 Compact Corridor Baseline/tdata_signal/u130_toegye_general15/background_routes_compact_v9_B04_u130_keep.rou.xml,results/metrics/compact_v9_B4_u130_toegye_general15/u130_toegye_general15_20260606_u130_keep/b04_result_row.csv,runs/compact_v9_B4_u130_toegye_general15/u130_toegye_general15_20260606_u130_keep/B04/no_control/repeat_001
u130_peak_soft,u130_clone_time_spatial_redistribution,peak_soft,0.0,4508,1040,0,1040,u130_toegye_general15_20260606_u130_peak_soft,FAIL,hard_max_sim_time,,4508,1522,0.337622,561.59908,13.003963,2.204895,24.057345,2.530419,11,11,4,19110.0,1565578.17,1.9960369999999994,09 Compact Corridor Baseline/tdata_signal/u130_toegye_general15/background_routes_compact_v9_B04_u130_peak_soft.rou.xml,results/metrics/compact_v9_B4_u130_toegye_general15/u130_toegye_general15_20260606_u130_peak_soft/b04_result_row.csv,runs/compact_v9_B4_u130_toegye_general15/u130_toegye_general15_20260606_u130_peak_soft/B04/no_control/repeat_001
u130_even,u130_clone_time_spatial_redistribution,even,0.0,4508,1040,0,1036,u130_toegye_general15_20260606_u130_even,FAIL,hard_max_sim_time,,4508,1490,0.330524,466.325752,12.8582,2.354464,23.304522,2.732801,11,11,4,19048.0,1466741.79,2.1418,09 Compact Corridor Baseline/tdata_signal/u130_toegye_general15/background_routes_compact_v9_B04_u130_even.rou.xml,results/metrics/compact_v9_B4_u130_toegye_general15/u130_toegye_general15_20260606_u130_even/b04_result_row.csv,runs/compact_v9_B4_u130_toegye_general15/u130_toegye_general15_20260606_u130_even/B04/no_control/repeat_001
u130_shoulder,u130_clone_time_spatial_redistribution,shoulder,0.0,4508,1040,0,1032,u130_toegye_general15_20260606_u130_shoulder,PASS,,1223.0,4508,666,0.147737,201.03015,19.199217,3.408541,29.861477,11.588674,8,9,4,8143.0,428095.12,4.199217000000001,09 Compact Corridor Baseline/tdata_signal/u130_toegye_general15/background_routes_compact_v9_B04_u130_shoulder.rou.xml,results/metrics/compact_v9_B4_u130_toegye_general15/u130_toegye_general15_20260606_u130_shoulder/b04_result_row.csv,runs/compact_v9_B4_u130_toegye_general15/u130_toegye_general15_20260606_u130_shoulder/B04/no_control/repeat_001
u130_spatial_mild,u130_clone_time_spatial_redistribution,keep,0.15,4508,1040,158,0,u130_toegye_general15_20260606_u130_spatial_mild,PASS,,1222.0,4508,591,0.1311,168.356548,13.286749,3.409234,26.986404,10.089691,8,9,4,8837.0,436423.51,1.7132509999999996,09 Compact Corridor Baseline/tdata_signal/u130_toegye_general15/background_routes_compact_v9_B04_u130_spatial_mild.rou.xml,results/metrics/compact_v9_B4_u130_toegye_general15/u130_toegye_general15_20260606_u130_spatial_mild/b04_result_row.csv,runs/compact_v9_B4_u130_toegye_general15/u130_toegye_general15_20260606_u130_spatial_mild/B04/no_control/repeat_001
u130_spatial_peak_mild,u130_clone_time_spatial_redistribution,peak_soft,0.15,4508,1040,158,1040,u130_toegye_general15_20260606_u130_spatial_peak_mild,PASS,,2721.0,4508,1296,0.287489,438.266065,12.848067,2.408904,24.854958,2.649143,11,11,4,16454.0,1219761.63,2.1519329999999997,09 Compact Corridor Baseline/tdata_signal/u130_toegye_general15/background_routes_compact_v9_B04_u130_spatial_peak_mild.rou.xml,results/metrics/compact_v9_B4_u130_toegye_general15/u130_toegye_general15_20260606_u130_spatial_peak_mild/b04_result_row.csv,runs/compact_v9_B4_u130_toegye_general15/u130_toegye_general15_20260606_u130_spatial_peak_mild/B04/no_control/repeat_001
