variable,candidate_count,pass_count,fail_count,best_EV_sec,worst_EV_sec,EV_range_sec,best_score_sec,worst_score_sec,preemption_range,tau_hit_0p75_range,sensitivity_label
tau,6,2,4,921.0,922.0,1.0,9454.28,9488.67,1.0,19.0,high
tau_scale,4,1,3,922.0,922.0,,9488.67,9488.67,,,high
tau_numerator_gamma,3,2,1,728.0,922.0,194.0,7528.89,9488.67,5.0,50.0,high
hold_max,3,3,0,462.0,867.0,405.0,4817.91,8914.38,3.0,8.0,high
d_up,2,1,1,1323.0,1323.0,,13534.2,13534.2,,,high
