route_id,category,mean_speed_kmh,speed_delta_to_20kmh,weighting,weight_sum
ER_ACC_001,network,14.715791,-5.284209,summary_running_vehicle_seconds,
ER_ACC_001,spine,9.056329,-10.943671,sampledSeconds,254320.89
ER_ACC_001,emergency_route_corridor,24.232278,4.232278,sampledSeconds,2331.65
ER_ACC_002,network,14.731776,-5.268224,summary_running_vehicle_seconds,
ER_ACC_002,spine,9.035263,-10.964737,sampledSeconds,255915.4
ER_ACC_002,emergency_route_corridor,6.207953,-13.792047,sampledSeconds,172156.71
ER_ACC_003,network,17.893384,-2.106616,summary_running_vehicle_seconds,
ER_ACC_003,spine,11.617153,-8.382847,sampledSeconds,198955.56
ER_ACC_003,emergency_route_corridor,10.448497,-9.551503,sampledSeconds,94545.86
ER_ACC_004,network,17.721073,-2.278927,summary_running_vehicle_seconds,
ER_ACC_004,spine,11.519592,-8.480408,sampledSeconds,200388.38
ER_ACC_004,emergency_route_corridor,18.179177,-1.820823,sampledSeconds,42529.63
ER_ACC_005,network,14.26609,-5.73391,summary_running_vehicle_seconds,
ER_ACC_005,spine,8.651736,-11.348264,sampledSeconds,266519.76
ER_ACC_005,emergency_route_corridor,44.547506,24.547506,sampledSeconds,12896.31
ER_ACC_006,network,14.266716,-5.733284,summary_running_vehicle_seconds,
ER_ACC_006,spine,8.688133,-11.311867,sampledSeconds,265607.26
ER_ACC_006,emergency_route_corridor,43.991386,23.991386,sampledSeconds,11783.79
ER_ACC_007,network,17.490165,-2.509835,summary_running_vehicle_seconds,
ER_ACC_007,spine,11.217477,-8.782523,sampledSeconds,205679.15
ER_ACC_007,emergency_route_corridor,45.044846,25.044846,sampledSeconds,10718.88
ER_ACC_008,network,17.688512,-2.311488,summary_running_vehicle_seconds,
ER_ACC_008,spine,11.53772,-8.46228,sampledSeconds,199664.1
ER_ACC_008,emergency_route_corridor,27.614534,7.614534,sampledSeconds,5551.79
ER_ACC_009,network,14.359753,-5.640247,summary_running_vehicle_seconds,
ER_ACC_009,spine,8.651742,-11.348258,sampledSeconds,266505.52
ER_ACC_009,emergency_route_corridor,31.186302,11.186302,sampledSeconds,7510.72
ER_ACC_010,network,17.516333,-2.483667,summary_running_vehicle_seconds,
ER_ACC_010,spine,11.49538,-8.50462,sampledSeconds,200475.76
ER_ACC_010,emergency_route_corridor,28.347333,8.347333,sampledSeconds,6710.91
ER_ACC_011,network,14.89306,-5.10694,summary_running_vehicle_seconds,
ER_ACC_011,spine,9.143258,-10.856742,sampledSeconds,252516.9
ER_ACC_011,emergency_route_corridor,47.248595,27.248595,sampledSeconds,12949.12
ER_ACC_012,network,14.637542,-5.362458,summary_running_vehicle_seconds,
ER_ACC_012,spine,8.938137,-11.061863,sampledSeconds,257819.61
ER_ACC_012,emergency_route_corridor,30.077255,10.077255,sampledSeconds,7225.31
ER_ACC_013,network,14.049135,-5.950865,summary_running_vehicle_seconds,
ER_ACC_013,spine,8.955364,-11.044636,sampledSeconds,258265.29
ER_ACC_013,emergency_route_corridor,5.580183,-14.419817,sampledSeconds,192066.26
ER_ACC_014,network,17.534714,-2.465286,summary_running_vehicle_seconds,
ER_ACC_014,spine,11.454928,-8.545072,sampledSeconds,201626.97
ER_ACC_014,emergency_route_corridor,9.069997,-10.930003,sampledSeconds,107449.16
ER_ACC_015,network,17.134973,-2.865027,summary_running_vehicle_seconds,
ER_ACC_015,spine,11.229786,-8.770214,sampledSeconds,205722.48
ER_ACC_015,emergency_route_corridor,9.121045,-10.878955,sampledSeconds,101674.13
ER_ACC_016,network,17.587581,-2.412419,summary_running_vehicle_seconds,
ER_ACC_016,spine,11.261753,-8.738247,sampledSeconds,205171.61
ER_ACC_016,emergency_route_corridor,9.947582,-10.052418,sampledSeconds,99827.49
ER_ACC_017,network,17.608365,-2.391635,summary_running_vehicle_seconds,
ER_ACC_017,spine,11.548617,-8.451383,sampledSeconds,199777.84
ER_ACC_017,emergency_route_corridor,44.875993,24.875993,sampledSeconds,10853.4
ER_ACC_018,network,13.750835,-6.249165,summary_running_vehicle_seconds,
ER_ACC_018,spine,8.520994,-11.479006,sampledSeconds,270997.83
ER_ACC_018,emergency_route_corridor,8.845878,-11.154122,sampledSeconds,105970.63
ER_ACC_019,network,14.54397,-5.45603,summary_running_vehicle_seconds,
ER_ACC_019,spine,8.767896,-11.232104,sampledSeconds,264098.13
ER_ACC_019,emergency_route_corridor,10.06243,-9.93757,sampledSeconds,103167.26
