edge_id,actual_entered_count,actual_left_count,actual_screenline_count,sampled_seconds
-170207585#1,0.0,0.0,0.0,0.0
-170207585#2,1.0,2.0,2.0,9.77
-170207591#0,0.0,2.0,2.0,18.28
-170207591#1,0.0,0.0,0.0,0.0
-170403779,14.0,15.0,15.0,119.3
-170403787#0,2.0,1.0,2.0,4.37
-170403787#1,3.0,2.0,3.0,8.34
-170403791#3,0.0,0.0,0.0,0.0
-170403792,0.0,0.0,0.0,0.0
-170403804#3,0.0,0.0,0.0,0.0
-170403805,3.0,3.0,3.0,24.87
-170403810#3,0.0,0.0,0.0,0.0
-170403818#1,3.0,3.0,3.0,15.66
-170403818#2,2.0,2.0,2.0,16.5
-170403818#5,1.0,0.0,1.0,3.08
-170403831#4,0.0,3.0,3.0,56.79
-174870621#0,182.0,177.0,182.0,87167.16
-174870621#10,60.0,61.0,61.0,193.98
-174870621#2,182.0,179.0,182.0,57246.24
-174870621#5,110.0,110.0,110.0,5371.45
-174870621#7,69.0,68.0,69.0,2615.71
-174870621#8,65.0,65.0,65.0,378.5
-176728949#1,0.0,6.0,6.0,111.38
-176728950#0,0.0,0.0,0.0,0.0
-176728950#2,14.0,2.0,14.0,59.52
-176728951#0,113.0,118.0,118.0,858.76
-176728951#1,92.0,100.0,100.0,260.97
