experiment_id,enabled_terminal_id,enabled_tls_id,time,route_id,vehicle_id,tls_id,junction_id,incoming,outgoing,eta_sec,current_road_id,action,reason,phase,green_phase_indices
b0_valid_18route_ER_ACC_001_PT_012,PT_012,cluster_12785870414_3337522189,1.0,ER_ACC_001,emergency_ER_ACC_001_PT_012,cluster_1326096615_3849700763,cluster_1326096615_3849700763,-381802847#2,-183272625#1,2.979,-381802881#2,skip,disabled_by_single_terminal_experiment,,
b0_valid_18route_ER_ACC_001_PT_012,PT_012,cluster_12785870414_3337522189,2.0,ER_ACC_001,emergency_ER_ACC_001_PT_012,cluster_3846534041_436877431,cluster_3846534041_436877431,180368918#3,180368918#5,21.224,-381802881#2,skip,disabled_by_single_terminal_experiment,,
b0_valid_18route_ER_ACC_001_PT_013,PT_013,cluster_1326096615_3849700763,1.0,ER_ACC_001,emergency_ER_ACC_001_PT_013,cluster_1326096615_3849700763,cluster_1326096615_3849700763,-381802847#2,-183272625#1,2.979,-381802881#2,skip,safe_green_not_current_or_next_phase,0,2
b0_valid_18route_ER_ACC_001_PT_013,PT_013,cluster_1326096615_3849700763,2.0,ER_ACC_001,emergency_ER_ACC_001_PT_013,cluster_3846534041_436877431,cluster_3846534041_436877431,180368918#3,180368918#5,21.224,-381802881#2,skip,disabled_by_single_terminal_experiment,,
b0_valid_18route_ER_ACC_001_PT_014,PT_014,cluster_13348293702_13348293703_414685829,1.0,ER_ACC_001,emergency_ER_ACC_001_PT_014,cluster_1326096615_3849700763,cluster_1326096615_3849700763,-381802847#2,-183272625#1,2.979,-381802881#2,skip,disabled_by_single_terminal_experiment,,
b0_valid_18route_ER_ACC_001_PT_014,PT_014,cluster_13348293702_13348293703_414685829,2.0,ER_ACC_001,emergency_ER_ACC_001_PT_014,cluster_3846534041_436877431,cluster_3846534041_436877431,180368918#3,180368918#5,21.224,-381802881#2,skip,disabled_by_single_terminal_experiment,,
b0_valid_18route_ER_ACC_001_PT_015,PT_015,cluster_3846534041_436877431,1.0,ER_ACC_001,emergency_ER_ACC_001_PT_015,cluster_1326096615_3849700763,cluster_1326096615_3849700763,-381802847#2,-183272625#1,2.979,-381802881#2,skip,disabled_by_single_terminal_experiment,,
b0_valid_18route_ER_ACC_001_PT_015,PT_015,cluster_3846534041_436877431,2.0,ER_ACC_001,emergency_ER_ACC_001_PT_015,cluster_3846534041_436877431,cluster_3846534041_436877431,180368918#3,180368918#5,21.224,-381802881#2,extend_green,current_phase_already_green,0,
b0_valid_18route_ER_ACC_001_PT_016,PT_016,joinedS_11139302899_11139302904_11178710208_cluster_11139302901_5593950669_5593950674,1.0,ER_ACC_001,emergency_ER_ACC_001_PT_016,cluster_1326096615_3849700763,cluster_1326096615_3849700763,-381802847#2,-183272625#1,2.979,-381802881#2,skip,disabled_by_single_terminal_experiment,,
b0_valid_18route_ER_ACC_001_PT_016,PT_016,joinedS_11139302899_11139302904_11178710208_cluster_11139302901_5593950669_5593950674,2.0,ER_ACC_001,emergency_ER_ACC_001_PT_016,cluster_3846534041_436877431,cluster_3846534041_436877431,180368918#3,180368918#5,21.224,-381802881#2,skip,disabled_by_single_terminal_experiment,,
