experiment_id,enabled_terminal_id,enabled_tls_id,time,route_id,vehicle_id,tls_id,junction_id,incoming,outgoing,eta_sec,current_road_id,action,reason,phase,green_phase_indices
er_acc_002_ER_ACC_002_PT_010,PT_010,cluster_11203041632_11203041633_11203041634_11203041635_#5more,31.0,ER_ACC_002,emergency_ER_ACC_002_PT_010,11346754525,11346754525,219696193#0,219696193#1,29.72,180368918#6,skip,disabled_by_single_terminal_experiment,,
er_acc_002_ER_ACC_002_PT_010,PT_010,cluster_11203041632_11203041633_11203041634_11203041635_#5more,61.0,ER_ACC_002,emergency_ER_ACC_002_PT_010,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,cluster_11203052955_11203052956_11203052960_11203052961_#11more,781985787#0,-781985788#0,29.823,218773869#1,skip,disabled_by_single_terminal_experiment,,
er_acc_002_ER_ACC_002_PT_010,PT_010,cluster_11203041632_11203041633_11203041634_11203041635_#5more,67.0,ER_ACC_002,emergency_ER_ACC_002_PT_010,cluster_11203041632_11203041633_11203041634_11203041635_#5more,cluster_11203041632_11203041633_11203041634_11203041635_#5more,1499619438#0,383097712#1,29.249,218773869#6,skip,safe_green_not_current_or_next_phase,4,2
er_acc_002_ER_ACC_002_PT_010,PT_010,cluster_11203041632_11203041633_11203041634_11203041635_#5more,80.0,ER_ACC_002,emergency_ER_ACC_002_PT_010,joinedS_11203001806_11203001814_13721232731_5851251250_#6more,cluster_11203001809_11203001817_13721232729,289213613#0,289213613#3,29.063,420361196,skip,disabled_by_single_terminal_experiment,,
er_acc_002_ER_ACC_002_PT_011,PT_011,cluster_11277565408_11277565409_414685823_5851251280,1.0,ER_ACC_002,emergency_ER_ACC_002_PT_011,cluster_1326096615_3849700763,cluster_1326096615_3849700763,-381802847#2,-183272625#1,2.979,-381802881#2,skip,disabled_by_single_terminal_experiment,,
er_acc_002_ER_ACC_002_PT_011,PT_011,cluster_11277565408_11277565409_414685823_5851251280,2.0,ER_ACC_002,emergency_ER_ACC_002_PT_011,cluster_3846534041_436877431,cluster_3846534041_436877431,180368918#3,180368918#5,21.224,-381802881#2,skip,disabled_by_single_terminal_experiment,,
er_acc_002_ER_ACC_002_PT_011,PT_011,cluster_11277565408_11277565409_414685823_5851251280,19.0,ER_ACC_002,emergency_ER_ACC_002_PT_011,joinedS_4273893706_4273893707_7335400058_cluster_13348213189_13348213190_13348213191,cluster_13348213189_13348213190_13348213191,-1455512070,-1455512069,29.158,-174870621#2,skip,disabled_by_single_terminal_experiment,,
er_acc_002_ER_ACC_002_PT_011,PT_011,cluster_11277565408_11277565409_414685823_5851251280,27.0,ER_ACC_002,emergency_ER_ACC_002_PT_011,7335400049,7335400049,218773869#7,218773869#8,29.261,180368918#0,skip,disabled_by_single_terminal_experiment,,
er_acc_002_ER_ACC_002_PT_011,PT_011,cluster_11277565408_11277565409_414685823_5851251280,31.0,ER_ACC_002,emergency_ER_ACC_002_PT_011,11346754525,11346754525,219696193#0,219696193#1,29.72,180368918#6,skip,disabled_by_single_terminal_experiment,,
er_acc_002_ER_ACC_002_PT_011,PT_011,cluster_11277565408_11277565409_414685823_5851251280,61.0,ER_ACC_002,emergency_ER_ACC_002_PT_011,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,cluster_11203052955_11203052956_11203052960_11203052961_#11more,781985787#0,-781985788#0,29.823,218773869#1,skip,disabled_by_single_terminal_experiment,,
