destination_id,label_ko,address,coordinate_source,geocode_status,geocode_reason,lat,lon,geocode_display_name,candidate_rank,edge_id,distance_m,lane_count,speed_kmh,length_m,edge_mid_lon,edge_mid_lat,reachable_from_start,shortest_route_edge_count,shortest_route_length_m,route_error,edge_shape
JUNG_GU_PILDONG2_84_101,필동2가 84-101,서울 중구 필동2가 84-101,user_manual_coordinate,PASS,,37.556682,126.993665,서울 중구 필동2가 84-101,1,-273640070#3,3.075,1,50.004,159.52,126.99436855896562,37.55680259932281,True,37,1838.86,,"[[126.9953523732243, 37.55697270058685], [126.99491532564973, 37.55692093661088], [126.99443709848858, 37.55681755262542], [126.99436855896562, 37.55680259932281], [126.9938881980377, 37.55669863613745], [126.99359827442125, 37.55663999535069]]"
JUNG_GU_PILDONG2_84_101,필동2가 84-101,서울 중구 필동2가 84-101,user_manual_coordinate,PASS,,37.556682,126.993665,서울 중구 필동2가 84-101,2,273640070#0,6.287,1,50.004,159.2,126.99444667299966,37.556789777666715,True,42,2195.73,,"[[126.99360717514267, 37.556612028765386], [126.9938973249615, 37.5566706733742], [126.99437813349978, 37.556774824370265], [126.99444667299966, 37.556789777666715], [126.99492287776397, 37.55689258652451], [126.99535766456566, 37.55694422194947]]"
JUNG_GU_PILDONG2_84_101,필동2가 84-101,서울 중구 필동2가 84-101,user_manual_coordinate,PASS,,37.556682,126.993665,서울 중구 필동2가 84-101,3,-244221646#1,12.944,1,50.004,74.45,126.99325114163452,37.55670952519586,True,38,1913.31,,"[[126.99351852832007, 37.556675679551425], [126.99348925955098, 37.55671177127005], [126.99343891378453, 37.55671911638004], [126.99325114163452, 37.55670952519586], [126.9927567577969, 37.55671058085269], [126.9927060474223, 37.556727292079216]]"
JUNG_GU_PILDONG2_84_101,필동2가 84-101,서울 중구 필동2가 84-101,user_manual_coordinate,PASS,,37.556682,126.993665,서울 중구 필동2가 84-101,4,244221646#0,16.266,1,50.004,71.29,126.99343674994992,37.556690060479404,True,41,2036.53,,"[[126.99269215923009, 37.55670065028531], [126.9927496059213, 37.55668180059519], [126.99325214126476, 37.55668070332427], [126.99343674994992, 37.556690060479404], [126.99346732044866, 37.556685623539956], [126.99348148290203, 37.55666829063263]]"
JUNG_GU_PILDONG2_84_101,필동2가 84-101,서울 중구 필동2가 84-101,user_manual_coordinate,PASS,,37.556682,126.993665,서울 중구 필동2가 84-101,5,-244221646#2,17.857,1,50.004,18.86,126.99354836427318,37.55655091794162,True,41,2042.33,,"[[126.99356807385774, 37.55638164440481], [126.99354836427318, 37.55655091794162]]"
JUNG_GU_HOEHYEON1_147_23,회현동1가 147-23,HX4J+6G 서울특별시 / 서울 중구 회현동1가 147-23,user_manual_coordinate,FAIL,no_nominatim_result,37.555766,126.981288,HX4J+6G 서울특별시 / 서울 중구 회현동1가 147-23,1,769488211,24.638,1,50.004,37.55,126.98108224608185,37.55604164894515,False,,,No shortest route: 769488211,"[[126.98098552325034, 37.55571213305982], [126.98108224608185, 37.55604164894515]]"
JUNG_GU_HOEHYEON1_147_23,회현동1가 147-23,HX4J+6G 서울특별시 / 서울 중구 회현동1가 147-23,user_manual_coordinate,FAIL,no_nominatim_result,37.555766,126.981288,HX4J+6G 서울특별시 / 서울 중구 회현동1가 147-23,2,-769488211,27.836,1,50.004,37.55,126.98095025268354,37.55571873938641,True,62,2649.93,,"[[126.98104697536552, 37.556048255296034], [126.98095025268354, 37.55571873938641]]"
JUNG_GU_HOEHYEON1_147_23,회현동1가 147-23,HX4J+6G 서울특별시 / 서울 중구 회현동1가 147-23,user_manual_coordinate,FAIL,no_nominatim_result,37.555766,126.981288,HX4J+6G 서울특별시 / 서울 중구 회현동1가 147-23,3,-315658900#8,43.442,1,50.004,225.7,126.98116452849443,37.555387874576056,False,,,No shortest route: -315658900#8,"[[126.98207026513136, 37.55568084762097], [126.98194602299579, 37.555326439061794], [126.9818258648191, 37.55525706381998], [126.98171065429878, 37.55524346804105], [126.98154731738894, 37.55532277526436], [126.98116452849443, 37.555387874576056], [126.98101775896097, 37.555356615237606], [126.98087812725186, 37.55542578284221], [126.98081717497622, 37.555511526879506], [126.98075222232185, 37.55560288008231], [126.98042109606784, 37.556068819123304]]"
JUNG_GU_HOEHYEON1_147_23,회현동1가 147-23,HX4J+6G 서울특별시 / 서울 중구 회현동1가 147-23,user_manual_coordinate,FAIL,no_nominatim_result,37.555766,126.981288,HX4J+6G 서울특별시 / 서울 중구 회현동1가 147-23,4,-464459668#2,44.202,1,50.004,47.03,126.98063914021564,37.556059752826926,True,59,2740.68,,"[[126.98046780140844, 37.55609151779988], [126.98049066943663, 37.556074695935635], [126.98063914021564, 37.556059752826926], [126.98098916551317, 37.55608466669618]]"
JUNG_GU_HOEHYEON1_147_23,회현동1가 147-23,HX4J+6G 서울특별시 / 서울 중구 회현동1가 147-23,user_manual_coordinate,FAIL,no_nominatim_result,37.555766,126.981288,HX4J+6G 서울특별시 / 서울 중구 회현동1가 147-23,5,315658900#6,46.657,1,50.004,234.48,126.9811655570486,37.55535815213809,True,63,2889.51,,"[[126.98038461574328, 37.55606152589822], [126.98072068408524, 37.5555886420554], [126.98078563676421, 37.55549728887051], [126.98085106375657, 37.55540513266955], [126.98101203273063, 37.555325515551445], [126.9811655570486, 37.55535815213809], [126.98153378506763, 37.555295687680214], [126.98170308825429, 37.555213418378244], [126.98183996479705, 37.55522954755889], [126.98197751158412, 37.55530895320908], [126.9821051121619, 37.55567315226065]]"
