connected_road_no,side_edge_sub_index,side_edge_id,relation_to_mainroad_node,junction_id,nearest_route_edge_id,nearest_segment_id,mainroad_edge_ids_at_junction,distance_from_fire_station_m,side_edge_length_m,side_edge_lane_count,side_edge_speed_kmh,side_from_node,side_to_node
10,4,381452169,leaves_mainroad_node,3365325935,180368918#6,S5,-180368918#6 -180368918#7 180368918#6 180368918#7,507.68,62.66,2,50.0,3365325935,4202586291
11,1,-218923171#5,leaves_mainroad_node,414685825,180368918#8,S5,-180368918#8 -218773868#0 180368918#8 218773868#0,573.27,14.24,4,50.0,414685825,436883285
11,2,-913009312#10,leaves_mainroad_node,414685825,180368918#8,S5,-180368918#8 -218773868#0 180368918#8 218773868#0,573.27,6.55,2,50.0,414685825,436870731
11,3,218923171#5,enters_mainroad_node,414685825,180368918#8,S5,-180368918#8 -218773868#0 180368918#8 218773868#0,573.27,14.24,4,50.0,436883285,414685825
11,4,913009312#10,enters_mainroad_node,414685825,180368918#8,S5,-180368918#8 -218773868#0 180368918#8 218773868#0,573.27,6.55,2,50.0,436870731,414685825
12,1,183272587,enters_mainroad_node,cluster_436877427_8577223944,218773868#0,S5,-218773868#0 -218773868#2 218773868#0 218773868#2,590.69,33.58,1,50.0,1936511488,cluster_436877427_8577223944
12,2,381447835#0,leaves_mainroad_node,cluster_436877427_8577223944,218773868#0,S5,-218773868#0 -218773868#2 218773868#0 218773868#2,590.69,25.97,2,50.0,cluster_436877427_8577223944,11118688131
13,1,-381447826,leaves_mainroad_node,436877426,218773868#2,S6,-218773868#2 -218773868#3 218773868#2 218773868#3,637.8,43.6,2,50.0,436877426,3846495845
13,2,-381447833#0,enters_mainroad_node,436877426,218773868#2,S6,-218773868#2 -218773868#3 218773868#2 218773868#3,637.8,43.75,1,50.0,3846495816,436877426
13,3,381447826,enters_mainroad_node,436877426,218773868#2,S6,-218773868#2 -218773868#3 218773868#2 218773868#3,637.8,43.16,1,50.0,3846495845,436877426
13,4,381447833#0,leaves_mainroad_node,436877426,218773868#2,S6,-218773868#2 -218773868#3 218773868#2 218773868#3,637.8,44.29,2,50.0,436877426,3846495816
14,1,-381447832,enters_mainroad_node,3846495828,218773868#3,S6,-218773868#3 -218773868#4 218773868#3 218773868#4,659.28,75.77,1,50.0,3337470956,3846495828
14,2,-420331827,leaves_mainroad_node,3846495828,218773868#3,S6,-218773868#3 -218773868#4 218773868#3 218773868#4,659.28,41.02,2,50.0,3846495828,3846495816
