method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
BO,20260607,4,5,6,bo_r04_005_tl77_dt177_ge8_qr37_tau87,77,177,8,0.37,0.87,324.88,324.88,21081.80,-263193.27,305356.87,83.31,72.12,ei,global,False,51.57,15.82,10.45,13.08,10.27,51.57,20.17,51.57,20.23,3.94303675,5,0.711532
BO,20260607,4,6,6,bo_r04_006_tl102_dt12_ge47_qr93_tau76,102,12,47,0.93,0.76,1000043.91,324.88,849865.65,79376.09,1620355.21,56.28,18.52,ei,global,False,17.55,5.91,3.88,4.51,3.75,17.55,7.26,17.55,7.14,2.86517647,5,0.946995
BO,20260607,5,1,6,bo_r05_001_tl77_dt178_ge8_qr37_tau87,77,178,8,0.37,0.87,324.88,324.88,584.14,-16293.33,17461.61,2.96,51.28,incumbent_exploitation,stable_success,False,36.66,11.24,7.43,9.30,7.30,36.66,14.33,36.66,14.37,3.60160128,5,0.711242
BO,20260607,5,2,6,bo_r05_002_tl79_dt181_ge8_qr38_tau87,79,181,8,0.38,0.87,324.88,324.88,-83260.81,-248914.02,82392.40,17.65,49.05,stable_success_lattice,stable_success,False,35.32,10.89,7.19,8.97,7.05,35.32,13.82,35.32,13.88,3.56458302,5,0.716566
BO,20260607,5,3,6,bo_r05_003_tl66_dt134_ge21_qr5_tau78,66,134,21,0.05,0.78,1000044.17,324.88,372042.46,-525389.63,1269474.55,143.01,95.07,ei,local,False,54.56,17.81,11.42,14.55,10.50,54.56,19.18,54.56,21.34,3.99928875,5,0.569589
BO,20260607,5,4,6,bo_r05_004_tl67_dt137_ge14_qr21_tau82,67,137,14,0.21,0.82,314.60,314.60,-286878.05,-1063382.00,489625.90,159.45,95.04,ei,local,False,60.29,18.75,12.25,15.58,11.74,60.29,22.46,60.29,23.51,4.09913113,5,0.630266
BO,20260607,5,5,6,bo_r05_005_tl67_dt139_ge19_qr19_tau89,67,139,19,0.19,0.89,536.05,314.60,244761.19,-551185.51,1040707.90,158.10,111.33,ei,global,False,80.35,24.39,16.17,20.27,15.98,80.35,31.60,80.35,31.46,4.38633622,5,0.718136
BO,20260607,5,6,6,bo_r05_006_tl111_dt116_ge48_qr87_tau75,111,116,48,0.87,0.75,1000682.36,314.60,813842.11,105626.51,1522057.70,28.35,5.92,ei,global,False,5.41,1.87,1.22,1.41,1.16,5.41,2.20,5.41,2.21,1.68761773,5,0.911742
BO,20260607,6,1,6,bo_r06_001_tl67_dt136_ge14_qr21_tau82,67,136,14,0.21,0.82,314.60,314.60,222.65,-16549.60,16994.89,6.05,47.04,incumbent_exploitation,stable_success,False,29.85,9.29,6.07,7.72,5.81,29.85,11.12,29.85,11.64,3.39630365,5,0.630556
BO,20260607,6,2,6,bo_r06_002_tl66_dt135_ge15_qr22_tau83,66,135,15,0.22,0.83,375.38,314.60,30459.75,-225565.20,286484.69,3.42,45.25,stable_success_lattice,stable_success,False,29.39,9.06,5.94,7.55,5.74,29.39,11.08,29.39,11.46,3.38079628,5,0.645599
