tls_id,route_order_min,route_order_max,movement_ids,mapped_S_segments,movement_count,controllable_count,phase_count,selected_green_phases,selected_red_phases,red_phase_available_count,green_only_no_red_phase_count,linkIndex,control_linkIndex,ev_route_linkIndex,same_lane_blocking_linkIndex,control_strategies,from_edges,to_edges
CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,6,6,B4_MOVEMENT_00,S1:upbound,1,1,4,0,2,1,0,0 1 2,0 1 2,0 1 2,,parallel_through_green,-174870621#2,-174870621#0
CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,10,10,B4_MOVEMENT_01,S2:upbound,1,1,4,0,2,1,0,0 1 2,0 1 2,0 1 2,,parallel_through_green,800229255,180368918#0
CSV_TLS_S03_S04_TOYOKO_INN_HOTEL_FRONT,12,12,B4_MOVEMENT_02,S3:upbound,1,1,4,0,2,1,0,0 1 2,0 1 2,0 1 2,,parallel_through_green,180368918#3,180368918#5
CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,16,16,B4_MOVEMENT_03,S5:upbound,1,1,4,0,2,1,0,5 6,5 6,5 6,4 7,parallel_through_green,180368918#8,218773868#0
joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,23,23,B4_MOVEMENT_04,S6:upbound,1,1,4,0,2,1,0,7 8,7 8,7 8,6 9,parallel_through_green,-1455512070,428260110
CSV_TLS_S08_S09_TOEGYE_RO_4_GA,28,28,B4_MOVEMENT_05,S7:upbound,1,1,4,0,2,1,0,0 1,0 1,0 1,2,parallel_through_green,785130600#3,1455497345
joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,35,37,B4_MOVEMENT_06 B4_MOVEMENT_07,S9:upbound,2,2,6,0 2,2 0,2,0,6 7 8 24 25,6 7 8 24 25,6 7 8 24 25, 23,parallel_through_green parallel_through_green,218773869#7 218773869#9,218773869#8 219696193#1
CSV_TLS_S11_S12_TOEGYE_RO_2_GA,42,42,B4_MOVEMENT_08,S11:upbound,1,1,4,0,,0,1,0 1,0 1,0 1,,parallel_through_green,420361196,180445419
CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,45,45,B4_MOVEMENT_09,S13:upbound,1,1,4,0,2,1,0,0 1 2,0 1 2,0 1 2,,parallel_through_green,347237859#1,347237859#2
CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,48,48,B4_MOVEMENT_10,S14:upbound,1,1,4,0,2,1,0,0 1 2,0 1 2,0 1 2,,parallel_through_green,347237859#4,347237859#5
joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,50,50,B4_MOVEMENT_11,S15:upbound,1,1,4,0,2,1,0,14 15 16 18,14 15 16 18,18,15 16 17,parallel_through_green,781985787#0,218915135#3
CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,52,52,B4_MOVEMENT_12,S16:upbound,1,1,4,0,2,1,0,0 1 2,0 1 2,0 1 2,,parallel_through_green,218915135#4,781983104#0
CSV_TLS_S17_S18_NAMDAEMUN_MARKET,53,53,B4_MOVEMENT_13,S17:upbound,1,1,4,0,2,1,0,0 1 2,0 1 2,0 1 2,,parallel_through_green,781983104#0,781983104#1
CSV_TLS_S18_S19_SAMSEON_BUILDING,55,55,B4_MOVEMENT_14,S18:upbound,1,1,4,0,2,1,0,0 1 2,0 1 2,0 1 2,,parallel_through_green,333557072#1,333557072#2
CSV_TLS_S21_S22_SEOUL_SQUARE_FRONT,59,59,B4_MOVEMENT_15,S21:upbound,1,1,4,0,2,1,0,0 1 2,0 1 2,0 1 2,,parallel_through_green,619147738#0,619147738#1
