segment_id,bottleneck_movement_id,upstream_movement_id,L_b0_m,lane_drop_delta,q_avg_B0,q_max_B0,tQ_hist_B0,lambda_B0,fill_B0,speed_B0,segment_q_avg_B0,segment_q_max_B0,segment_tQ_hist_B0,segment_lambda_B0,segment_fill_B0,segment_speed_B0,mapping_status,segment_edges,segment_lanes,segment_route_start_index,segment_route_end_index,proxy_edge_gap_upstream,proxy_edge_gap_bottleneck,same_tls_chain,case_b_runtime_enabled,tau_default,case_b_prior_risk,b0_source,mapping_note
S7,B4_MOVEMENT_05,B4_MOVEMENT_04,342.2,0,0.252536,1.402675,0.935117,386.611373,0.09117,28.937208,0.105842,1.402675,0.935117,361.796101,0.026643,28.937208,mapped_exact,428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345,428260110_0 428260110_1 785130600#0_0 785130600#0_1 785130600#0_2 785130600#1_0 785130600#1_1 785130600#1_2 785130600#2_0 785130600#2_1 785130600#3_0 785130600#3_1 785130600#3_2 1455497345_0 1455497345_1 1455497345_2,24,29,1,0,False,True,0.75,False,SUMO_B04_AD_B0_measured_proxy,mapped_exact
S10,B4_MOVEMENT_08,B4_MOVEMENT_07,214.5,0,0.180189,1.610769,1.610769,51.767222,0.1047,23.751484,0.082491,1.914472,1.276315,159.506882,0.058014,23.751484,mapped_route_span_proxy,218773869#9 219696193#1 219696193#2 781985793#0 781985793#1 420361196,218773869#9_0 218773869#9_1 218773869#9_2 219696193#1_0 219696193#1_1 219696193#1_2 219696193#2_0 219696193#2_1 219696193#2_2 781985793#0_0 781985793#0_1 781985793#1_0 781985793#1_1 420361196_0 420361196_1,37,42,0,0,False,True,0.75,False,SUMO_B04_AD_B0_measured_proxy,mapped_route_span_proxy
S11,B4_MOVEMENT_08,B4_MOVEMENT_07,128.9,0,0.180189,1.610769,1.610769,51.767222,0.1047,24.732,0.116132,2.076282,2.076282,127.06,0.1047,24.732,mapped_exact,781985793#1 420361196,781985793#1_0 781985793#1_1 420361196_0 420361196_1,41,42,4,0,False,True,0.75,False,SUMO_B04_AD_B0_measured_proxy,mapped_exact
