method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
BO,20260607,37,5,6,bo_r37_005_tl72_dt37_ge42_qr98_tau82,72,37,42,0.98,0.82,1000045.43,245.52,241.32,145.50,337.14,21.10,21.08,ei,,,19.93,6.03,4.06,4.90,4.15,19.93,8.47,19.93,7.92,2.99245799,5,0.944571
BO,20260607,37,6,6,bo_r37_006_tl51_dt38_ge39_qr100_tau78,51,38,39,1.0,0.78,1000044.68,245.52,255.45,128.10,382.79,20.79,20.74,ei,,,17.78,5.07,3.45,4.30,3.60,17.78,7.48,17.78,6.95,2.87828469,5,0.855487
BO,20260607,38,1,6,bo_r38_001_tl59_dt35_ge40_qr100_tau76,59,35,40,1.0,0.76,1000044.60,245.52,225.47,135.58,315.35,29.33,29.25,ei,,,25.01,7.38,4.98,6.14,5.09,25.01,10.42,25.01,9.84,3.21928159,5,0.852786
BO,20260607,38,2,6,bo_r38_002_tl59_dt37_ge41_qr95_tau78,59,37,41,0.95,0.78,1000045.44,245.52,230.52,131.55,329.49,27.87,27.80,ei,,,24.12,7.11,4.80,5.91,4.92,24.12,10.09,24.12,9.49,3.18291774,5,0.865455
BO,20260607,38,3,6,bo_r38_003_tl101_dt35_ge40_qr100_tau79,101,35,40,1.0,0.79,1000044.60,245.52,231.47,134.41,328.53,26.92,26.90,ei,,,25.99,8.53,5.64,6.60,5.54,25.99,10.87,25.99,10.53,3.25756078,5,0.965473
BO,20260607,38,4,6,bo_r38_004_tl51_dt41_ge41_qr97_tau75,51,41,41,0.97,0.75,1000044.91,245.52,249.94,115.89,383.99,24.62,24.55,ei,,,20.21,5.84,3.95,4.94,4.07,20.21,8.38,20.21,7.90,3.00637440,5,0.820916
BO,20260607,38,5,6,bo_r38_005_tl99_dt32_ge40_qr91_tau78,99,32,40,0.91,0.78,1000044.62,245.52,227.40,156.25,298.56,24.57,24.54,ei,,,22.85,7.56,4.98,5.84,4.85,22.85,9.46,22.85,9.25,3.12877103,5,0.929949
BO,20260607,38,6,6,bo_r38_006_tl39_dt42_ge41_qr100_tau76,39,42,41,1.0,0.76,1000044.91,245.52,255.87,113.87,397.87,23.55,23.47,ei,,,19.22,5.29,3.62,4.61,3.82,19.22,8.04,19.22,7.43,2.95573818,5,0.816058
BO,20260607,39,1,6,bo_r39_001_tl38_dt35_ge40_qr95_tau78,38,35,40,0.95,0.78,1000044.60,245.52,224.09,135.09,313.08,30.08,29.99,ei,,,24.76,6.77,4.65,5.92,4.92,24.76,10.39,24.76,9.57,3.20903857,5,0.822942
BO,20260607,39,2,6,bo_r39_002_tl25_dt39_ge41_qr94_tau70,25,39,41,0.94,0.7,1000044.88,245.52,239.10,120.41,357.79,26.92,26.79,ei,,,19.11,5.06,3.47,4.58,3.67,19.11,7.74,19.11,7.27,2.95046465,5,0.709966
BO,20260607,39,3,6,bo_r39_003_tl47_dt37_ge41_qr84_tau72,47,37,41,0.84,0.72,1000045.15,245.52,233.12,132.09,334.15,26.72,26.60,ei,,,20.05,5.84,3.92,4.95,3.98,20.05,8.08,20.05,7.80,2.99804613,5,0.750287
BO,20260607,39,4,6,bo_r39_004_tl40_dt31_ge40_qr90_tau77,40,31,40,0.9,0.77,1000045.48,245.52,221.01,172.45,269.58,25.72,25.63,ei,,,20.70,5.75,3.93,4.98,4.12,20.70,8.61,20.70,8.01,3.03008135,5,0.804897
BO,20260607,39,5,6,bo_r39_005_tl51_dt31_ge40_qr100_tau74,51,31,40,1.0,0.74,1000044.72,245.52,223.02,171.36,274.69,24.52,24.44,ei,,,20.02,5.79,3.92,4.89,4.03,20.02,8.29,20.02,7.82,2.99693700,5,0.816768
BO,20260607,39,6,6,bo_r39_006_tl49_dt42_ge41_qr99_tau70,49,42,41,0.99,0.7,1000044.91,245.52,255.86,114.02,397.70,23.52,23.42,ei,,,18.03,5.25,3.53,4.44,3.59,18.03,7.31,18.03,7.03,2.89209560,5,0.766631
BO,20260607,40,1,6,bo_r40_001_tl60_dt36_ge40_qr86_tau76,60,36,40,0.86,0.76,1000045.68,245.52,229.00,129.39,328.61,28.92,28.83,ei,,,23.74,7.12,4.77,5.88,4.82,23.74,9.75,23.74,9.35,3.16717461,5,0.820793
BO,20260607,40,2,6,bo_r40_002_tl54_dt32_ge40_qr97_tau75,54,32,40,0.97,0.75,1000044.62,245.52,221.03,162.09,279.98,27.16,27.08,ei,,,22.43,6.55,4.42,5.50,4.53,22.43,9.29,22.43,8.79,3.11055603,5,0.825970
BO,20260607,40,3,6,bo_r40_003_tl58_dt34_ge41_qr91_tau77,58,34,41,0.91,0.77,1000045.44,245.52,224.17,154.25,294.09,26.60,26.53,ei,,,22.45,6.64,4.47,5.52,4.57,22.45,9.32,22.45,8.83,3.11122467,5,0.843829
BO,20260607,40,4,6,bo_r40_004_tl101_dt33_ge40_qr92_tau79,101,33,40,0.92,0.79,1000044.58,245.52,227.75,147.78,307.72,25.97,25.94,ei,,,24.59,8.14,5.36,6.27,5.24,24.59,10.22,24.59,9.97,3.20217227,5,0.946854
BO,20260607,40,5,6,bo_r40_005_tl46_dt39_ge42_qr97_tau71,46,39,42,0.97,0.71,1000045.09,245.52,247.52,132.94,362.10,21.81,21.73,ei,,,16.82,4.84,3.27,4.13,3.35,16.82,6.85,16.82,6.54,2.82275204,5,0.771260
BO,20260607,40,6,6,bo_r40_006_tl58_dt44_ge40_qr100_tau76,58,44,40,1.0,0.76,1000044.52,245.52,270.98,111.51,430.44,20.90,20.85,ei,,,17.73,5.21,3.52,4.35,3.61,17.73,7.38,17.73,6.97,2.87526034,5,0.848277
BO,20260607,41,1,6,bo_r41_001_tl71_dt36_ge40_qr100_tau77,71,36,40,1.0,0.77,1000044.64,245.52,229.42,129.33,329.52,28.75,28.70,ei,,,25.48,7.78,5.21,6.32,5.27,25.48,10.64,25.48,10.12,3.23806942,5,0.886263
