method,seed,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50
BO,20260607,339.60,339.60,339.60,246.37,246.37,246.37,246.37,246.37,246.37,246.37,246.37,246.37,246.37,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52
CMA-ES,20260607,274.43,274.43,274.43,258.83,258.83,258.83,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79,226.79
Random Search,20260607,305.74,305.74,298.20,289.89,289.89,289.89,289.89,289.89,289.89,289.89,289.89,289.89,289.89,289.89,289.89,261.81,261.81,261.81,261.81,261.81,261.81,261.81,261.81,261.81,261.81,261.81,247.18,247.18,247.18,247.18,247.18,247.18,247.18,247.18,247.18,247.18,247.18,247.18,247.18,247.18,247.18,247.18,247.18,247.18,247.18,247.18,247.18,247.18,247.18,247.18
