candidate,segment_id,direction,mapped_S_segment,queue_state,signal_presence_status,simulated_speed_kmh,target_congestion_proxy,segment_congestion_proxy,max_stopline_queue_fill_ratio,fill_ratio_ge_0p50,fast_dense_no_queue_index,queue_compression_gap,approach_conflict_proxy,signal_too_generous_score,exit_too_easy_score,diagnosis,measurement_note
B04_active_target15_s400,S17,downbound,S17:downbound,physical_queue,runtime_stage1_source,1.579,2.051125,3.508446,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S17,upbound,S17:upbound,free_flow,runtime_stage1_source,56.321,1.371529,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S18,downbound,S18:downbound,physical_queue,runtime_stage1_source,3.343,1.866812,3.338105,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S18,upbound,S18:upbound,free_flow,runtime_stage1_source,78.208,1.520045,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S19,downbound,S19:downbound,physical_queue,runtime_stage1_source,6.989,2.048852,2.954054,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S19,upbound,S19:upbound,free_flow,runtime_stage1_source,72.711,1.51958,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S20,downbound,S20:downbound,free_flow,runtime_stage1_source,58.118,2.026,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S20,upbound,S20:upbound,free_flow,runtime_stage1_source,56.062,1.528317,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S21,downbound,S21:downbound,free_flow,runtime_stage1_source,46.77,2.439661,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S21,upbound,S21:upbound,free_flow,runtime_stage1_source,56.062,1.525579,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S22,downbound,S22:downbound,physical_queue,runtime_stage1_source,8.525,2.443457,1.106967,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S22,upbound,S22:upbound,free_flow,runtime_stage1_source,47.35,1.808561,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
