method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,24,2,6,bo_r24_002_tl43_dt26_ge35_qr34_tau82,43,26,35,0.34,0.82,138.92,112.64,136.53,93.63,0.00,PASS,,recovery_detected,True,False,0,2190,0,19,182.79,25.10,340.48,18.33,18.06,13.02,3.71,2.50,3.21,2.54,13.02,6.48,13.02,5.24,2.56674506,5,0.710321,136.53,,,
BO,20260607,24,3,6,bo_r24_003_tl57_dt25_ge37_qr23_tau84,57,25,37,0.23,0.84,94.92,116.27,96.86,93.63,0.00,PASS,,recovery_detected,True,False,0,1949,1,17,182.79,25.10,340.48,16.80,16.57,12.38,3.73,2.48,3.11,2.47,12.38,6.15,12.38,5.05,2.51643580,5,0.737073,96.86,,,
BO,20260607,24,4,6,bo_r24_004_tl53_dt21_ge36_qr24_tau79,53,21,36,0.24,0.79,138.92,109.76,136.27,93.63,0.00,PASS,,recovery_detected,True,False,0,2529,1,17,182.79,25.10,340.48,15.85,15.58,10.70,3.24,2.14,2.72,2.10,10.70,5.15,10.70,4.34,2.37046213,5,0.675321,136.27,,,
BO,20260607,24,5,6,bo_r24_005_tl43_dt29_ge36_qr37_tau81,43,29,36,0.37,0.81,144.92,107.67,141.53,93.63,0.00,PASS,,recovery_detected,True,False,0,2075,0,21,182.79,25.10,340.48,14.49,14.27,10.27,2.93,1.97,2.53,2.01,10.27,5.11,10.27,4.14,2.32961038,5,0.708972,141.53,,,
BO,20260607,24,6,6,bo_r24_006_tl46_dt34_ge38_qr27_tau82,46,34,38,0.27,0.82,115.92,120.32,116.32,93.63,0.00,PASS,,recovery_detected,True,False,0,1544,1,21,182.79,25.10,340.48,14.48,14.25,10.23,2.98,1.99,2.54,2.01,10.23,5.05,10.23,4.13,2.32488811,5,0.706366,116.32,,,
BO,20260607,25,1,6,bo_r25_001_tl61_dt29_ge39_qr18_tau85,61,29,39,0.18,0.85,111.92,118.07,112.48,93.63,0.00,PASS,,recovery_detected,True,False,0,1829,1,18,180.48,24.47,336.50,16.77,16.54,12.55,3.84,2.55,3.16,2.52,12.55,6.24,12.55,5.14,2.52959778,5,0.748475,112.48,,,
BO,20260607,25,2,6,bo_r25_002_tl40_dt15_ge40_qr22_tau85,40,15,40,0.22,0.85,137.92,110.41,135.42,93.63,0.00,PASS,,recovery_detected,True,False,0,2591,1,18,180.48,24.47,336.50,16.69,16.45,12.16,3.46,2.33,2.99,2.39,12.16,6.10,12.16,4.90,2.49814873,5,0.728476,135.42,,,
BO,20260607,25,3,6,bo_r25_003_tl40_dt22_ge40_qr23_tau82,40,22,40,0.23,0.82,93.92,114.24,95.77,93.63,0.00,PASS,,recovery_detected,True,False,0,2083,1,17,180.48,24.47,336.50,15.23,14.99,10.60,3.04,2.04,2.62,2.07,10.60,5.23,10.60,4.27,2.36093917,5,0.696011,95.77,,,
BO,20260607,25,4,6,bo_r25_004_tl28_dt28_ge28_qr5_tau85,28,28,28,0.05,0.85,91.92,120.50,94.52,93.63,0.00,PASS,,recovery_detected,True,False,0,1710,1,20,180.48,24.47,336.50,14.28,14.00,8.92,2.40,1.62,2.18,1.67,8.92,4.29,8.92,3.51,2.18784477,5,0.624311,94.52,,,
BO,20260607,25,5,6,bo_r25_005_tl38_dt30_ge41_qr33_tau85,38,30,41,0.33,0.85,114.92,112.63,114.71,93.63,0.00,PASS,,recovery_detected,True,False,0,1670,0,18,180.48,24.47,336.50,13.04,12.87,9.79,2.73,1.86,2.38,1.92,9.79,4.98,9.79,3.94,2.28141897,5,0.750647,114.71,,,
BO,20260607,25,6,6,bo_r25_006_tl38_dt27_ge40_qr29_tau81,38,27,40,0.29,0.81,95.92,114.41,97.60,93.63,0.00,PASS,,recovery_detected,True,False,0,1713,1,17,180.48,24.47,336.50,12.33,12.13,8.56,2.43,1.63,2.11,1.66,8.56,4.23,8.56,3.44,2.14750829,5,0.694596,97.60,,,
BO,20260607,26,1,6,bo_r26_001_tl34_dt45_ge26_qr0_tau79,34,45,26,0.0,0.79,237.92,117.30,226.95,93.63,0.00,PASS,,recovery_detected,True,False,0,1226,1,37,177.60,22.15,333.05,9.96,9.73,5.44,1.54,1.01,1.38,1.00,5.44,2.44,5.44,2.13,1.69341982,5,0.545734,226.95,,,
BO,20260607,26,2,6,bo_r26_002_tl44_dt15_ge33_qr57_tau79,44,15,33,0.57,0.79,144.92,106.02,141.38,93.63,0.00,PASS,,recovery_detected,True,False,0,2903,0,18,177.60,22.15,333.05,9.75,9.61,7.12,2.01,1.36,1.74,1.40,7.12,3.59,7.12,2.87,1.96328339,5,0.730693,141.38,,,
BO,20260607,26,3,6,bo_r26_003_tl6_dt37_ge28_qr1_tau80,6,37,28,0.01,0.8,160.92,110.43,156.33,93.63,0.00,PASS,,recovery_detected,True,False,0,1790,1,26,177.60,22.15,333.05,9.49,9.25,4.92,1.18,0.81,1.19,0.85,4.92,2.24,4.92,1.87,1.59397671,5,0.518994,156.33,,,
BO,20260607,26,4,6,bo_r26_004_tl32_dt7_ge41_qr41_tau85,32,7,41,0.41,0.85,167.92,106.50,162.34,93.63,0.00,PASS,,recovery_detected,True,False,0,3553,0,17,177.60,22.15,333.05,8.82,8.71,6.75,1.84,1.26,1.62,1.32,6.75,3.47,6.75,2.71,1.90933629,5,0.765523,162.34,,,
BO,20260607,26,5,6,bo_r26_005_tl46_dt49_ge47_qr19_tau80,46,49,47,0.19,0.8,210.92,110.16,201.76,93.63,0.00,PASS,,recovery_detected,True,False,0,1001,1,29,177.60,22.15,333.05,8.81,8.67,6.09,1.82,1.21,1.53,1.20,6.09,2.96,6.09,2.47,1.80595171,5,0.690420,201.76,,,
BO,20260607,26,6,6,bo_r26_006_tl40_dt49_ge28_qr0_tau78,40,49,28,0.0,0.78,196.92,108.53,188.88,93.63,0.00,PASS,,recovery_detected,True,False,0,1090,1,33,177.60,22.15,333.05,8.87,8.66,4.88,1.43,0.94,1.25,0.90,4.88,2.18,4.88,1.93,1.58613559,5,0.550619,188.88,,,
