row_type,slice_parameter,slice_value,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,gp_mean,gp_ci_low,gp_ci_high,is_best_observed,note
gp_slice,t_lead,0.00,gp_slice_t_lead_001,0,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,1.00,gp_slice_t_lead_002,1,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,2.00,gp_slice_t_lead_003,2,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,2.00,gp_slice_t_lead_004,2,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,3.00,gp_slice_t_lead_005,3,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,4.00,gp_slice_t_lead_006,4,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,5.00,gp_slice_t_lead_007,5,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,5.00,gp_slice_t_lead_008,5,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,6.00,gp_slice_t_lead_009,6,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,7.00,gp_slice_t_lead_010,7,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,8.00,gp_slice_t_lead_011,8,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,8.00,gp_slice_t_lead_012,8,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,9.00,gp_slice_t_lead_013,9,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,10.00,gp_slice_t_lead_014,10,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,11.00,gp_slice_t_lead_015,11,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,12.00,gp_slice_t_lead_016,12,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,12.00,gp_slice_t_lead_017,12,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,13.00,gp_slice_t_lead_018,13,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,14.00,gp_slice_t_lead_019,14,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,15.00,gp_slice_t_lead_020,15,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,15.00,gp_slice_t_lead_021,15,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,16.00,gp_slice_t_lead_022,16,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,17.00,gp_slice_t_lead_023,17,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,18.00,gp_slice_t_lead_024,18,28,30,0.19,0.81,,221.45,81.54,361.36,False,GP estimate only; objective was not re-evaluated on this slice.
