edge_id,current_lanes,target_lanes_simple,weighted_majority_lanes,max_target_lanes,total_matched_length_m,max_match_ratio,edge_length_m,source_segment_ids,source_directions,source_row_count,min_axis_position,smoothing_applied,repair_reason
781985786#1,3,3,3,3,18.122222,0.111111,0.2,S15,downbound,1,0.149767,False,edge_weighted_majority_lane_target
381802847#1,1,3,3,3,77.167568,0.216216,36.63,S1,downbound,1,0.160573,False,edge_weighted_majority_lane_target
1455512070,2,3,3,3,125.647826,0.282609,70.56,S6,downbound,1,0.162177,False,edge_weighted_majority_lane_target
-578313748#2,2,3,3,3,90.857143,0.4,12.4,S2 S3,downbound,2,0.170971,False,edge_weighted_majority_lane_target
785130598#2,2,2,2,2,210.526531,0.44898,144.7,S9,downbound,1,0.177991,False,edge_weighted_majority_lane_target
578313749#1,3,3,3,3,72.4,0.4,15.23,S2,downbound,1,0.188085,False,edge_weighted_majority_lane_target
921117704#0,2,3,3,3,127.596491,0.333333,94.48,S16 S17,downbound,2,0.201446,False,edge_weighted_majority_lane_target
1455497343#1,2,3,3,3,142.583333,0.416667,80.66,S7,downbound,1,0.229169,False,edge_weighted_majority_lane_target
781985779#1,2,3,3,3,102.586957,0.478261,41.28,S10,downbound,1,0.244712,False,edge_weighted_majority_lane_target
619147739#0,2,3,3,3,155.156322,0.666667,86.55,S19 S20,downbound,2,0.248308,False,edge_weighted_majority_lane_target
-180368918#3,2,3,3,3,101.042857,0.642857,24.71,S3 S4,downbound,2,0.26819,False,edge_weighted_majority_lane_target
-218773868#6,2,3,3,3,77.321739,0.173913,12.08,S6,downbound,1,0.279857,False,edge_weighted_majority_lane_target
-180368918#7,2,3,3,3,109.978571,0.714286,47.64,S4 S5,downbound,2,0.279894,False,edge_weighted_majority_lane_target
1109231376,1,2,2,2,73.2,0.363636,10.6,S12,downbound,1,0.295199,False,edge_weighted_majority_lane_target
219696191#1,1,2,2,2,65.68,0.8,27.35,S21,downbound,1,0.306096,False,edge_weighted_majority_lane_target
781983103#1,2,3,3,3,126.266842,0.684211,56.65,S17 S18,downbound,2,0.315343,False,edge_weighted_majority_lane_target
174870621#4,2,3,3,3,115.751351,0.324324,44.29,S1,downbound,1,0.317528,False,edge_weighted_majority_lane_target
