tls_id,profile_role,source,source_itst_id,source_eqmn_id,source_tls_id,movement_ids,mapped_segments,route_order_min,cycle_sec,main_green_sec,side_green_sec,yellow_sec,offset_sec,confidence,dominant_api_field,dominant_remaining_sec,inference_reason
436849185,inferred_other,nearest_mainroad_api_profile,1812,CIB1000019400,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,,,6.0,155,78,71,3,129,0.65,ntLtsgRmdrCs,130.1,non-mainroad TLS inferred from nearest mainroad profile in net tlLogic order
436870729,inferred_other,nearest_mainroad_api_profile,1812,CIB1000019400,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,,,6.0,155,78,71,3,136,0.65,ntLtsgRmdrCs,130.1,non-mainroad TLS inferred from nearest mainroad profile in net tlLogic order
5161705573,inferred_other,nearest_mainroad_api_profile,1812,CIB1000019400,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,,,6.0,155,78,71,3,143,0.65,ntLtsgRmdrCs,130.1,non-mainroad TLS inferred from nearest mainroad profile in net tlLogic order
5172891764,inferred_other,nearest_mainroad_api_profile,2878,CIB1010020900,cluster_3846534041_436877431,,,12.0,145,70,69,3,24,0.58,ntStsgRmdrCs,118.1,non-mainroad TLS inferred from nearest mainroad profile in net tlLogic order
5172891765,inferred_other,nearest_mainroad_api_profile,2878,CIB1010020900,cluster_3846534041_436877431,,,12.0,145,70,69,3,17,0.58,ntStsgRmdrCs,118.1,non-mainroad TLS inferred from nearest mainroad profile in net tlLogic order
5593950705,inferred_other,nearest_mainroad_api_profile,2878,CIB1010020900,cluster_3846534041_436877431,,,12.0,145,70,69,3,10,0.58,ntStsgRmdrCs,118.1,non-mainroad TLS inferred from nearest mainroad profile in net tlLogic order
5851251281,inferred_other,nearest_mainroad_api_profile,2878,CIB1010020900,cluster_3846534041_436877431,,,12.0,145,70,69,3,3,0.58,ntStsgRmdrCs,118.1,non-mainroad TLS inferred from nearest mainroad profile in net tlLogic order
7265413652,inferred_other,nearest_mainroad_api_profile,2878,CIB1010020900,cluster_3846534041_436877431,,,12.0,145,70,69,3,141,0.58,ntStsgRmdrCs,118.1,non-mainroad TLS inferred from nearest mainroad profile in net tlLogic order
7311080426,inferred_other,nearest_mainroad_api_profile,2878,CIB1010020900,cluster_3846534041_436877431,,,12.0,145,70,69,3,134,0.58,ntStsgRmdrCs,118.1,non-mainroad TLS inferred from nearest mainroad profile in net tlLogic order
8209566040,inferred_other,nearest_mainroad_api_profile,2878,CIB1010020900,cluster_3846534041_436877431,,,12.0,145,70,69,3,127,0.58,ntStsgRmdrCs,118.1,non-mainroad TLS inferred from nearest mainroad profile in net tlLogic order
8209566041,inferred_other,nearest_mainroad_api_profile,2878,CIB1010020900,cluster_3846534041_436877431,,,12.0,145,70,69,3,120,0.58,ntStsgRmdrCs,118.1,non-mainroad TLS inferred from nearest mainroad profile in net tlLogic order
8487751470,inferred_other,nearest_mainroad_api_profile,2878,CIB1010020900,cluster_3846534041_436877431,,,12.0,145,70,69,3,113,0.58,ntStsgRmdrCs,118.1,non-mainroad TLS inferred from nearest mainroad profile in net tlLogic order
COMPACT_V9_FIRE_STATION_ENTRY_TLS,inferred_other,nearest_mainroad_api_profile,2878,CIB1010020900,cluster_3846534041_436877431,,,12.0,145,70,69,3,106,0.58,ntStsgRmdrCs,118.1,non-mainroad TLS inferred from nearest mainroad profile in net tlLogic order
cluster_11177413157_11178710207,inferred_other,nearest_mainroad_api_profile,2878,CIB1010020900,cluster_3846534041_436877431,,,12.0,145,70,69,3,99,0.58,ntStsgRmdrCs,118.1,non-mainroad TLS inferred from nearest mainroad profile in net tlLogic order
cluster_11203041632_11203041633_11203041634_11203041635_#5more,inferred_other,nearest_mainroad_api_profile,2878,CIB1010020900,cluster_3846534041_436877431,,,12.0,145,70,69,3,92,0.58,ntStsgRmdrCs,118.1,non-mainroad TLS inferred from nearest mainroad profile in net tlLogic order
