tls_id,tls_lat,tls_lon,coord_source,link_count,phase_count,itst_id,a008_name,a008_lat,a008_lon,distance_m,timing_hit,source_kind,demand_count,demand_pressure_factor,demand_cycle_delta_sec,demand_main_green_delta_sec
cluster_2457731125_436856300,37.55498161,126.97703295,junction,3,1,859,힐튼호텔,37.55519197,126.97663957,41.756,False,average_fallback,0.0,-0.175,0,0
CSV_TLS_S08_S09_TOEGYE_RO_4_GA,37.562329,126.998147,csv_reference_signal_position,12,4,624,퇴계로4가,37.56227016,126.99853254,34.55,False,mainroad_profile,541.0,0.8,10,5
joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,37.560753,126.982148,csv_reference_signal_position,37,11,122,회현사거리,37.56038931,126.98207234,40.915,False,mainroad_profile,569.0,1.0,10,10
cluster_11203041632_11203041633_11203041634_11203041635_#5more,37.56193679,126.98121621,junction,26,8,192,한국은행앞,37.56194109,126.98123574,1.783,False,average_fallback,15.0,0.73,5,5
13732389938,37.56447897,126.98239883,junction,8,4,369,을지로1가,37.56602379,126.9826896,173.374,True,direct_api,0.0,-0.05,0,0
13732389937,37.56498872,126.98254256,junction,6,4,369,을지로1가,37.56602379,126.9826896,115.62,True,direct_api,0.0,-0.1,0,0
cluster_11347624895_11414286294,37.56189642,126.97596005,junction,21,8,7087,삼성본관,37.56248368,126.97633419,73.029,False,average_fallback,0.0,0.275,5,0
joinedS_11203083989_11203083990_11203083991_11203083992_#1more,37.56617098,126.98755411,connection_centroid,30,4,398,을지로2가,37.56615936,126.98754889,1.369,False,average_fallback,0.0,0.5,5,5
5172891765,37.56462148,126.98802231,junction,1,3,537,명동성당,37.56464853,126.98774414,24.662,False,average_fallback,0.0,-0.225,0,0
CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,37.559606,126.9801,csv_reference_signal_position,6,3,1105,신세계백화점,37.55952079,126.98014365,10.208,False,mainroad_profile,563.0,0.655,5,5
5161705573,37.55871282,126.97411764,junction,2,3,5343,숭례문정류장,37.55867745,126.97393292,16.723,False,average_fallback,0.0,-0.2,0,0
5172891764,37.56431659,126.98774725,junction,2,3,537,명동성당,37.56464853,126.98774414,36.846,False,average_fallback,16.0,0.138,0,0
11203059755,37.56146133,126.98895572,junction,2,3,648,퇴계로2가,37.56119046,126.98905093,31.213,True,direct_api,16.0,0.138,0,0
CSV_TLS_S18_S19_SAMSEON_BUILDING,37.557583,126.977072,csv_reference_signal_position,3,3,6086,삼선빌딩,37.55765151,126.97692688,14.863,False,mainroad_profile,262.0,0.489,5,5
CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,37.561054,126.986223,csv_reference_signal_position,6,3,6481,명동역앞,37.56094643,126.98619059,12.276,False,mainroad_profile,689.0,0.679,5,5
CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,37.560611,126.983993,csv_reference_signal_position,3,3,7760,데이즈호텔앞,37.5607211,126.98378047,22.342,False,mainroad_profile,198.0,0.456,5,5
4276317241,37.55394884,126.97959086,junction,1,3,4932,교육연구정보원(연등)3,37.55395727,126.97962845,3.438,False,average_fallback,0.0,-0.225,0,0
8209566041,37.56804276,127.00919395,junction,4,3,6027,동대문밀리오레앞,37.56815712,127.00930288,15.906,False,average_fallback,0.0,-0.15,0,0
1908148229,37.56108478,126.98900705,junction,3,3,648,퇴계로2가,37.56119046,126.98905093,12.35,True,direct_api,0.0,-0.175,0,0
11203059757,37.56109173,126.98915098,junction,2,3,648,퇴계로2가,37.56119046,126.98905093,14.057,True,direct_api,0.0,-0.2,0,0
CSV_TLS_S11_S12_TOEGYE_RO_2_GA,37.561086,126.989238,csv_reference_signal_position,2,4,648,퇴계로2가,37.56119046,126.98905093,20.135,True,mainroad_profile,71.0,0.31,5,0
cluster_11277565406_11277565407_11277565408_11277565409_#6more,37.5638603,126.97683581,junction,61,8,611,시청,37.56395767,126.97692494,13.354,False,average_fallback,0.0,1.0,10,10
5593950705,37.55881333,126.97391964,junction,2,3,5343,숭례문정류장,37.55867745,126.97393292,15.128,False,average_fallback,7.0,0.048,0,0
cluster_11177413157_11178710207,37.55611727,126.97303815,junction,3,3,5921,서울스퀘어앞,37.55624169,126.97308754,14.478,False,average_fallback,0.0,-0.175,0,0
CSV_TLS_S21_S22_SEOUL_SQUARE_FRONT,37.556152,126.973187,csv_reference_signal_position,3,3,5921,서울스퀘어앞,37.55624169,126.97308754,13.256,False,mainroad_profile,384.0,0.534,5,5
8209566040,37.56807624,127.00910531,junction,2,3,6027,동대문밀리오레앞,37.56815712,127.00930288,19.567,False,average_fallback,0.0,-0.2,0,0
7265413652,37.5553195,126.98061815,junction,1,3,1136,교육연구정보원(연등)1,37.55524486,126.98086159,22.97,False,average_fallback,0.0,-0.225,0,0
CSV_TLS_S17_S18_NAMDAEMUN_MARKET,37.558839,126.978412,csv_reference_signal_position,3,3,5263,남대문시장,37.55873502,126.97841138,11.542,False,mainroad_profile,226.0,0.471,5,5
11203059756,37.56146929,126.9890686,junction,2,3,648,퇴계로2가,37.56119046,126.98905093,30.99,True,direct_api,0.0,-0.2,0,0
7311080426,37.56429566,126.9879362,junction,3,3,537,명동성당,37.56464853,126.98774414,42.659,False,average_fallback,0.0,-0.175,0,0
