edge_id,edge_role,current_lanes_before,reference_lanes,target_lanes,actual_lanes_after,status,reason
218773868#3,route+mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
218773868#4,route+mainroad,2,3,3,3,PASS,b0_route_geometry_lane_recall
218773868#5,route+mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
218773868#6,route+mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
218773869#1,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
218773869#3,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
218773869#4,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
218773869#5,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
218773869#6,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
218773869#7,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
218773869#8,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
218773869#9,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
218915133#0,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
218915133#1,mainroad,2,3,2,2,PASS,b0_route_geometry_lane_recall
218915133#2,mainroad,2,3,2,2,PASS,b0_route_geometry_lane_recall
218915133#3,mainroad,2,3,2,2,PASS,b0_route_geometry_lane_recall
218915135#3,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
218915135#4,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
219696191#1,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
219696193#1,route+mainroad,2,2,3,3,PASS,b0_route_geometry_lane_recall
219696193#2,route+mainroad,2,3,3,3,PASS,b0_route_geometry_lane_recall
273638834#1,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
273638834#2,mainroad,2,2,3,3,PASS,b0_route_geometry_lane_recall
315658884#1,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
333557072#1,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
333557072#2,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
333557072#3,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
333557072#5,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
347237859#0,route+mainroad,2,3,3,3,PASS,b0_route_geometry_lane_recall
347237859#1,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
347237859#2,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
347237859#3,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
347237859#4,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
347237859#5,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
37402371,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
381453320#0,mainroad,2,3,2,2,PASS,b0_route_geometry_lane_recall
381802847#0,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
381802847#1,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
381802847#2,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
420331801#1,route+mainroad,1,2,2,2,PASS,b0_route_geometry_lane_recall
420361196,route+mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
428260110,route+mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
477063271,mainroad,2,3,2,2,PASS,b0_route_geometry_lane_recall
578313748#0,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
578313748#2,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
578313749#0,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
578313749#1,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
585341903#0,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
585341903#1,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
585341906#0,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
585341906#2,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
585341907#0,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
585341907#2,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
585341908#0,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
585341908#1,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
615671502,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
615671503,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
619147738#0,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
619147738#1,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
619147739#0,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
619147739#1,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
619147739#2,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
619147739#3,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
619147739#4,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
619147739#5,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
619147739#6,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
619147740,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
620607766#0,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
620607766#1,mainroad,2,3,2,2,PASS,b0_route_geometry_lane_recall
620607766#2,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
773060736,mainroad,2,3,3,3,PASS,b0_route_geometry_lane_recall
781983103#1,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
781983103#2,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
781983104#0,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
781983104#1,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
781985779#0,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
781985779#1,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
781985783,mainroad,2,2,3,3,PASS,b0_route_geometry_lane_recall
781985784,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
781985786#2,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
781985786#3,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
781985786#4,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
781985786#5,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
781985786#6,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
781985786#7,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
781985786#8,mainroad,2,2,3,3,PASS,b0_route_geometry_lane_recall
781985787#0,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
781985789#1,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
781985792#0,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
781985792#1,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
781985792#2,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
