method,seed,round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,ei_acquisition,essi_adjusted_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
BO,20260607,1,bo_init_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,65.22,65.22,,,,,,,,,,,,,,,,,
BO,20260607,2,bo_init_001_tl120_dt59_ge19_qr20_tau87,120,59,19,0.2,0.87,65.94,65.22,,,,,,,,,,,,,,,,,
BO,20260607,3,bo_r03_001_tl4_dt232_ge47_qr93_tau75,4,232,47,0.93,0.75,248.24,65.22,65.58,64.87,66.28,0.04,0.03,0.04,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,-3.89190278,5,0.691114
BO,20260607,4,bo_r04_001_tl110_dt77_ge45_qr89_tau83,110,77,45,0.89,0.83,66.36,65.22,126.47,-42.30,295.24,15.97,11.87,15.97,3.84,2.54,2.97,1.25,11.73,6.18,11.73,4.75,2.46251662,5,0.988936
