method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,sumo_summary_teleports,sumo_summary_collisions,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,bo_batch_slot,hold_feasibility,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,5,4,6,bo_r05_004_tl67_dt137_ge14_qr21_tau82,67,137,14,0.21,0.82,300.92,451.38,314.60,314.60,0.00,PASS,,recovery_detected,True,False,0,0,0,563,1,56,-286878.05,-1063382.00,489625.90,159.45,95.04,ei,local,False,local_constrained,0.5999202898770335,60.29,18.75,12.25,15.58,11.74,60.29,22.46,60.29,23.51,4.09913113,5,0.630266,314.60,,,
BO,20260607,5,5,6,bo_r05_005_tl67_dt139_ge19_qr19_tau89,67,139,19,0.19,0.89,559.92,297.37,536.05,314.60,0.00,PASS,,recovery_timeout,True,False,0,0,0,633,1,73,244761.19,-551185.51,1040707.90,158.10,111.33,ei,global,False,global_ei,0.7076476739994947,80.35,24.39,16.17,20.27,15.98,80.35,31.60,80.35,31.46,4.38633622,5,0.718136,536.05,,,
BO,20260607,5,6,6,bo_r05_006_tl111_dt116_ge48_qr87_tau75,111,116,48,0.87,0.75,720.92,296.73,1000682.36,314.60,1000000.00,FAIL,sumo_summary_teleport_collision,recovery_timeout,True,False,1,1,1,521,1,49,813842.11,105626.51,1522057.70,28.35,5.92,ei,global,False,space_filling,0.20914991510711572,5.41,1.87,1.22,1.41,1.16,5.41,2.20,5.41,2.21,1.68761773,5,0.911742,682.36,,,
BO,20260607,6,1,6,bo_r06_001_tl67_dt136_ge14_qr21_tau82,67,136,14,0.21,0.82,300.92,451.38,314.60,314.60,0.00,PASS,,recovery_detected,True,False,0,0,0,563,1,56,222.65,-16549.60,16994.89,6.05,47.04,incumbent_exploitation,stable_success,False,stable,0.6086743802828929,29.85,9.29,6.07,7.72,5.81,29.85,11.12,29.85,11.64,3.39630365,5,0.630556,314.60,,,
BO,20260607,6,2,6,bo_r06_002_tl66_dt135_ge15_qr22_tau83,66,135,15,0.22,0.83,368.92,439.94,375.38,314.60,0.00,PASS,,recovery_detected,True,False,0,0,0,467,1,60,30459.75,-225565.20,286484.69,3.42,45.25,stable_success_lattice,stable_success,False,stable,0.6504294662854349,29.39,9.06,5.94,7.55,5.74,29.39,11.08,29.39,11.46,3.38079628,5,0.645599,375.38,,,
BO,20260607,6,3,6,bo_r06_003_tl67_dt131_ge9_qr23_tau79,67,131,9,0.23,0.79,308.92,452.22,1000321.95,314.60,1000000.00,FAIL,sumo_summary_teleport_collision,recovery_detected,True,False,1,1,1,429,1,68,843354.50,417393.40,1269315.61,142.52,83.47,ei,local,False,local_constrained,0.5899428948126304,49.40,15.49,10.05,12.92,9.48,49.40,17.83,49.40,19.19,3.89996064,5,0.587557,321.95,,,
BO,20260607,6,4,6,bo_r06_004_tl61_dt133_ge9_qr31_tau81,61,133,9,0.31,0.81,336.92,440.72,1000346.36,314.60,1000000.00,FAIL,sumo_summary_teleport_collision,recovery_detected,True,False,2,2,2,632,1,75,527090.24,-182826.09,1237006.57,118.56,82.05,ei,local,False,local_constrained,0.6967185430605919,50.95,15.24,10.03,13.00,9.77,50.95,19.02,50.95,19.67,3.93079738,5,0.616793,346.36,,,
BO,20260607,6,5,6,bo_r06_005_tl63_dt138_ge2_qr49_tau81,63,138,2,0.49,0.81,0.00,478.96,1000043.54,314.60,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,1,1,1,600,1,90,301363.28,-642109.15,1244835.70,133.46,77.95,ei,global,False,global_ei,0.587776291006128,50.17,14.67,9.74,12.63,9.65,50.17,19.11,50.17,19.33,3.91544918,5,0.639587,43.54,,,
BO,20260607,6,6,6,bo_r06_006_tl5_dt213_ge48_qr99_tau73,5,213,48,0.99,0.73,403.92,430.42,406.33,314.60,0.00,PASS,,recovery_detected,True,False,0,0,0,652,0,33,910235.87,290475.59,1529996.16,87.74,29.21,ei,global,False,space_filling,0.33472050851167445,20.24,4.69,3.33,4.64,3.75,20.24,8.34,20.24,7.50,3.00780143,5,0.689279,406.33,,,
BO,20260607,7,1,6,bo_r07_001_tl66_dt134_ge13_qr20_tau81,66,134,13,0.2,0.81,296.92,456.05,1000311.39,314.60,1000000.00,FAIL,sumo_summary_teleport_collision,recovery_detected,True,False,1,1,1,481,1,56,93896.84,-100405.90,288199.59,149.00,48.75,ei,stable_success,False,stable,0.329406711078556,30.07,9.37,6.10,7.80,5.82,30.07,11.07,30.07,11.70,3.40342178,5,0.612589,311.39,,,
BO,20260607,7,2,6,bo_r07_002_tl69_dt134_ge13_qr20_tau81,69,134,13,0.2,0.81,340.92,443.52,350.25,314.60,0.00,PASS,,recovery_detected,True,False,0,0,0,458,1,61,-107226.23,-294199.33,79746.86,143.82,47.55,ei,stable_success,False,stable,0.33282785793958675,29.60,9.33,6.07,7.71,5.76,29.60,10.90,29.60,11.56,3.38763008,5,0.618281,350.25,,,
BO,20260607,7,3,6,bo_r07_003_tl59_dt125_ge11_qr13_tau81,59,125,11,0.13,0.81,447.92,427.94,1000446.10,314.60,1000000.00,FAIL,sumo_summary_teleport_collision,recovery_detected,True,False,1,1,1,694,1,81,698481.49,198761.47,1198201.51,235.15,102.92,ei,trust_region,False,local_constrained,0.44094925226056186,60.00,18.28,11.92,15.54,11.38,60.00,21.68,60.00,23.13,4.09428870,5,0.578620,446.10,,,
BO,20260607,7,4,6,bo_r07_004_tl67_dt121_ge11_qr10_tau82,67,121,11,0.1,0.82,585.92,302.60,1000560.16,314.60,1000000.00,FAIL,sumo_summary_teleport_collision,recovery_timeout,True,False,5,5,5,897,1,98,-154492.59,-478999.99,170014.82,212.50,100.46,ei,local,False,local_constrained,0.4761059078161506,60.58,19.10,12.39,15.84,11.70,60.58,22.01,60.58,23.60,4.10393766,5,0.598759,560.16,,,
BO,20260607,7,5,6,bo_r07_005_tl68_dt112_ge12_qr13_tau70,68,112,12,0.13,0.7,512.92,311.24,1000494.59,314.60,1000000.00,FAIL,sumo_summary_teleport_collision,recovery_timeout,True,False,1,1,1,632,1,86,-336400.61,-706503.83,33702.60,149.68,79.75,ei,global,False,global_ei,0.537705140220096,38.77,13.24,8.29,10.77,7.21,38.77,12.27,38.77,15.09,3.65764153,5,0.481718,494.59,,,
BO,20260607,7,6,6,bo_r07_006_tl6_dt152_ge49_qr94_tau74,6,152,49,0.94,0.74,474.92,307.35,1000459.69,314.60,1000000.00,FAIL,sumo_summary_teleport_collision,recovery_timeout,True,False,1,1,1,710,0,37,326082.30,-122690.96,774855.57,80.68,24.84,ei,global,False,space_filling,0.3094075040316226,17.75,4.22,2.98,4.09,3.33,17.75,7.35,17.75,6.62,2.87643502,5,0.711127,459.69,,,
BO,20260607,8,1,6,bo_r08_001_tl69_dt140_ge15_qr22_tau83,69,140,15,0.22,0.83,368.92,439.94,375.38,314.60,0.00,PASS,,recovery_detected,True,False,0,0,0,467,1,60,-765702.46,-1034578.36,-496826.57,0.21,18.04,stable_success_lattice,stable_success,False,stable,0.2592407668414087,11.79,3.68,2.41,3.04,2.31,11.79,4.44,11.79,4.61,2.46746837,5,0.649840,375.38,,,
BO,20260607,8,2,6,bo_r08_002_tl69_dt140_ge15_qr20_tau83,69,140,15,0.2,0.83,368.92,439.94,375.38,314.60,0.00,PASS,,recovery_detected,True,False,0,0,0,467,1,60,-782175.49,-1058188.32,-506162.66,1.13,17.44,stable_success_lattice,stable_success,False,stable,0.25070741144700287,11.32,3.54,2.31,2.92,2.22,11.32,4.25,11.32,4.43,2.42658386,5,0.645040,375.38,,,
BO,20260607,8,3,6,bo_r08_003_tl100_dt208_ge14_qr40_tau85,100,208,14,0.4,0.85,371.92,432.18,1000377.40,314.60,1000000.00,FAIL,sumo_summary_teleport_collision,recovery_detected,True,False,3,3,3,623,1,63,448805.46,-528403.15,1426014.07,86.92,61.19,ei,local,False,local_constrained,0.7071049422951523,46.15,15.39,10.01,12.05,9.49,46.15,17.95,46.15,18.51,3.83186463,5,0.750875,377.40,,,
