variable,candidate_count,pass_count,fail_count,best_EV_sec,worst_EV_sec,EV_range_sec,best_score_sec,worst_score_sec,mean_abs_delta_EV_sec,max_abs_delta_EV_sec,sensitivity_label
t_lead,6,5,1,662.0,829.0,167.0,6860.66,8558.98,179.0,259.0,high
tau,0,0,0,,,,,,,,low
ext_max,0,0,0,,,,,,,,low
hold_max,0,0,0,,,,,,,,low
d_up,0,0,0,,,,,,,,low
