input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_delay_A_sec,output_delay_N_sec,weight_A,weight_N,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_d_EMV_sec,measured_d_veh_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
BO,20260607,1,bo_init_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,60.00,117.41,10.00,1.00,10:1,65.22,218.00,278.00,60.00,117.41,181.74,,
BO,20260607,2,bo_init_001_tl120_dt59_ge19_qr20_tau87,120,59,19,0.2,0.87,60.00,125.30,10.00,1.00,10:1,65.94,218.00,278.00,60.00,125.30,182.53,,
BO,20260607,3,bo_r03_001_tl36_dt61_ge38_qr82_tau86,36,61,38,0.82,0.86,112.92,114.90,10.00,1.00,10:1,113.10,218.00,330.92,112.92,114.90,181.49,,
BO,20260607,4,bo_r04_001_tl106_dt59_ge34_qr77_tau82,106,59,34,0.77,0.82,60.00,125.66,10.00,1.00,10:1,65.97,218.00,278.00,60.00,125.66,182.57,,
