candidate,segment_id,direction,mapped_S_segment,queue_state,signal_presence_status,simulated_speed_kmh,target_congestion_proxy,segment_congestion_proxy,max_stopline_queue_fill_ratio,fill_ratio_ge_0p50,fast_dense_no_queue_index,queue_compression_gap,approach_conflict_proxy,signal_too_generous_score,exit_too_easy_score,diagnosis,measurement_note
B04_u130_toegye15,S16,upbound,S16:upbound,free_flow,runtime_stage1_source,49.006,1.521063,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S17,downbound,S17:downbound,physical_queue,runtime_stage1_source,1.162,2.051125,3.547851,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S17,upbound,S17:upbound,free_flow,runtime_stage1_source,56.291,1.371529,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S18,downbound,S18:downbound,physical_queue,runtime_stage1_source,4.6,1.866812,3.214368,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S18,upbound,S18:upbound,free_flow,runtime_stage1_source,76.507,1.520045,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S19,downbound,S19:downbound,physical_queue,runtime_stage1_source,9.849,2.048852,2.659275,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S19,upbound,S19:upbound,free_flow,runtime_stage1_source,67.943,1.51958,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S20,downbound,S20:downbound,traffic_pressure,runtime_stage1_source,17.413,2.026,1.845365,,,,,,,,traffic_pressure,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S20,upbound,S20:upbound,free_flow,runtime_stage1_source,48.392,1.528317,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S21,downbound,S21:downbound,physical_queue,runtime_stage1_source,14.998,2.439661,2.121573,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S21,upbound,S21:upbound,free_flow,runtime_stage1_source,48.392,1.525579,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S22,downbound,S22:downbound,physical_queue,runtime_stage1_source,1.501,2.443457,3.542506,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S22,upbound,S22:upbound,free_flow,runtime_stage1_source,42.939,1.808561,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
