parameter_id,changed_variable,changed_value,final_status,movement_id,segment_id,route_order_index,speed_kmh,low_lt10_ratio,waiting_sec,density
ofat_t_lead_95,t_lead,95,PASS,B4_MOVEMENT_04,S6:upbound,23,8.264,0.7987,20131.0,206.846
ofat_t_lead_95,t_lead,95,PASS,B4_MOVEMENT_05,S7:upbound,28,4.221,0.9498,32389.0,225.779
ofat_t_lead_95,t_lead,95,PASS,B4_MOVEMENT_06,S9:upbound,35,1.603,0.994,77794.0,304.38
ofat_t_lead_95,t_lead,95,PASS,B4_MOVEMENT_07,S9:upbound,37,1.518,1.0,63876.86,304.963
ofat_t_lead_95,t_lead,95,PASS,B4_MOVEMENT_11,S15:upbound,50,4.88,0.9027,8902.0,166.525
ofat_tau_0p65,tau,0.65,PASS,B4_MOVEMENT_04,S6:upbound,23,8.264,0.7987,20131.0,206.846
ofat_tau_0p65,tau,0.65,PASS,B4_MOVEMENT_05,S7:upbound,28,4.221,0.9498,32389.0,225.779
ofat_tau_0p65,tau,0.65,PASS,B4_MOVEMENT_06,S9:upbound,35,1.603,0.994,77794.0,304.38
ofat_tau_0p65,tau,0.65,PASS,B4_MOVEMENT_07,S9:upbound,37,1.518,1.0,63876.86,304.963
ofat_tau_0p65,tau,0.65,PASS,B4_MOVEMENT_11,S15:upbound,50,4.88,0.9027,8902.0,166.525
ofat_tau_0p75,tau,0.75,PASS,B4_MOVEMENT_04,S6:upbound,23,8.264,0.7987,20131.0,206.846
ofat_tau_0p75,tau,0.75,PASS,B4_MOVEMENT_05,S7:upbound,28,4.221,0.9498,32389.0,225.779
ofat_tau_0p75,tau,0.75,PASS,B4_MOVEMENT_06,S9:upbound,35,1.603,0.994,77794.0,304.38
ofat_tau_0p75,tau,0.75,PASS,B4_MOVEMENT_07,S9:upbound,37,1.518,1.0,63876.86,304.963
ofat_tau_0p75,tau,0.75,PASS,B4_MOVEMENT_11,S15:upbound,50,4.88,0.9027,8902.0,166.525
ofat_tau_0p8,tau,0.8,PASS,B4_MOVEMENT_04,S6:upbound,23,8.264,0.7987,20131.0,206.846
ofat_tau_0p8,tau,0.8,PASS,B4_MOVEMENT_05,S7:upbound,28,4.221,0.9498,32389.0,225.779
ofat_tau_0p8,tau,0.8,PASS,B4_MOVEMENT_06,S9:upbound,35,1.603,0.994,77794.0,304.38
ofat_tau_0p8,tau,0.8,PASS,B4_MOVEMENT_07,S9:upbound,37,1.518,1.0,63876.86,304.963
ofat_tau_0p8,tau,0.8,PASS,B4_MOVEMENT_11,S15:upbound,50,4.88,0.9027,8902.0,166.525
ofat_hold_max_1,hold_max,1,PASS,B4_MOVEMENT_04,S6:upbound,23,7.546,0.8178,22387.0,208.39
ofat_hold_max_1,hold_max,1,PASS,B4_MOVEMENT_05,S7:upbound,28,3.714,0.9415,35284.0,218.45
ofat_hold_max_1,hold_max,1,PASS,B4_MOVEMENT_06,S9:upbound,35,1.456,0.9942,82141.28,296.957
ofat_hold_max_1,hold_max,1,PASS,B4_MOVEMENT_07,S9:upbound,37,1.39,1.0,67629.28,300.649
ofat_hold_max_1,hold_max,1,PASS,B4_MOVEMENT_11,S15:upbound,50,5.531,0.8231,8391.0,154.708
ofat_ext_max_45,ext_max,45,PASS,B4_MOVEMENT_04,S6:upbound,23,7.094,0.818,24527.0,216.889
ofat_ext_max_45,ext_max,45,PASS,B4_MOVEMENT_05,S7:upbound,28,3.493,0.9519,37309.0,223.585
ofat_ext_max_45,ext_max,45,PASS,B4_MOVEMENT_06,S9:upbound,35,1.459,0.9942,82267.0,292.179
ofat_ext_max_45,ext_max,45,PASS,B4_MOVEMENT_07,S9:upbound,37,1.394,0.9997,68663.0,301.102
ofat_ext_max_45,ext_max,45,PASS,B4_MOVEMENT_11,S15:upbound,50,5.523,0.8654,7458.0,147.619
ofat_t_lead_0,t_lead,0,PASS,B4_MOVEMENT_04,S6:upbound,23,8.742,0.7861,20754.0,207.681
ofat_t_lead_0,t_lead,0,PASS,B4_MOVEMENT_05,S7:upbound,28,4.913,0.9183,32060.34,210.394
ofat_t_lead_0,t_lead,0,PASS,B4_MOVEMENT_06,S9:upbound,35,1.594,0.9947,88124.58,317.04
ofat_t_lead_0,t_lead,0,PASS,B4_MOVEMENT_07,S9:upbound,37,1.477,1.0,72290.58,319.382
ofat_t_lead_0,t_lead,0,PASS,B4_MOVEMENT_11,S15:upbound,50,5.617,0.8213,7803.0,153.773
ofat_ext_max_40,ext_max,40,PASS,B4_MOVEMENT_04,S6:upbound,23,7.808,0.8298,23217.0,210.577
ofat_ext_max_40,ext_max,40,PASS,B4_MOVEMENT_05,S7:upbound,28,3.951,0.9547,37548.0,222.811
ofat_ext_max_40,ext_max,40,PASS,B4_MOVEMENT_06,S9:upbound,35,1.416,0.9948,91527.44,314.026
ofat_ext_max_40,ext_max,40,PASS,B4_MOVEMENT_07,S9:upbound,37,1.399,0.9991,72731.44,309.465
ofat_ext_max_40,ext_max,40,PASS,B4_MOVEMENT_11,S15:upbound,50,3.422,0.9721,11078.0,166.528
ofat_ext_max_10,ext_max,10,PASS,B4_MOVEMENT_04,S6:upbound,23,5.92,0.8712,34968.0,223.066
ofat_ext_max_10,ext_max,10,PASS,B4_MOVEMENT_05,S7:upbound,28,3.647,0.9345,46146.0,225.074
ofat_ext_max_10,ext_max,10,PASS,B4_MOVEMENT_06,S9:upbound,35,1.641,0.9953,98043.62,288.397
ofat_ext_max_10,ext_max,10,PASS,B4_MOVEMENT_07,S9:upbound,37,1.583,0.9993,81214.62,294.373
ofat_ext_max_10,ext_max,10,PASS,B4_MOVEMENT_11,S15:upbound,50,4.372,0.9478,12810.0,183.472
ofat_tau_0p85,tau,0.85,PASS,B4_MOVEMENT_04,S6:upbound,23,5.248,0.8781,37704.0,229.222
ofat_tau_0p85,tau,0.85,PASS,B4_MOVEMENT_05,S7:upbound,28,2.949,0.9639,53265.0,238.38
ofat_tau_0p85,tau,0.85,PASS,B4_MOVEMENT_06,S9:upbound,35,1.334,0.9957,110279.97,312.72
ofat_tau_0p85,tau,0.85,PASS,B4_MOVEMENT_07,S9:upbound,37,1.33,0.9999,87628.01,307.592
ofat_tau_0p85,tau,0.85,PASS,B4_MOVEMENT_11,S15:upbound,50,4.828,0.8694,11240.13,170.208
ofat_d_up_2,d_up,2,FAIL,B4_MOVEMENT_04,S6:upbound,23,36.888,0.0,589.0,57.37
ofat_d_up_2,d_up,2,FAIL,B4_MOVEMENT_05,S7:upbound,28,32.088,0.3195,383.0,56.812
ofat_d_up_2,d_up,2,FAIL,B4_MOVEMENT_06,S9:upbound,35,2.378,0.9801,23025.0,292.69
ofat_d_up_2,d_up,2,FAIL,B4_MOVEMENT_07,S9:upbound,37,1.782,0.9966,20231.0,311.058
ofat_d_up_2,d_up,2,FAIL,B4_MOVEMENT_11,S15:upbound,50,3.427,0.9465,3287.0,171.989
ofat_d_up_3,d_up,3,FAIL,B4_MOVEMENT_04,S6:upbound,23,36.888,0.0,589.0,57.37
ofat_d_up_3,d_up,3,FAIL,B4_MOVEMENT_05,S7:upbound,28,32.088,0.3195,383.0,56.812
ofat_d_up_3,d_up,3,FAIL,B4_MOVEMENT_06,S9:upbound,35,2.378,0.9801,23025.0,292.69
ofat_d_up_3,d_up,3,FAIL,B4_MOVEMENT_07,S9:upbound,37,1.782,0.9966,20231.0,311.058
ofat_d_up_3,d_up,3,FAIL,B4_MOVEMENT_11,S15:upbound,50,3.427,0.9465,3287.0,171.989
ofat_ext_max_1,ext_max,1,FAIL,B4_MOVEMENT_04,S6:upbound,23,33.753,0.0958,1123.0,64.401
ofat_ext_max_1,ext_max,1,FAIL,B4_MOVEMENT_05,S7:upbound,28,21.61,0.449,2910.0,106.458
ofat_ext_max_1,ext_max,1,FAIL,B4_MOVEMENT_06,S9:upbound,35,3.157,0.987,31280.61,273.62
ofat_ext_max_1,ext_max,1,FAIL,B4_MOVEMENT_07,S9:upbound,37,2.808,0.9866,27883.0,287.871
ofat_ext_max_1,ext_max,1,FAIL,B4_MOVEMENT_11,S15:upbound,50,1.975,0.9783,8208.0,245.439
