segment_id,direction,edge_id,edge_order,axis_position,matched_length_m,segment_length_m,match_ratio,current_lanes,target_lanes,lane_delta,repair_target,repair_reason
S22,upbound,585341906#2,4,0.138373,60.1,120.2,0.5,2,3,1,True,mainline_overlap_lane_repair
S22,upbound,585341907#2,5,0.218985,68.685714,120.2,0.571429,2,3,1,True,mainline_overlap_lane_repair
S22,upbound,1206223947,6,0.478652,77.271429,120.2,0.642857,2,3,1,True,mainline_overlap_lane_repair
S22,upbound,619147738#1,7,0.515877,42.928571,120.2,0.357143,2,3,1,True,mainline_overlap_lane_repair
S22,upbound,1206223945,8,0.583549,85.857143,120.2,0.714286,2,3,1,True,mainline_overlap_lane_repair
S22,upbound,1206223939,9,0.723302,51.514286,120.2,0.428571,2,3,1,True,mainline_overlap_lane_repair
S22,upbound,615671503,10,0.768203,34.342857,120.2,0.285714,2,3,1,True,mainline_overlap_lane_repair
S22,upbound,615671502,11,0.919405,42.928571,120.2,0.357143,2,3,1,True,mainline_overlap_lane_repair
S22,upbound,183272654,12,1.0,25.757143,120.2,0.214286,4,3,-1,True,mainline_overlap_lane_repair
S22,downbound,585341903#0,1,0.0,42.928571,120.2,0.357143,2,2,0,True,mainline_overlap_lane_repair
S22,downbound,585341908#0,2,0.0,34.342857,120.2,0.285714,2,2,0,True,mainline_overlap_lane_repair
S22,downbound,585341908#1,3,0.0,34.342857,120.2,0.285714,2,2,0,True,mainline_overlap_lane_repair
S22,downbound,1206223943,4,0.098715,42.928571,120.2,0.357143,2,2,0,True,mainline_overlap_lane_repair
S22,downbound,585341902,5,0.431944,85.857143,120.2,0.714286,2,2,0,True,mainline_overlap_lane_repair
S22,downbound,477063271,6,0.667124,68.685714,120.2,0.571429,2,2,0,True,mainline_overlap_lane_repair
S22,downbound,615671505#0,7,0.853237,68.685714,120.2,0.571429,4,2,-2,True,mainline_overlap_lane_repair
S22,downbound,1206223946#0,8,0.89775,51.514286,120.2,0.428571,2,2,0,True,mainline_overlap_lane_repair
