method,seed,round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,essi_max,essi_log_max_ewma,essi_spc_status
BO,20260607,1,bo_init_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,1000008.24,1000008.24,,,,,0.00,-27.63102112,warmup
BO,20260607,2,bo_init_001_tl29_dt79_ge10_qr71_tau82,29,79,10,0.71,0.82,281.23,281.23,,,,,44684.72,-16.12949871,warmup
BO,20260607,3,bo_r03_001_tl34_dt61_ge4_qr71_tau76,34,61,4,0.71,0.76,326.52,281.23,487819.67,-491615.43,1467254.76,42784.55,65399.56,-7.96416785,warmup
BO,20260607,4,bo_r04_001_tl29_dt72_ge10_qr67_tau85,29,72,10,0.67,0.85,305.32,281.23,332953.09,-590725.65,1256631.84,65538.02,95843.38,-2.13377630,warmup
