method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,delay_A,delay_N,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,6,5,6,bo_r06_005_tl82_dt60_ge33_qr40_tau89,82,60,33,0.4,0.89,245.92,76.56,230.52,91.20,0.00,PASS,,recovery_detected,True,False,0,657,0,33,234.53,67.80,401.25,,,,,,,,,,,,,,230.52,,,
BO,20260607,6,6,6,bo_r06_006_tl81_dt122_ge8_qr4_tau70,81,122,8,0.04,0.7,406.92,87.22,377.86,91.20,0.00,PASS,,recovery_detected,True,False,0,890,1,88,234.53,67.80,401.25,,,,,,,,,,,,,,377.86,,,
BO,20260607,7,1,6,bo_r07_001_tl58_dt81_ge42_qr4_tau82,58,81,42,0.04,0.82,198.92,89.37,188.96,91.20,0.00,PASS,,recovery_detected,True,False,0,297,1,28,239.98,73.95,406.01,,,,,,,,,,,,,,188.96,,,
BO,20260607,7,2,6,bo_r07_002_tl12_dt115_ge48_qr61_tau70,12,115,48,0.61,0.7,283.92,79.07,265.30,91.20,0.00,PASS,,recovery_detected,True,False,0,321,0,30,239.98,73.95,406.01,,,,,,,,,,,,,,265.30,,,
BO,20260607,7,3,6,bo_r07_003_tl73_dt176_ge11_qr55_tau84,73,176,11,0.55,0.84,320.92,82.28,299.23,91.20,0.00,PASS,,recovery_detected,True,False,0,575,0,67,239.98,73.95,406.01,,,,,,,,,,,,,,299.23,,,
BO,20260607,7,4,6,bo_r07_004_tl26_dt15_ge37_qr40_tau84,26,15,37,0.4,0.84,145.92,78.62,139.80,91.20,0.00,PASS,,recovery_detected,True,False,0,2911,0,17,239.98,73.95,406.01,,,,,,,,,,,,,,139.80,,,
BO,20260607,7,5,6,bo_r07_005_tl106_dt115_ge29_qr23_tau87,106,115,29,0.23,0.87,224.92,88.79,212.54,91.20,0.00,PASS,,recovery_detected,True,False,0,349,1,34,239.98,73.95,406.01,,,,,,,,,,,,,,212.54,,,
BO,20260607,7,6,6,bo_r07_006_tl34_dt110_ge15_qr88_tau86,34,110,15,0.88,0.86,303.92,85.22,284.04,91.20,0.00,PASS,,recovery_detected,True,False,0,829,0,58,239.98,73.95,406.01,,,,,,,,,,,,,,284.04,,,
BO,20260607,8,1,6,bo_r08_001_tl103_dt74_ge32_qr38_tau71,103,74,32,0.38,0.71,242.92,78.20,227.95,91.20,0.00,PASS,,recovery_detected,True,False,0,424,0,36,238.79,79.40,398.18,,,,,,,,,,,,,,227.95,,,
BO,20260607,8,2,6,bo_r08_002_tl12_dt66_ge2_qr31_tau79,12,66,2,0.31,0.79,295.92,88.00,277.02,91.20,0.00,PASS,,recovery_detected,True,False,0,1885,0,84,238.79,79.40,398.18,,,,,,,,,,,,,,277.02,,,
