generated_at,run_id,timeout_steps,command_time_to_teleport,pipeline,output_prefix,mode,parameter_id,repeat_id,route_id,route_start_edge,route_target_edge,route_policy,D_det,alpha,G_ext,T_change_sec,w1,w2,w3,effective_T_change_sec,effective_alpha_sec,effective_G_ext_sec,emergency_travel_time_sec,b00_emergency_travel_time_sec,A_delay_sec,N_delay_sec,T_recovery_sec,score_sec,emergency_arrived,emergency_teleport,background_vehicle_count,final_status,warning_reason,failure_reason,run_dir,sumo_exit_code,emergency_departed,emergency_travel_time,emergency_corridor_actual_sec,emergency_corridor_free_flow_sec,general_non_main_actual_sec,general_non_main_free_flow_sec,general_non_main_vehicle_edge_count,N_delay_completed_vehicle_edge_count,N_delay_censored_vehicle_edge_count,N_delay_excluded_active_vehicle_edge_count,N_delay_excluded_ratio,N_delay_censored_ratio,route_error_count,background_departed,background_arrived,background_teleported,background_teleport_ratio,timeout_reached,remaining_vehicle_count,background_remaining_count,background_remaining_at_sim_end,all_vehicles_arrived,network_avg_speed_kmh,network_avg_speed_at_analysis_end_kmh,network_running_at_analysis_end,network_speed_pre_emergency_kmh,network_speed_during_response_kmh,network_speed_post_recovery_kmh,active_vehicle_count_pre_emergency,active_vehicle_count_during_response,active_vehicle_count_post_recovery,rolling_congestion_valid,rolling_congestion_reason,rolling_congestion_window_sec,rolling_congestion_min_kmh,rolling_congestion_max_kmh,congestion_valid,congestion_valid_at_analysis_end,congestion_reason_at_analysis_end,congestion_reason,analysis_end_time_sec,analysis_stop_reason,recovery_buffer_sec,emergency_route_length_m,emergency_route_length_source,emergency_avg_speed_kmh,emergency_speed_factor,emergency_speed_cap_kmh,emergency_bluelight_enabled,b00_speed_policy,controlled_tls_count,skipped_tls_count,failed_tls_count,intervention_count,green_extension_count,green_arrived_before_t_change_extension_count,phase_switch_count,restore_count,signal_event_count,t_change_request_count,t_change_switch_count,green_missed_before_t_change_count,T_recovery_tls_count,T_recovery_max_tls_id,T_recovery_unrecovered_count,queue_recovery_csv,safety_violation_count,emergency_stop_warning_count,emergency_lane_connection_warning_count,emergency_lane_connection_diagnostic_count,signal_events_csv,b0_emergency_travel_time,travel_time_delta_sec,travel_time_improvement_pct,stderr_log,tripinfo,summary_output,edgeData_output,controller_started,elapsed_wall_sec,emergency_vehicle_id,sumocfg,sim_end_time,emergency_last_edge_id,emergency_last_route_index,emergency_last_lane_id,emergency_last_speed_kmh,emergency_last_waiting_time_sec,emergency_route_progress_ratio
2026-05-31T03:45:33.745237+00:00,20260531T034533_745237Z0000,7200,1200,parameter_input_sim,parameter_input_sim,B0,no_control,repeat_001,FIRE_TO_SEOUL_STATION,-381802881#2,619147738#0,straight_seoul_station_fixed,,,,,3.00,1.00,1.00,,,,1472.00,227.00,1245.00,4.90,0.00,3739.90,True,False,1744,PASS_WITH_REMAINING_BACKGROUND,,,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B0/no_control/repeat_001/FIRE_TO_SEOUL_STATION,0,True,1472.00,1255.00,200.67,8.86,4.04,13011,12960,51,0,0.0,0.00392,0,1293,1084,0,0.0,False,212,212,212,False,18.479099,17.316,209,26.36,15.63,14.74,296.08,245.33,204.05,True,rolling_speed_12_to_35_kmh,300,13.63,26.36,True,True,congestion_or_residual_queue_under_25_kmh,congested_10_to_25_kmh,2373.00,emergency_arrived_queue_recovered_buffer_elapsed,300.00,2990.17,fixed_external_edges,7.31,1.40,70.00,False,speed50_net_emergency_speedFactor_1p40_cap70_no_bluelight_tls_all_off,0,0,0,0,0,0,0,0,2,0,0,0,12,cluster_1326096615_3849700763,0,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B0/no_control/repeat_001/FIRE_TO_SEOUL_STATION/queue_recovery_by_tls.csv,0,0,0,0,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B0/no_control/repeat_001/FIRE_TO_SEOUL_STATION/signal_events.csv,,,,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B0/no_control/repeat_001/FIRE_TO_SEOUL_STATION/sumo_stderr.log,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B0/no_control/repeat_001/FIRE_TO_SEOUL_STATION/tripinfo.xml,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B0/no_control/repeat_001/FIRE_TO_SEOUL_STATION/summary.xml,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B0/no_control/repeat_001/FIRE_TO_SEOUL_STATION/edgeData.xml,True,44.61,emergency_FIRE_TO_SEOUL_STATION_B0_repeat_001,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B0/no_control/repeat_001/FIRE_TO_SEOUL_STATION/scenario.sumocfg,2372.00,619147738#0,58,619147738#0_0,65.16,0.00,1.00
2026-05-31T03:45:33.745237+00:00,20260531T034533_745237Z0000,7200,1200,parameter_input_sim,parameter_input_sim,B00,freeflow,repeat_001,FIRE_TO_SEOUL_STATION,-381802881#2,619147738#0,straight_seoul_station_fixed,,,,,3.00,1.00,1.00,,,,227.00,227.00,0.00,0.00,0.00,0.00,True,False,0,PASS,,,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B00/freeflow/repeat_001/FIRE_TO_SEOUL_STATION,0,True,227.00,156.00,200.67,0.00,0.00,0,0,0,0,0.0,0.0,0,0,0,0,0.0,False,0,0,0,True,61.775841,0.0,0,,,,,,,False,not_applicable_no_background,300,,,False,False,not_applicable_no_background,not_applicable_no_background,828.00,simulation_completed,300.00,2990.17,fixed_external_edges,47.42,1.40,70.00,False,speed50_net_emergency_speedFactor_1p40_cap70_no_bluelight_tls_all_off,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B00/freeflow/repeat_001/FIRE_TO_SEOUL_STATION/queue_recovery_by_tls.csv,0,0,0,0,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B00/freeflow/repeat_001/FIRE_TO_SEOUL_STATION/signal_events.csv,,,,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B00/freeflow/repeat_001/FIRE_TO_SEOUL_STATION/sumo_stderr.log,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B00/freeflow/repeat_001/FIRE_TO_SEOUL_STATION/tripinfo.xml,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B00/freeflow/repeat_001/FIRE_TO_SEOUL_STATION/summary.xml,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B00/freeflow/repeat_001/FIRE_TO_SEOUL_STATION/edgeData.xml,True,11.58,emergency_FIRE_TO_SEOUL_STATION_B00_repeat_001,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B00/freeflow/repeat_001/FIRE_TO_SEOUL_STATION/scenario.sumocfg,827.00,619147738#0,58,619147738#0_1,67.42,0.00,1.00
2026-05-31T03:45:33.745237+00:00,20260531T034533_745237Z0000,7200,1200,parameter_input_sim,parameter_input_sim,B2,selected_d1000_a5_g60_t10,repeat_001,FIRE_TO_SEOUL_STATION,-381802881#2,619147738#0,straight_seoul_station_fixed,1000.0,5.0,60.0,10.00,3.00,1.00,1.00,10.00,5.00,60.00,1158.00,227.00,931.00,4.22,1.00,2798.22,True,False,1744,PASS_WITH_REMAINING_BACKGROUND,,,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B2/selected_d1000_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION,0,True,1158.00,835.00,200.67,8.14,3.99,11092,11048,44,0,0.0,0.003967,0,1186,971,0,0.0,False,217,217,217,False,19.128312,11.268,215,26.36,15.99,15.85,296.08,245.70,224.75,True,rolling_speed_12_to_35_kmh,300,13.07,26.36,True,True,congestion_or_residual_queue_under_25_kmh,congested_10_to_25_kmh,2059.00,emergency_arrived_queue_recovered_buffer_elapsed,300.00,2990.17,fixed_external_edges,9.30,1.40,70.00,False,speed50_net_emergency_speedFactor_1p40_cap70_no_bluelight_tls_all_off,6,0,0,12,6,3,0,6,29,3,0,0,12,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,0,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B2/selected_d1000_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/queue_recovery_by_tls.csv,0,0,0,0,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B2/selected_d1000_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/signal_events.csv,1472.0,-314.00,21.331522,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B2/selected_d1000_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/sumo_stderr.log,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B2/selected_d1000_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/tripinfo.xml,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B2/selected_d1000_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/summary.xml,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B2/selected_d1000_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/edgeData.xml,True,37.83,emergency_FIRE_TO_SEOUL_STATION_B2_selected_d1000_a5_g60_t10_repeat_001,runs/final/parameter_input_sim/20260531T034533_745237Z0000/B2/selected_d1000_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/scenario.sumocfg,2058.00,619147738#0,58,619147738#0_0,67.03,0.00,1.00
