candidate_id,candidate_type,net_variant,route_variant,same_start,same_target,sumo_exit_code,emergency_departed,emergency_arrived,emergency_teleport,emergency_teleport_evidence,route_error_count,emergency_travel_time,emergency_waiting_time,background_departed,background_arrived,background_teleported,sim_end_time,run_dir,sumocfg,stderr_log,tripinfo,final_status
original_route_emergency_only,demand_interaction_diagnosis,data_prepared/net/jungbu_ellipse_passenger.net.xml,data_prepared/net_repair/er_acc_013/er_acc_013_original_emergency_only.rou.xml,True,True,0,True,True,False,[],0,159.0,0.0,0,0,0,159.0,runs/net_repair_er_acc_013/emergency_only_original,runs/net_repair_er_acc_013/emergency_only_original/scenario.sumocfg,runs/net_repair_er_acc_013/emergency_only_original/sumo_stderr.log,runs/net_repair_er_acc_013/emergency_only_original/tripinfo.xml,PASS
original_route_b0_0p15_existing,baseline_reference,data_prepared/net/jungbu_ellipse_passenger.net.xml,data_prepared/routes/emergency_routes_spine_v2.csv,True,True,0,True,True,True,,0,1394.0,,654,654,4,,runs/b0_baseline_19route_smoke/ER_ACC_013,,,,FAIL
