method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,1,1,6,bo_r01_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,944.92,294.69,885.81,885.81,0.00,PASS,,recovery_timeout,True,False,0,667,1,70,,,,,,,,,,,,,,,,,,,885.81,,,
BO,20260607,1,2,6,bo_r01_002_tl80_dt143_ge18_qr17_tau79,80,143,18,0.17,0.79,0.00,458.79,1000041.71,885.81,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,340,1,55,,,,,,,,,,,,,,,,,,,41.71,,,
BO,20260607,1,3,6,bo_r01_003_tl56_dt74_ge28_qr32_tau74,56,74,28,0.32,0.74,0.00,488.17,1000044.38,885.81,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,367,1,32,,,,,,,,,,,,,,,,,,,44.38,,,
BO,20260607,1,4,6,bo_r01_004_tl117_dt156_ge35_qr21_tau70,117,156,35,0.21,0.7,0.00,449.81,1000040.89,885.81,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,238,1,40,,,,,,,,,,,,,,,,,,,40.89,,,
BO,20260607,1,5,6,bo_r01_005_tl43_dt211_ge31_qr66_tau75,43,211,31,0.66,0.75,0.00,512.88,1000046.63,885.81,1000000.00,FAIL,tls_phase_set_failed:CSV_TLS_S19_S20_SEVERANCE_BUILDING:0,,False,False,0,0,0,0,,,,,,,,,,,,,,,,,,,46.63,,,
BO,20260607,1,6,6,bo_r01_006_tl77_dt210_ge17_qr42_tau85,77,210,17,0.42,0.85,0.00,555.70,1000050.52,885.81,1000000.00,FAIL,tls_phase_set_failed:CSV_TLS_S19_S20_SEVERANCE_BUILDING:0,,False,False,0,0,0,0,,,,,,,,,,,,,,,,,,,50.52,,,
