variable,candidate_count,pass_count,fail_count,best_EV_sec,worst_EV_sec,EV_range_sec,best_score_sec,worst_score_sec,mean_abs_delta_EV_sec,max_abs_delta_EV_sec,sensitivity_label
t_lead,0,0,0,,,,,,,,low
tau,0,0,0,,,,,,,,low
ext_max,0,0,0,,,,,,,,low
hold_max,5,5,0,624.0,829.0,205.0,6471.88,8566.15,148.8,259.0,high
d_up,0,0,0,,,,,,,,low
