route_id,scenario_id,target_edge_id,selected_policy,route_edges,route_length_m,route_edge_count,route_tls_count,spine_edge_count,spine_length_m,spine_length_ratio,max_consecutive_spine_length_m,length_increase_pct,review_status,warnings
ER_ACC_001,ACC_001,-1099004169,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 -218923171#5 -218923171#4 -1099004169,677.23,17,2,12,434.17,0.641097,265.07,0.858,needs_manual_review,max_consecutive_spine_lt_300m
ER_ACC_002,ACC_002,-176728951#4,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 383097714 1499619438#0 383097712#1 333972428#1 333972428#2 333972428#3 289213613#0 289213613#3 619342756 585341917 438360329#0 -176728951#4,3003.31,66,8,51,2530.95,0.84272,662.92,0.0,PASS,
ER_ACC_003,ACC_003,-198564930,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 383097714 1499619438#0 1499619445#2 1499619443#4 1499619443#8 1499619443#9 1499619437 1499619442 218923188#0 218923188#1 218923188#2 218923188#4 -198564930,2988.77,67,9,46,2066.21,0.691325,662.92,13.927,PASS,
ER_ACC_004,ACC_004,-198691090,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 198691061#0 198691061#1 198691061#2 -198691068 -198691090,2213.42,54,5,41,1751.21,0.791178,662.92,0.0,PASS,
ER_ACC_005,ACC_005,-228795481#0,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 1455512071 428260116#1 1455518728 -198564928#28 -198564928#27 -198564928#26 -198564928#25 -198564928#24 -198564928#23 -198564928#22 -198564928#21 -198564928#20 -198564928#18 -198564928#17 -198564928#16 -198564928#15 -198564928#14 -198564928#13 -198564928#12 -198564928#11 -198564928#10 219696192#7 219696192#9 824132484#0 824132486 184083187#0 -228795481#1 -228795481#0,1883.26,49,5,21,946.31,0.502485,461.72,3.783,PASS,
ER_ACC_006,ACC_006,-228796091#1,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 -228796091#4 -228796091#1,1687.24,39,5,31,1358.95,0.805428,662.92,0.0,PASS,
ER_ACC_007,ACC_007,-272263606,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 -1455497346 237470575#0 237470575#1 237470575#3 237470575#4 -272263605#2 -272263606,1600.0,34,3,22,919.69,0.574806,461.72,0.0,PASS,
ER_ACC_008,ACC_008,-37928420#2,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 -913009312#10 -913009312#9 -913009312#8 -913009312#5 -913009312#4 -913009312#3 -913009311 -520307306 -218662402#1 37928420#0 244215552#0 -420317543#1 420317544#2 -420187959#2 -420187959#0 -520307305#2 -37928420#2,1476.36,31,3,16,689.97,0.467345,520.87,46.483,needs_manual_review,spine_route_length_gt_40%_over_shortest
ER_ACC_009,ACC_009,-420383159#1,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 1455512071 428260116#1 1455518728 -198564928#28 -198564928#27 -198564928#26 -198564928#25 -198564928#24 -198564928#23 -198564928#22 -198564928#21 -198564928#20 -198564928#18 -198564928#17 -198564928#16 -198564928#15 -198564928#14 -198564928#13 -198564928#12 -117914848#7 -117914848#6 -117914848#5 -117914848#4 -117914848#3 -420383159#2 -420383159#1,1695.73,47,5,21,946.31,0.558055,461.72,3.891,PASS,
ER_ACC_010,ACC_010,117784418#0,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 1455512071 428260116#1 1455518728 -198564928#28 -198564928#27 -198564928#26 -395564622#2 -395564622#1 -395564622#0 -1456115806#2 -1456115806#0 1456115804#0 1456115804#1 117784418#0,1374.97,35,6,20,881.89,0.641389,461.72,19.244,PASS,
ER_ACC_011,ACC_011,1205679418#11,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 1205679414 1205679418#0 1205679418#1 1205679418#2 1205679418#3 1205679418#4 1205679418#5 1205679418#6 1205679418#8 1205679418#11,2083.45,50,5,33,1463.0,0.702201,662.92,16.977,PASS,
ER_ACC_012,ACC_012,170403814#0,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 1455512071 428260116#1 1455518728 -198564928#28 -198564928#27 -198564928#26 -198564928#25 -198564928#24 -198564928#23 -198564928#22 -198564928#21 -198564928#20 -198564928#18 -198564928#17 170403814#0,1575.95,36,5,21,946.31,0.60047,461.72,4.199,PASS,
ER_ACC_013,ACC_013,198564929#5,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 383097714 1499619438#0 383097712#1 333972428#1 333972428#2 333972428#3 289213613#0 289213613#3 619147728 619147729#0 619147729#1 619147729#2 619147735#0 619147735#1 619147735#4 198564929#0 198564929#2 198564929#3 198564929#5,3184.5,73,9,53,2592.65,0.814147,662.92,15.761,PASS,
ER_ACC_014,ACC_014,198691079#0,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 383097714 1499619438#0 1499619445#2 1499619443#4 1499619443#8 1499619443#9 1499619437 1499619442 219096264 198564925#0 198691079#0,2735.83,65,9,46,2066.21,0.755241,662.92,4.179,PASS,
ER_ACC_015,ACC_015,243542156#1,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 1465558146#0 1465558146#1 383097723 -243542156#1 464461055 243542154#1 243542156#1,2557.85,59,6,45,2134.52,0.834498,662.92,0.0,PASS,
ER_ACC_016,ACC_016,273028084#6,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 781985786#1 781985786#2 781985786#3 781985786#4 913570919 913570918 273028084#0 273028084#6,2725.57,60,6,47,2237.33,0.820867,662.92,1.458,PASS,
ER_ACC_017,ACC_017,273640070#0,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 -772527390#5 785130598#0 785130598#1 785130598#3 223418965#1 223418965#2 223418965#3 223418965#5 223418965#10 223418965#14 273647556#0 -273647554#1 -273640076#1 -244221646#2 273640070#0,2788.26,50,5,32,1507.56,0.540681,662.92,26.475,WARNING,spine_route_length_gt_25%_over_shortest
ER_ACC_018,ACC_018,301285277#0,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 301285277#0,2337.36,55,6,45,2047.85,0.876138,662.92,0.0,PASS,
ER_ACC_019,ACC_019,315658884#1,spine_corridor_biased,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 218915135#3 218915135#4 781983104#0 781983104#1 333557072#3 333557072#5 619147738#0 619147738#1 1206223939 615671502 796927124 1206223944 585341902 477063271 1206223946#0 619147740 619147739#0 619147739#1 619147739#3 315658884#1,3493.78,72,7,58,3161.37,0.904857,1152.13,23.736,PASS,
ER_ACC_020,ACC_020,381802879#1,spine_corridor_biased,-381802881#2 -381802881#0 -381802876#1 381802853 381802843#1 117914353#1 381802879#0 381802879#1,424.06,8,0,0,0.0,0.0,0.0,0.0,needs_manual_review,spine_length_ratio_lt_25%;max_consecutive_spine_lt_300m
