route_id,scenario_id,target_edge_id,selected_policy,route_edges,route_length_m,route_edge_count,route_tls_count,spine_edge_count,spine_length_m,spine_length_ratio,max_consecutive_spine_length_m,length_increase_pct,length_detour_warning,review_status,needs_manual_review,warnings,previous_review_status
ER_ACC_001,ACC_001,-1099004169,spine_corridor_biased_v2,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 -218923171#5 -218923171#4 -1099004169,677.23,17,2,12,434.17,0.641097,265.07,0.858,False,needs_manual_review,True,max_consecutive_spine_lt_300m,accept
ER_ACC_002,ACC_002,-176728951#4,spine_corridor_biased_v2,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 420361196 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 383097714 1499619438#0 383097712#1 333972428#1 333972428#2 333972428#3 289213613#0 289213613#3 619342756 585341917 438360329#0 -176728951#4,3094.52,60,8,47,2630.0,0.849889,825.05,3.037,False,PASS,False,,accept
ER_ACC_003,ACC_003,-198564930,spine_corridor_biased_v2,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 420361196 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 383097714 1499619438#0 1499619445#2 1499619443#4 1499619443#8 1499619443#9 1499619437 1499619442 218923188#0 218923188#1 218923188#2 218923188#4 -198564930,3079.98,61,9,42,2165.26,0.703011,825.05,17.404,False,PASS,False,,reject
ER_ACC_004,ACC_004,-198691090,spine_corridor_biased_v2,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 420361196 347237859#0 347237859#1 347237859#2 198691061#0 198691061#1 198691061#2 -198691068 -198691090,2304.63,48,5,37,1850.26,0.802845,662.92,4.121,False,PASS,False,,accept
ER_ACC_005,ACC_005,-228795481#0,spine_corridor_biased_v2,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696192#0 219696192#4 219696192#5 219696192#7 219696192#9 824132484#0 824132486 184083187#0 -228795481#1 -228795481#0,2166.85,45,4,30,1293.74,0.59706,662.92,19.411,False,PASS,False,,reject
ER_ACC_006,ACC_006,-228796091#1,spine_corridor_biased_v2,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 -228796091#4 -228796091#1,1687.24,39,5,31,1358.95,0.805428,662.92,0.0,False,PASS,False,,accept
ER_ACC_007,ACC_007,-272263606,spine_corridor_biased_v2,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 -772527390#5 785130598#0 785130598#1 785130598#3 223418965#1 223418965#2 273639501#0 273639501#2 -272263605#2 -272263606,2156.46,45,5,32,1507.56,0.69909,662.92,34.779,True,WARNING,False,spine_route_length_gt_25%_over_shortest,accept
ER_ACC_008,ACC_008,-37928420#2,spine_corridor_biased_v2,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 -913009312#10 -913009312#9 -913009312#8 -913009312#5 -913009312#4 117914343#0 381452104#0 381452104#1 381452104#2 -420187959#4 -420187959#3 -420187959#2 -420187959#0 -520307305#2 -37928420#2,1354.14,29,3,15,553.72,0.408909,384.62,34.357,True,WARNING,False,spine_route_length_gt_25%_over_shortest,reject
ER_ACC_009,ACC_009,-420383159#1,spine_corridor_biased_v2,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 1455512071 428260116#1 1455518728 -198564928#28 -198564928#27 -198564928#26 -198564928#25 -198564928#24 -198564928#23 -198564928#22 -198564928#21 -198564928#20 -198564928#18 -198564928#17 -198564928#16 -198564928#15 -198564928#14 -198564928#13 -198564928#12 -117914848#7 -117914848#6 -117914848#5 -117914848#4 -117914848#3 -420383159#2 -420383159#1,1695.73,47,5,21,946.31,0.558055,461.72,3.891,False,PASS,False,,reject
ER_ACC_010,ACC_010,117784418#0,spine_corridor_biased_v2,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 1455512071 428260116#1 1455518728 -198564928#28 -198564928#27 -198564928#26 -395564622#2 -395564622#1 -395564622#0 -1456115806#2 -1456115806#0 1456115804#0 1456115804#1 117784418#0,1374.97,35,6,20,881.89,0.641389,461.72,19.244,False,PASS,False,,reject
ER_ACC_011,ACC_011,1205679418#11,spine_corridor_biased_v2,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 782892489#0 782892489#2 782892489#3 782892489#4 782892489#5 198564926 198564928#0 1205679418#11,2379.04,51,7,37,1750.83,0.73594,662.92,33.574,True,WARNING,False,spine_route_length_gt_25%_over_shortest,reject
ER_ACC_012,ACC_012,170403814#0,spine_corridor_biased_v2,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 1455512071 428260116#1 1455518728 -198564928#28 -198564928#27 -198564928#26 -198564928#25 -198564928#24 -198564928#23 -198564928#22 -198564928#21 -198564928#20 -198564928#18 -198564928#17 170403814#0,1575.95,36,5,21,946.31,0.60047,461.72,4.199,False,PASS,False,,reject
ER_ACC_013,ACC_013,198564929#5,spine_corridor_biased_v2,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 420361196 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 383097714 1499619438#0 383097712#1 333972428#1 333972428#2 333972428#3 289213613#0 289213613#3 619147728 619147729#0 619147729#1 619147729#2 619147735#0 619147735#1 619147735#4 198564929#0 198564929#2 198564929#3 198564929#5,3275.71,67,9,49,2691.7,0.821715,825.05,19.076,False,PASS,False,,accept
ER_ACC_014,ACC_014,198691079#0,spine_corridor_biased_v2,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 420361196 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 383097714 1499619438#0 1499619445#2 1499619443#4 1499619443#8 1499619443#9 1499619437 1499619442 219096264 198564925#0 198691079#0,2827.04,59,9,42,2165.26,0.765911,825.05,7.652,False,PASS,False,,accept
ER_ACC_015,ACC_015,243542156#1,spine_corridor_biased_v2,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 420361196 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 1465558146#0 1465558146#1 383097723 -243542156#1 -243542154#1 -464461055 243542156#1,2652.62,53,6,41,2233.57,0.842024,825.05,3.705,False,PASS,False,,accept
ER_ACC_016,ACC_016,273028084#6,spine_corridor_biased_v2,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 420361196 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 781985786#1 781985786#2 781985786#3 781985786#4 913570919 913570918 273028084#0 273028084#6,2816.78,54,6,43,2336.38,0.829451,825.05,4.853,False,PASS,False,,accept
ER_ACC_017,ACC_017,273640070#0,spine_corridor_biased_v2,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 -772527390#5 785130598#0 785130598#1 785130598#3 223418965#1 223418965#2 223418965#3 223418965#5 223418965#10 223418965#14 273647556#0 -273647554#1 -273640076#1 -244221646#2 273640070#0,2788.26,50,5,32,1507.56,0.540681,662.92,26.475,True,WARNING,False,spine_route_length_gt_25%_over_shortest,reject
