route_id,transition_index,from_edge_id,to_edge_id,turn_angle_deg,turn_class
ER_ACC_003,17,218773868#3,218773868#4,1.127,normal
ER_ACC_003,18,218773868#4,218773868#5,0.019,normal
ER_ACC_003,19,218773868#5,218773868#6,0.918,normal
ER_ACC_003,20,218773868#6,-1455512070,1.016,normal
ER_ACC_003,21,-1455512070,-1455512069,1.265,normal
ER_ACC_003,22,-1455512069,428260110,2.189,normal
ER_ACC_003,23,428260110,785130600#0,5.536,normal
ER_ACC_003,24,785130600#0,785130600#1,8.278,normal
ER_ACC_003,25,785130600#1,785130600#2,4.928,normal
ER_ACC_003,26,785130600#2,785130600#3,1.533,normal
ER_ACC_003,27,785130600#3,1455497345,1.122,normal
ER_ACC_003,28,1455497345,218773869#1,1.649,normal
ER_ACC_003,29,218773869#1,218773869#3,1.256,normal
ER_ACC_003,30,218773869#3,218773869#4,1.01,normal
ER_ACC_003,31,218773869#4,218773869#5,2.551,normal
ER_ACC_003,32,218773869#5,218773869#6,2.396,normal
ER_ACC_003,33,218773869#6,218773869#7,5.435,normal
ER_ACC_003,34,218773869#7,218773869#8,20.278,normal
ER_ACC_003,35,218773869#8,219696193#0,7.83,normal
ER_ACC_003,36,219696193#0,219696193#1,0.251,normal
ER_ACC_003,37,219696193#1,219696193#2,5.563,normal
ER_ACC_003,38,219696193#2,781985793#0,11.902,normal
ER_ACC_003,39,781985793#0,420361196,13.997,normal
ER_ACC_003,40,420361196,347237859#0,2.141,normal
ER_ACC_003,41,347237859#0,347237859#1,4.701,normal
ER_ACC_003,42,347237859#1,347237859#2,1.88,normal
ER_ACC_003,43,347237859#2,347237859#3,0.039,normal
ER_ACC_003,44,347237859#3,347237859#4,2.105,normal
ER_ACC_003,45,347237859#4,781985787#0,7.077,normal
ER_ACC_003,46,781985787#0,-781985788#0,0.0,normal
ER_ACC_003,47,-781985788#0,-383097722#0,0.0,normal
ER_ACC_003,48,-383097722#0,383097714,0.285,normal
ER_ACC_003,49,383097714,1499619438#0,0.0,normal
ER_ACC_003,50,1499619438#0,1499619445#2,0.0,normal
ER_ACC_003,51,1499619445#2,1499619443#4,1.272,normal
ER_ACC_003,52,1499619443#4,1499619443#8,2.056,normal
ER_ACC_003,53,1499619443#8,1499619443#9,0.749,normal
ER_ACC_003,54,1499619443#9,1499619437,2.672,normal
ER_ACC_003,55,1499619437,1499619442,0.858,normal
ER_ACC_003,56,1499619442,218923188#0,98.769,normal
ER_ACC_003,57,218923188#0,218923188#1,0.829,normal
ER_ACC_003,58,218923188#1,218923188#2,1.129,normal
ER_ACC_003,59,218923188#2,218923188#4,0.006,normal
ER_ACC_003,60,218923188#4,-198564930,67.656,normal
ER_ACC_004,1,-381802881#2,-381802847#2,68.415,normal
ER_ACC_004,2,-381802847#2,-183272625#1,83.113,normal
ER_ACC_004,3,-183272625#1,-174870621#2,80.198,normal
ER_ACC_004,4,-174870621#2,-174870621#0,6.265,normal
ER_ACC_004,5,-174870621#0,578313748#0,9.983,normal
ER_ACC_004,6,578313748#0,578313748#2,2.534,normal
ER_ACC_004,7,578313748#2,800229255,1.08,normal
ER_ACC_004,8,800229255,180368918#0,2.43,normal
ER_ACC_004,9,180368918#0,180368918#3,0.87,normal
ER_ACC_004,10,180368918#3,180368918#5,2.577,normal
ER_ACC_004,11,180368918#5,180368918#6,0.01,normal
ER_ACC_004,12,180368918#6,180368918#7,1.311,normal
