edge_id,target_lanes,current_lanes,lane_delta,source_segment_ids,source_directions,source_row_count,dominant_segment_ids,dominant_directions,dominant_match_ratio,repair_reason
1395426737#0,3,1,2,S4 S5 S6,downbound,,S4 S5 S6,downbound,1.0,compact_v9_one_edge_one_lane_target_mainroad_min_2
1395426737#1,3,1,2,S4 S5 S6,downbound,,S4 S5 S6,downbound,1.0,compact_v9_one_edge_one_lane_target_mainroad_min_2
1455497343#0,3,2,1,S7 S8,downbound,,S7 S8,downbound,0.666667,compact_v9_one_edge_one_lane_target_mainroad_min_2
1455497343#1,3,2,1,S7,downbound,,S7,downbound,0.416667,compact_v9_one_edge_one_lane_target_mainroad_min_2
1455497343#2,3,2,1,S7,downbound,,S7,downbound,0.277778,compact_v9_one_edge_one_lane_target_mainroad_min_2
1455497343#3,3,2,1,S7,downbound,,S7,downbound,0.333333,compact_v9_one_edge_one_lane_target_mainroad_min_2
1455497343#4,3,2,1,S7,downbound,,S7,downbound,0.388889,compact_v9_one_edge_one_lane_target_mainroad_min_2
1455497345,3,2,1,S7 S8 S9,upbound,,S7 S8 S9,upbound,1.0,compact_v9_one_edge_one_lane_target_mainroad_min_2
1455512066,3,2,1,S6 S7,downbound,,S6 S7,downbound,0.194444,compact_v9_one_edge_one_lane_target_mainroad_min_2
1455512070,3,2,1,S6,downbound,,S6,downbound,0.282609,compact_v9_one_edge_one_lane_target_mainroad_min_2
174870621#0,3,2,1,S1 S2,downbound,,S1 S2,downbound,0.7,compact_v9_one_edge_one_lane_target_mainroad_min_2
174870621#10,3,2,1,S1,downbound,,S1,downbound,0.243243,compact_v9_one_edge_one_lane_target_mainroad_min_2
174870621#2,3,2,1,S1 S2,downbound,,S1 S2,downbound,0.27027,compact_v9_one_edge_one_lane_target_mainroad_min_2
174870621#4,3,2,1,S1,downbound,,S1,downbound,0.324324,compact_v9_one_edge_one_lane_target_mainroad_min_2
174870621#5,3,2,1,S1,downbound,,S1,downbound,0.189189,compact_v9_one_edge_one_lane_target_mainroad_min_2
174870621#6,3,2,1,S1,downbound,,S1,downbound,0.243243,compact_v9_one_edge_one_lane_target_mainroad_min_2
174870621#7,3,2,1,S1,downbound,,S1,downbound,0.216216,compact_v9_one_edge_one_lane_target_mainroad_min_2
174870621#8,3,2,1,S1,downbound,,S1,downbound,0.351351,compact_v9_one_edge_one_lane_target_mainroad_min_2
174870621#9,3,2,1,S1,downbound,,S1,downbound,0.216216,compact_v9_one_edge_one_lane_target_mainroad_min_2
180368915#0,2,2,0,S10 S11,upbound,,S10 S11,upbound,0.285714,compact_v9_one_edge_one_lane_target_mainroad_min_2
180368915#1,2,2,0,S10 S11,upbound,,S10 S11,upbound,0.357143,compact_v9_one_edge_one_lane_target_mainroad_min_2
180368915#2,2,2,0,S11,upbound,,S11,upbound,0.642857,compact_v9_one_edge_one_lane_target_mainroad_min_2
180368915#3,2,2,0,S11 S12,upbound,,S11 S12,upbound,0.5,compact_v9_one_edge_one_lane_target_mainroad_min_2
180368918#0,3,2,1,S2 S3,upbound,,S2 S3,upbound,0.642857,compact_v9_one_edge_one_lane_target_mainroad_min_2
180368918#3,3,2,1,S3 S4,upbound,,S3 S4,upbound,0.642857,compact_v9_one_edge_one_lane_target_mainroad_min_2
180368918#5,3,2,1,S3 S4,upbound,,S3 S4,upbound,0.357143,compact_v9_one_edge_one_lane_target_mainroad_min_2
180368918#6,3,2,1,S3 S4,upbound,,S3 S4,upbound,0.571429,compact_v9_one_edge_one_lane_target_mainroad_min_2
180368918#7,3,2,1,S4 S5,upbound,,S4 S5,upbound,0.714286,compact_v9_one_edge_one_lane_target_mainroad_min_2
180368918#8,2,2,0,S4 S5 S6,upbound,,S4 S5 S6,upbound,1.0,compact_v9_one_edge_one_lane_target_mainroad_min_2
180445419,2,2,0,S12,upbound,,S12,upbound,0.818182,compact_v9_one_edge_one_lane_target_mainroad_min_2
183272387#0,3,2,1,S2,upbound,,S2,upbound,0.4,compact_v9_one_edge_one_lane_target_mainroad_min_2
183272387#1,3,2,1,S2,upbound,,S2,upbound,0.35,compact_v9_one_edge_one_lane_target_mainroad_min_2
183272387#2,3,2,1,S2,upbound,,S2,upbound,0.2,compact_v9_one_edge_one_lane_target_mainroad_min_2
183272647,3,1,2,S2 S3,downbound,,S2 S3,downbound,0.5,compact_v9_one_edge_one_lane_target_mainroad_min_2
183272654,3,4,-1,S22,upbound,,S22,upbound,0.214286,compact_v9_one_edge_one_lane_target_mainroad_min_2
218684411#0,3,2,1,S1,downbound,,S1,downbound,0.162162,compact_v9_one_edge_one_lane_target_mainroad_min_2
218684411#1,3,2,1,S1,downbound,,S1,downbound,0.135135,compact_v9_one_edge_one_lane_target_mainroad_min_2
218684411#2,3,2,1,S1,downbound,,S1,downbound,0.027027,compact_v9_one_edge_one_lane_target_mainroad_min_2
218773868#0,2,2,0,S6,upbound,,S6,upbound,0.130435,compact_v9_one_edge_one_lane_target_mainroad_min_2
218773868#2,2,2,0,S6,upbound,,S6,upbound,0.195652,compact_v9_one_edge_one_lane_target_mainroad_min_2
218773868#3,2,2,0,S6,upbound,,S6,upbound,0.152174,compact_v9_one_edge_one_lane_target_mainroad_min_2
218773868#4,2,2,0,S6,upbound,,S6,upbound,0.23913,compact_v9_one_edge_one_lane_target_mainroad_min_2
218773868#5,2,2,0,S6,upbound,,S6,upbound,0.195652,compact_v9_one_edge_one_lane_target_mainroad_min_2
218773868#6,2,2,0,S6,upbound,,S6,upbound,0.130435,compact_v9_one_edge_one_lane_target_mainroad_min_2
218773869#1,3,2,1,S9,upbound,,S9,upbound,0.22449,compact_v9_one_edge_one_lane_target_mainroad_min_2
218773869#3,3,2,1,S9,upbound,,S9,upbound,0.183673,compact_v9_one_edge_one_lane_target_mainroad_min_2
218773869#4,3,2,1,S9,upbound,,S9,upbound,0.22449,compact_v9_one_edge_one_lane_target_mainroad_min_2
218773869#5,3,2,1,S9,upbound,,S9,upbound,0.22449,compact_v9_one_edge_one_lane_target_mainroad_min_2
218773869#6,3,2,1,S9,upbound,,S9,upbound,0.306122,compact_v9_one_edge_one_lane_target_mainroad_min_2
218773869#7,3,2,1,S9,upbound,,S9,upbound,0.244898,compact_v9_one_edge_one_lane_target_mainroad_min_2
218773869#8,3,2,1,S9,upbound,,S9,upbound,0.142857,compact_v9_one_edge_one_lane_target_mainroad_min_2
218773869#9,3,2,1,S10 S9,upbound,,S10 S9,upbound,0.142857,compact_v9_one_edge_one_lane_target_mainroad_min_2
218915133#0,2,2,0,S12,upbound,,S12,upbound,0.272727,compact_v9_one_edge_one_lane_target_mainroad_min_2
218915133#1,2,2,0,S12,upbound,,S12,upbound,0.454545,compact_v9_one_edge_one_lane_target_mainroad_min_2
218915133#2,2,2,0,S12,upbound,,S12,upbound,0.5,compact_v9_one_edge_one_lane_target_mainroad_min_2
218915133#3,2,2,0,S12,upbound,,S12,upbound,0.363636,compact_v9_one_edge_one_lane_target_mainroad_min_2
218915135#3,3,2,1,S16,upbound,,S16,upbound,0.708333,compact_v9_one_edge_one_lane_target_mainroad_min_2
218915135#4,3,2,1,S16 S17,upbound,,S16 S17,upbound,0.315789,compact_v9_one_edge_one_lane_target_mainroad_min_2
218923178#7,3,3,0,S2 S3,downbound,,S2 S3,downbound,0.1,compact_v9_one_edge_one_lane_target_mainroad_min_2
219696191#1,2,1,1,S21,downbound,,S21,downbound,0.8,compact_v9_one_edge_one_lane_target_mainroad_min_2
219696193#1,2,2,0,S10 S9,upbound,,S10 S9,upbound,0.478261,compact_v9_one_edge_one_lane_target_mainroad_min_2
219696193#2,2,2,0,S10,upbound,,S10,upbound,0.434783,compact_v9_one_edge_one_lane_target_mainroad_min_2
273638834#1,3,1,2,S10,downbound,,S10,downbound,0.086957,compact_v9_one_edge_one_lane_target_mainroad_min_2
273638834#2,2,1,1,S10 S9,downbound,,S10 S9,downbound,0.102041,compact_v9_one_edge_one_lane_target_mainroad_min_2
315658884#1,3,1,2,S18,upbound,,S18,upbound,0.15,compact_v9_one_edge_one_lane_target_mainroad_min_2
315658897#0,3,1,2,S19,downbound,,S19,downbound,0.034483,compact_v9_one_edge_one_lane_target_mainroad_min_2
333557072#1,3,2,1,S18 S19,upbound,,S18 S19,upbound,0.3,compact_v9_one_edge_one_lane_target_mainroad_min_2
333557072#2,3,2,1,S18 S19,upbound,,S18 S19,upbound,0.310345,compact_v9_one_edge_one_lane_target_mainroad_min_2
333557072#3,3,2,1,S19,upbound,,S19,upbound,0.37931,compact_v9_one_edge_one_lane_target_mainroad_min_2
333557072#5,3,2,1,S19,upbound,,S19,upbound,0.448276,compact_v9_one_edge_one_lane_target_mainroad_min_2
347237859#0,2,2,0,S12 S13,upbound,,S12 S13,upbound,0.75,compact_v9_one_edge_one_lane_target_mainroad_min_2
347237859#1,3,2,1,S12 S13 S14,upbound,,S12 S13 S14,upbound,1.0,compact_v9_one_edge_one_lane_target_mainroad_min_2
347237859#2,3,2,1,S13 S14,upbound,,S13 S14,upbound,0.5,compact_v9_one_edge_one_lane_target_mainroad_min_2
347237859#3,3,2,1,S13 S14,upbound,,S13 S14,upbound,0.681818,compact_v9_one_edge_one_lane_target_mainroad_min_2
347237859#4,3,2,1,S14 S15,upbound,,S14 S15,upbound,0.590909,compact_v9_one_edge_one_lane_target_mainroad_min_2
347237859#5,3,2,1,S14 S15,upbound,,S14 S15,upbound,0.5,compact_v9_one_edge_one_lane_target_mainroad_min_2
37402371,3,2,1,S22,upbound,,S22,upbound,0.071429,compact_v9_one_edge_one_lane_target_mainroad_min_2
381453320#0,2,1,1,S7,upbound,,S7,upbound,0.166667,compact_v9_one_edge_one_lane_target_mainroad_min_2
381802847#0,3,1,2,S1 S2,downbound,,S1 S2,downbound,0.75,compact_v9_one_edge_one_lane_target_mainroad_min_2
381802847#1,3,1,2,S1,downbound,,S1,downbound,0.216216,compact_v9_one_edge_one_lane_target_mainroad_min_2
381802847#2,3,1,2,S1,downbound,,S1,downbound,0.135135,compact_v9_one_edge_one_lane_target_mainroad_min_2
420361196,2,2,0,S10 S11 S12,upbound,,S10 S11 S12,upbound,1.0,compact_v9_one_edge_one_lane_target_mainroad_min_2
428260110,2,2,0,S6 S7,upbound,,S6 S7,upbound,0.222222,compact_v9_one_edge_one_lane_target_mainroad_min_2
