variable,candidate_count,pass_count,fail_count,best_EV_sec,worst_EV_sec,EV_range_sec,best_score_sec,worst_score_sec,preemption_range,tau_hit_0p75_range,sensitivity_label
tau,6,0,6,,,,,,,,high
tau_scale,4,0,4,,,,,,,,high
tau_numerator_gamma,3,0,3,,,,,,,,high
hold_max,3,1,2,470.0,470.0,,4902.61,4902.61,,,high
d_up,2,0,2,,,,,,,,high
