run_id,pipeline,mode,parameter_id,repeat_id,route_id,A_delay_sec,N_delay_sec,T_recovery_sec
20260602T121144_215793Z0000,parameter_input_sim,B0,no_control,repeat_001,CUSTOM_JUNG_GU_HOEHYEON1_147_23,,8.64,362.25
20260602T121144_215793Z0000,parameter_input_sim,B0,no_control,repeat_001,CUSTOM_JUNG_GU_PILDONG2_84_101,,9.59,128.18
